#NTIMES: 265
#NSTAGES: 5
#TIMES[d]: 1.074 1.181 1.299 1.429 1.572 1.729 1.902 2.092 2.301 2.531 2.785 3.063 3.369 3.706 4.077 4.485 4.933 5.426 5.969 6.566 7.223 7.945 8.739 9.613 10.575 11.575 12.575 13.575 14.575 15.575 16.575 17.575 18.575 19.575 20.575 21.575 22.575 23.575 24.575 25.575 26.575 27.575 28.575 29.575 30.575 31.575 32.575 33.575 34.575 35.575 36.575 37.575 38.575 39.575 40.575 41.575 42.575 43.575 44.575 45.575 46.575 47.575 48.575 49.575 50.575 51.575 52.575 53.575 54.575 55.575 56.575 57.575 58.575 59.575 60.575 61.575 62.575 63.575 64.575 65.575 66.575 67.575 68.575 69.575 70.575 71.575 72.575 73.575 74.575 75.575 76.575 77.575 78.575 79.575 80.575 81.575 82.575 83.575 84.575 85.575 86.575 87.575 88.575 89.575 90.575 91.575 92.575 93.575 94.575 95.575 96.575 97.575 98.575 99.575 100.575 101.575 102.575 103.575 104.575 105.575 106.575 107.575 108.575 109.575 110.575 111.575 112.575 113.575 114.575 115.575 116.575 117.575 118.575 119.575 120.575 121.575 122.575 123.575 124.575 125.575 126.575 127.575 128.575 129.575 130.575 131.575 132.575 133.575 134.575 135.575 136.575 137.575 138.575 139.575 140.575 141.575 142.575 143.575 144.575 145.575 146.575 147.575 148.575 149.575 150.575 151.575 152.575 153.575 154.575 155.575 156.575 157.575 158.575 159.575 160.575 161.575 162.575 163.575 164.575 165.575 166.575 167.575 168.575 169.575 170.575 171.575 172.575 173.575 174.575 175.575 176.575 177.575 178.575 179.575 180.575 181.575 182.575 183.575 184.575 185.575 186.575 187.575 188.575 189.575 190.575 191.575 192.575 193.575 194.575 195.575 196.575 197.575 198.575 199.575 200.575 201.575 202.575 203.575 204.575 205.575 206.575 207.575 208.575 209.575 210.575 211.575 212.575 213.575 214.575 215.575 216.575 217.575 218.575 219.575 220.575 221.575 222.575 223.575 224.575 225.575 226.575 227.575 228.575 229.575 230.575 231.575 232.575 233.575 234.575 235.575 236.575 237.575 238.575 239.575 240.575 241.575 242.575 243.575 244.575 245.575 246.575 247.575 248.575 249.575 250.575 
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Co0 Co1 Co2 Co3 Co4
4.401e+07 2.218104e-25 2.084974e-17 3.497439e-10 6.854669e-04 9.993145e-01
8.862e+07 2.218104e-25 2.084974e-17 3.497439e-10 6.854669e-04 9.993145e-01
9.061e+07 2.218104e-25 2.084974e-17 3.497439e-10 6.854669e-04 9.993145e-01
9.444e+07 2.218104e-25 2.084974e-17 3.497439e-10 6.854669e-04 9.993145e-01
9.991e+07 2.216139e-25 2.083413e-17 3.495479e-10 6.852541e-04 9.993147e-01
1.061e+08 2.210041e-25 2.078526e-17 3.489296e-10 6.845789e-04 9.993154e-01
1.126e+08 2.190361e-25 2.062477e-17 3.468685e-10 6.823007e-04 9.993177e-01
1.194e+08 2.130840e-25 2.013098e-17 3.404273e-10 6.750793e-04 9.993249e-01
1.267e+08 1.879014e-25 1.805807e-17 3.133721e-10 6.444475e-04 9.993556e-01
1.345e+08 1.105028e-25 1.145557e-17 2.221544e-10 5.324063e-04 9.994676e-01
1.427e+08 3.787735e-26 4.600505e-18 1.121477e-10 3.665675e-04 9.996334e-01
1.514e+08 1.147932e-26 1.685747e-18 5.346862e-11 2.471453e-04 9.997529e-01
1.607e+08 4.106851e-27 7.184457e-19 2.875926e-11 1.790153e-04 9.998210e-01
1.705e+08 1.702908e-27 3.455359e-19 1.690331e-11 1.363441e-04 9.998637e-01
1.809e+08 6.926640e-28 1.633417e-19 9.820931e-12 1.036964e-04 9.998963e-01
1.919e+08 2.639515e-28 7.344884e-20 5.525186e-12 7.800071e-05 9.999220e-01
2.037e+08 9.754174e-29 3.225971e-20 3.064729e-12 5.857820e-05 9.999414e-01
2.161e+08 3.427153e-29 1.367752e-20 1.665536e-12 4.376827e-05 9.999562e-01
2.293e+08 1.099490e-29 5.442358e-21 8.710457e-13 3.221236e-05 9.999678e-01
2.433e+08 3.529214e-30 2.172826e-21 4.578434e-13 2.385798e-05 9.999761e-01
2.582e+08 1.331353e-30 9.875874e-22 2.637208e-13 1.851423e-05 9.999815e-01
2.739e+08 6.360734e-31 5.438336e-22 1.738991e-13 1.531869e-05 9.999847e-01
2.907e+08 3.644815e-31 3.490772e-22 1.279840e-13 1.330315e-05 9.999867e-01
3.084e+08 2.355210e-31 2.499178e-22 1.021372e-13 1.192309e-05 9.999881e-01
3.273e+08 1.780195e-31 2.051552e-22 9.002315e-14 1.112524e-05 9.999889e-01
3.472e+08 1.594619e-31 1.942026e-22 8.782937e-14 1.084742e-05 9.999892e-01
3.685e+08 1.629550e-31 2.062891e-22 9.323059e-14 1.096568e-05 9.999890e-01
3.910e+08 1.692952e-31 2.251222e-22 1.015018e-13 1.119104e-05 9.999888e-01
4.148e+08 2.186239e-31 2.864261e-22 1.219698e-13 1.207566e-05 9.999879e-01
4.402e+08 3.068002e-31 3.768646e-22 1.478924e-13 1.322031e-05 9.999868e-01
4.671e+08 2.545385e-31 3.257166e-22 1.338122e-13 1.259557e-05 9.999874e-01
4.956e+08 1.256624e-31 1.898679e-22 9.291359e-14 1.052672e-05 9.999895e-01
5.259e+08 6.177047e-32 1.107457e-22 6.466229e-14 8.798485e-06 9.999912e-01
5.580e+08 4.100308e-32 8.137579e-23 5.263305e-14 7.939972e-06 9.999921e-01
5.921e+08 3.226687e-32 6.864767e-23 4.720792e-14 7.498388e-06 9.999925e-01
6.282e+08 2.800763e-32 6.283007e-23 4.488256e-14 7.275343e-06 9.999927e-01
6.666e+08 2.801214e-32 6.413125e-23 4.595625e-14 7.322803e-06 9.999927e-01
7.074e+08 3.024295e-32 6.983123e-23 4.931407e-14 7.536113e-06 9.999925e-01
7.506e+08 3.226418e-32 7.642457e-23 5.349141e-14 7.783154e-06 9.999922e-01
7.964e+08 3.908214e-32 9.271931e-23 6.243837e-14 8.344222e-06 9.999917e-01
8.451e+08 5.951580e-32 1.342395e-22 8.228936e-14 9.524345e-06 9.999905e-01
8.967e+08 1.103988e-31 2.302311e-22 1.230158e-13 1.160657e-05 9.999884e-01
9.514e+08 2.830945e-31 5.217228e-22 2.266243e-13 1.582462e-05 9.999842e-01
1.010e+09 1.265291e-30 1.881780e-21 5.893404e-13 2.613814e-05 9.999739e-01
1.071e+09 1.157271e-29 1.267840e-20 2.493307e-12 5.769598e-05 9.999423e-01
1.137e+09 3.002905e-28 2.177308e-19 2.265028e-11 2.065477e-04 9.997935e-01
1.206e+09 3.184036e-26 1.358537e-17 6.227057e-10 1.510810e-03 9.984892e-01
1.279e+09 8.754942e-24 2.087656e-15 3.898279e-08 1.836404e-02 9.816359e-01
1.353e+09 2.226368e-21 3.196283e-13 2.539171e-06 2.095315e-01 7.904659e-01
1.419e+09 2.692607e-19 2.430400e-11 7.642515e-05 8.453433e-01 1.545802e-01
1.476e+09 1.864431e-17 1.088865e-09 1.111434e-03 9.947230e-01 4.165607e-03
1.524e+09 4.409329e-15 1.304576e-07 2.702512e-02 9.729374e-01 3.731846e-05
1.565e+09 1.133240e-12 1.475279e-05 4.847871e-01 5.151980e-01 1.204761e-07
1.596e+09 4.887167e-11 2.452545e-04 9.800146e-01 1.974014e-02 1.449577e-11
1.619e+09 1.659238e-09 2.794205e-03 9.969966e-01 2.092197e-04 1.880316e-16
1.635e+09 7.084372e-08 3.771518e-02 9.622835e-01 1.219373e-06 5.275122e-22
1.648e+09 2.502696e-06 4.015790e-01 5.984184e-01 2.659948e-09 2.144287e-28
1.659e+09 1.590675e-05 8.977596e-01 1.022245e-01 2.369641e-12 5.846890e-35
1.669e+09 3.746124e-05 9.846221e-01 1.534048e-02 5.443394e-15 2.006004e-40
1.679e+09 6.031500e-05 9.960356e-01 3.904050e-03 6.672539e-17 2.035446e-44
1.689e+09 8.291092e-05 9.984955e-01 1.421581e-03 2.487630e-18 2.012474e-47
1.700e+09 1.085261e-04 9.992937e-01 5.977594e-04 1.474726e-19 5.242551e-50
1.715e+09 1.433267e-04 9.996046e-01 2.520903e-04 8.977832e-21 1.466412e-52
1.742e+09 2.212623e-04 9.997072e-01 7.152141e-05 1.588270e-22 3.204547e-56
1.789e+09 5.302495e-04 9.994625e-01 7.274106e-06 1.222977e-25 1.161650e-62
1.853e+09 1.510697e-03 9.984887e-01 5.716176e-07 4.785950e-29 1.182675e-69
1.926e+09 3.870399e-03 9.961295e-01 5.468453e-08 3.289104e-32 3.648469e-76
2.003e+09 9.067945e-03 9.909320e-01 6.032752e-09 3.356347e-35 2.412055e-82
2.084e+09 1.976739e-02 9.802326e-01 7.834779e-10 5.768452e-38 4.702347e-88
2.165e+09 4.090537e-02 9.590946e-01 1.168387e-10 1.615442e-40 2.626266e-93
2.245e+09 7.526744e-02 9.247326e-01 1.972041e-11 6.289775e-43 2.690389e-98
2.325e+09 1.252477e-01 8.747523e-01 3.728767e-12 3.447928e-45 5.401273e-103
2.405e+09 1.901887e-01 8.098113e-01 8.103597e-13 3.021436e-47 2.888339e-107
2.487e+09 2.600455e-01 7.399545e-01 2.162548e-13 5.114987e-49 6.034994e-111
2.570e+09 3.210870e-01 6.789130e-01 7.138030e-14 1.594829e-50 4.236849e-114
2.659e+09 3.726735e-01 6.273265e-01 2.506567e-14 5.449704e-52 3.267884e-117
2.764e+09 4.512835e-01 5.487165e-01 5.517071e-15 4.332369e-54 1.169234e-121
2.899e+09 5.854792e-01 4.145208e-01 4.561572e-16 1.813765e-57 9.156631e-129
3.065e+09 4.666950e-01 5.333050e-01 3.877265e-16 1.974712e-58 2.194265e-131
3.252e+09 2.176616e-01 7.823384e-01 9.926230e-16 2.992596e-58 6.164932e-132
3.446e+09 5.398219e-02 9.460178e-01 5.644705e-15 7.489956e-57 6.324564e-130
3.637e+09 1.696173e-02 9.830383e-01 2.730168e-14 3.157099e-55 4.556046e-127
