#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    8.772128E+02   1.0000E-099   9.0020E-013   1.2963E-005   9.9999E-001
    8.826573E+02   1.0000E-099   9.0020E-013   1.2963E-005   9.9999E-001
    8.991942E+02   1.0000E-099   9.0020E-013   1.2963E-005   9.9999E-001
    9.332033E+02   1.0000E-099   9.0020E-013   1.2963E-005   9.9999E-001
    9.912889E+02   1.0000E-099   9.0020E-013   1.2963E-005   9.9999E-001
    1.052238E+03   1.0000E-099   9.0020E-013   1.2963E-005   9.9999E-001
    1.116940E+03   1.0000E-099   9.0028E-013   1.2964E-005   9.9999E-001
    1.185621E+03   1.0000E-099   9.0117E-013   1.2983E-005   9.9999E-001
    1.258525E+03   1.0000E-099   9.0302E-013   1.3021E-005   9.9999E-001
    1.335911E+03   1.0000E-099   9.1195E-013   1.3130E-005   9.9999E-001
    1.418056E+03   1.0000E-099   9.1526E-013   1.3273E-005   9.9999E-001
    1.505253E+03   1.0000E-099   3.6334E-013   1.0270E-005   9.9999E-001
    1.597810E+03   1.0000E-099   3.4615E-013   1.0056E-005   9.9999E-001
    1.696060E+03   1.0000E-099   2.3807E-013   8.8603E-006   9.9999E-001
    1.800350E+03   1.0000E-099   2.2975E-013   8.9147E-006   9.9999E-001
    1.911054E+03   1.0000E-099   1.3744E-013   7.5033E-006   9.9999E-001
    2.028564E+03   1.0000E-099   1.1993E-013   7.2053E-006   9.9999E-001
    2.153300E+03   1.0000E-099   7.9502E-014   6.2749E-006   9.9999E-001
    2.285707E+03   1.0000E-099   5.2488E-014   5.3716E-006   9.9999E-001
    2.426255E+03   1.0000E-099   3.6758E-014   4.6652E-006   1.0000E+000
    2.575445E+03   1.0000E-099   2.2395E-014   3.8950E-006   1.0000E+000
    2.733809E+03   1.0000E-099   1.7420E-014   3.5232E-006   1.0000E+000
    2.901910E+03   1.0000E-099   1.3841E-014   3.2161E-006   1.0000E+000
    3.080349E+03   1.0000E-099   1.0780E-014   2.8608E-006   1.0000E+000
    3.269759E+03   1.0000E-099   8.8394E-015   2.5650E-006   1.0000E+000
    3.470816E+03   1.0000E-099   7.6381E-015   2.3316E-006   1.0000E+000
    3.684237E+03   1.0000E-099   6.5150E-015   2.0856E-006   1.0000E+000
    3.910780E+03   1.0000E-099   5.2512E-015   1.8122E-006   1.0000E+000
    4.151254E+03   1.0000E-099   4.6185E-015   1.5997E-006   1.0000E+000
    4.406514E+03   1.0000E-099   5.0306E-015   1.6582E-006   1.0000E+000
    4.677470E+03   1.0000E-099   4.4368E-015   1.6041E-006   1.0000E+000
    4.965088E+03   1.0000E-099   3.0032E-015   1.3226E-006   1.0000E+000
    5.270391E+03   1.0000E-099   2.4782E-015   1.2150E-006   1.0000E+000
    5.594466E+03   1.0000E-099   2.2431E-015   1.1552E-006   1.0000E+000
    5.938470E+03   1.0000E-099   2.0856E-015   1.1048E-006   1.0000E+000
    6.303626E+03   1.0000E-099   1.9201E-015   1.0399E-006   1.0000E+000
    6.691235E+03   1.0000E-099   1.8241E-015   1.0013E-006   1.0000E+000
    7.102679E+03   1.0000E-099   1.7450E-015   9.6717E-007   1.0000E+000
    7.539422E+03   1.0000E-099   1.5697E-015   8.8402E-007   1.0000E+000
    8.003021E+03   1.0000E-099   1.4525E-015   8.2126E-007   1.0000E+000
    8.495126E+03   1.0000E-099   1.4357E-015   7.9538E-007   1.0000E+000
    9.017491E+03   1.0000E-099   1.4548E-015   7.6078E-007   1.0000E+000
    9.571975E+03   1.0000E-099   1.5852E-015   7.2940E-007   1.0000E+000
    1.016056E+04   1.0000E-099   2.1229E-015   7.6521E-007   1.0000E+000
    1.078533E+04   1.0000E-099   3.5194E-015   8.1990E-007   1.0000E+000
    1.144852E+04   1.0000E-099   8.6810E-015   9.9618E-007   1.0000E+000
    1.215249E+04   1.0000E-099   2.8328E-014   1.2640E-006   1.0000E+000
    1.289974E+04   1.0000E-099   8.9517E-014   1.7977E-006   1.0000E+000
    1.369294E+04   1.0000E-099   2.8817E-013   2.8338E-006   1.0000E+000
    1.453492E+04   1.0000E-099   2.9203E-012   9.4706E-006   9.9999E-001
    1.542867E+04   1.0000E-099   9.7596E-009   1.4312E-003   9.9857E-001
    1.626717E+04   1.0000E-099   6.5048E-003   9.7528E-001   1.8217E-002
    1.668676E+04   1.0000E-099   3.4740E-001   6.5259E-001   1.2180E-005
    1.713874E+04   1.0000E-099   9.9946E-001   5.3863E-004   2.7466E-014
    1.771854E+04   1.0000E-099   1.0000E+000   6.9878E-007   1.0831E-021
    1.838692E+04   1.0000E-099   1.0000E+000   8.7312E-007   1.5812E-021
    1.903533E+04   1.0000E-099   1.0000E+000   1.2694E-006   3.2442E-021
    1.976116E+04   1.0000E-099   1.0000E+000   1.6320E-006   5.2160E-021
    2.046516E+04   1.0000E-099   1.0000E+000   2.2139E-006   9.3174E-021
    2.125594E+04   1.0000E-099   1.0000E+000   2.9715E-006   1.6194E-020
    2.202587E+04   1.0000E-099   1.0000E+000   3.5029E-006   2.1759E-020
    2.285981E+04   1.0000E-099   9.9999E-001   5.1068E-006   4.3502E-020
    2.372435E+04   1.0000E-099   9.9999E-001   5.1477E-006   4.2018E-020
    2.455466E+04   1.0000E-099   9.9999E-001   8.1955E-006   9.4623E-020
    2.552174E+04   1.0000E-099   9.9999E-001   8.7346E-006   9.6042E-020
    2.640440E+04   1.0000E-099   9.9999E-001   1.0618E-005   1.2340E-019
    2.741295E+04   1.0000E-099   9.9999E-001   1.1349E-005   1.2143E-019
    2.838201E+04   1.0000E-099   9.9999E-001   8.2458E-006   5.9616E-020
    2.923203E+04   1.0000E-099   9.9999E-001   8.6913E-006   5.7480E-020
    3.013295E+04   1.0000E-099   9.9999E-001   6.2226E-006   2.5753E-020
    3.094669E+04   1.0000E-099   9.9999E-001   5.9696E-006   2.1120E-020
    3.176516E+04   1.0000E-099   9.9999E-001   5.3016E-006   1.5042E-020
    3.259805E+04   1.0000E-099   9.9999E-001   5.2210E-006   1.3223E-020
    3.345740E+04   1.0000E-099   9.9999E-001   5.3348E-006   1.2669E-020
    3.438030E+04   1.0000E-099   1.0000E+000   4.7503E-006   9.3022E-021
    3.533529E+04   1.0000E-099   1.0000E+000   4.7297E-006   8.7620E-021
    3.634323E+04   1.0000E-099   1.0000E+000   4.0747E-006   6.3217E-021
    3.736894E+04   1.0000E-099   1.0000E+000   3.6562E-006   5.0632E-021
    3.839518E+04   1.0000E-099   1.0000E+000   3.2232E-006   4.0092E-021
    3.939114E+04   1.0000E-099   1.0000E+000   2.6358E-006   2.8030E-021
    4.037465E+04   1.0000E-099   1.0000E+000   2.0801E-006   1.8727E-021
    4.133441E+04   1.0000E-099   1.0000E+000   1.6496E-006   1.2937E-021
    4.215976E+04   1.0000E-099   1.0000E+000   1.3463E-006   9.5293E-022
    4.290657E+04   1.0000E-099   1.0000E+000   1.1012E-006   7.1079E-022
    4.365819E+04   1.0000E-099   1.0000E+000   8.8143E-007   5.1800E-022
    4.442297E+04   1.0000E-099   1.0000E+000   6.8790E-007   3.6819E-022
    4.520034E+04   1.0000E-099   1.0000E+000   5.2292E-007   2.5556E-022
    4.600555E+04   1.0000E-099   1.0000E+000   3.8458E-007   1.7195E-022
    4.686215E+04   1.0000E-099   1.0000E+000   2.7481E-007   1.1313E-022
    4.776422E+04   1.0000E-099   1.0000E+000   1.9237E-007   7.3519E-023
    4.868597E+04   1.0000E-099   1.0000E+000   1.3389E-007   4.7951E-023
    4.962544E+04   1.0000E-099   1.0000E+000   9.3074E-008   3.1457E-023
    5.058305E+04   1.0000E-099   1.0000E+000   6.5009E-008   2.0846E-023
    5.155912E+04   1.0000E-099   1.0000E+000   4.5912E-008   1.4040E-023
