#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] al0 al1 al2 al3 al4 al5 al6
4.4010e+02 1.2915e-29 2.8020e-20 7.3865e-12 2.1887e-04 2.2830e-01 7.7115e-01 3.2948e-04
8.8623e+02 2.6378e-21 6.7300e-14 2.0864e-07 7.2707e-02 8.9186e-01 3.5429e-02 1.7802e-07
9.0614e+02 2.6331e-21 6.7211e-14 2.0846e-07 7.2676e-02 8.9188e-01 3.5445e-02 1.7818e-07
9.4442e+02 2.6331e-21 6.7212e-14 2.0846e-07 7.2676e-02 8.9188e-01 3.5445e-02 1.7818e-07
9.9911e+02 2.6295e-21 6.7132e-14 2.0826e-07 7.2617e-02 8.9190e-01 3.5483e-02 1.7860e-07
1.0608e+03 2.6139e-21 6.6800e-14 2.0744e-07 7.2396e-02 8.9198e-01 3.5623e-02 1.8012e-07
1.1257e+03 2.5890e-21 6.6193e-14 2.0570e-07 7.1800e-02 8.9217e-01 3.6028e-02 1.8469e-07
1.1944e+03 2.4816e-21 6.3703e-14 1.9892e-07 6.9629e-02 8.9283e-01 3.7541e-02 2.0218e-07
1.2673e+03 2.0747e-21 5.4222e-14 1.7294e-07 6.1349e-02 8.9433e-01 4.4317e-02 2.9164e-07
1.3448e+03 9.6712e-22 2.7333e-14 9.5573e-08 3.5947e-02 8.7962e-01 8.4427e-02 1.2431e-06
1.4269e+03 1.9083e-22 6.2774e-15 2.6317e-08 1.1031e-02 7.3548e-01 2.5347e-01 1.7704e-05
1.5140e+03 2.5030e-23 9.7607e-16 5.0185e-09 2.3714e-03 4.4042e-01 5.5702e-01 1.8874e-04
1.6065e+03 3.5468e-24 1.6198e-16 1.0035e-09 5.3234e-04 2.2195e-01 7.7662e-01 9.0010e-04
1.7047e+03 5.6501e-25 2.9427e-17 2.1358e-10 1.2417e-04 1.0481e-01 8.9204e-01 3.0314e-03
1.8088e+03 7.5736e-26 4.5280e-18 3.8867e-11 2.4827e-05 4.3859e-02 9.4621e-01 9.9071e-03
1.9193e+03 8.2866e-27 5.8261e-19 6.0730e-12 4.3554e-06 1.6705e-02 9.5122e-01 3.2074e-02
2.0365e+03 7.6636e-28 6.4424e-20 8.3089e-13 6.7934e-07 5.7938e-03 8.9426e-01 9.9946e-02
2.1609e+03 5.8264e-29 5.9682e-21 9.7109e-14 9.2431e-08 1.7530e-03 7.3041e-01 2.6784e-01
2.2929e+03 3.3731e-30 4.2958e-22 8.9903e-15 1.0217e-08 4.2321e-04 4.6335e-01 5.3623e-01
2.4330e+03 1.6269e-31 2.5524e-23 6.8060e-16 9.2087e-10 8.0414e-05 2.2270e-01 7.7722e-01
2.5816e+03 1.0023e-32 1.8744e-24 6.1406e-17 9.6753e-11 1.6012e-05 9.9096e-02 9.0089e-01
2.7393e+03 1.1184e-33 2.4066e-25 9.2825e-18 1.6638e-11 4.4537e-06 5.0673e-02 9.4932e-01
2.9067e+03 2.4303e-34 5.8732e-26 2.5806e-18 5.1762e-12 1.9067e-06 3.2339e-02 9.6766e-01
3.0842e+03 1.0393e-34 2.7922e-26 1.3689e-18 3.0511e-12 1.3164e-06 2.6709e-02 9.7329e-01
3.2726e+03 9.3307e-35 2.7340e-26 1.4517e-18 3.5327e-12 1.5061e-06 2.9020e-02 9.7098e-01
