#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 1.3787e-02 5.9275e-01 3.5515e-01 3.8307e-02
1919.29 2.2273e-02 6.1621e-01 3.2879e-01 3.2730e-02
2581.60 1.1017e-02 5.4526e-01 3.9420e-01 4.9521e-02
3084.17 4.2199e-03 4.3742e-01 4.8302e-01 7.5344e-02
3472.46 1.1867e-03 2.6149e-01 6.1828e-01 1.1904e-01
3909.64 2.2412e-04 1.2387e-01 7.0157e-01 1.7434e-01
4148.46 2.1245e-04 1.1968e-01 6.9865e-01 1.8146e-01
4670.75 2.4880e-04 1.3214e-01 6.9061e-01 1.7699e-01
4956.05 1.0374e-04 9.1022e-02 7.0673e-01 2.0214e-01
5258.79 1.8417e-05 3.2584e-02 7.2881e-01 2.3858e-01
5580.02 2.5799e-06 1.2814e-02 7.1855e-01 2.6863e-01
5920.87 5.1191e-07 5.1844e-03 7.0306e-01 2.9175e-01
6282.54 2.3818e-07 3.5344e-03 6.7617e-01 3.2029e-01
6666.30 2.2990e-07 3.5576e-03 6.6994e-01 3.2650e-01
7073.50 2.1225e-07 3.4299e-03 6.6517e-01 3.3140e-01
7505.58 2.1776e-07 3.5648e-03 6.4547e-01 3.5096e-01
7964.05 3.6442e-07 4.9036e-03 6.5668e-01 3.3842e-01
8450.53 1.4704e-06 1.0411e-02 6.6671e-01 3.2287e-01
8966.72 6.2859e-06 2.1130e-02 6.7193e-01 3.0693e-01
9514.44 2.3049e-05 4.4352e-02 6.6548e-01 2.9015e-01
10095.62 8.2264e-05 9.1204e-02 6.4785e-01 2.6086e-01
10712.30 1.9002e-04 1.2414e-01 6.3860e-01 2.3706e-01
11366.65 3.7924e-04 1.7479e-01 6.0532e-01 2.1951e-01
12061.10 3.8487e-04 2.0740e-01 5.7810e-01 2.1411e-01
12793.43 4.0789e-04 2.0153e-01 5.7795e-01 2.2011e-01
13528.61 5.6105e-04 2.1807e-01 5.5792e-01 2.2345e-01
14194.74 5.7783e-04 1.4830e-01 6.0018e-01 2.5094e-01
14757.77 1.4347e-04 6.4243e-02 6.5879e-01 2.7683e-01
15240.48 9.0533e-05 5.7935e-02 6.9394e-01 2.4804e-01
15646.99 7.6306e-05 4.2627e-02 7.6785e-01 1.8945e-01
15960.30 2.0325e-04 6.5583e-02 8.0087e-01 1.3335e-01
16187.41 2.1888e-04 8.0999e-02 8.0446e-01 1.1433e-01
16354.17 6.4351e-05 3.4532e-02 8.5293e-01 1.1247e-01
16484.18 5.5615e-05 3.0763e-02 8.5050e-01 1.1868e-01
16593.12 7.0077e-05 2.6480e-02 8.3330e-01 1.4015e-01
16691.99 8.2739e-05 4.2594e-02 8.0754e-01 1.4978e-01
16788.59 6.1708e-06 1.0967e-02 8.2828e-01 1.6074e-01
16888.37 7.5887e-05 5.0081e-02 7.9005e-01 1.5980e-01
16998.79 1.3712e-05 1.6314e-02 8.1245e-01 1.7123e-01
17146.37 7.4316e-06 1.2154e-02 8.0985e-01 1.7799e-01
17415.23 8.3612e-06 1.5320e-02 7.8038e-01 2.0429e-01
17888.12 1.1858e-06 5.0408e-03 7.6572e-01 2.2924e-01
18532.37 6.2157e-07 2.6783e-03 7.3927e-01 2.5805e-01
19260.76 4.6969e-07 2.8314e-03 7.1047e-01 2.8670e-01
20034.10 4.3071e-07 2.3967e-03 6.5755e-01 3.4006e-01
20838.00 3.0370e-07 2.0173e-03 6.0672e-01 3.9126e-01
21647.97 7.0695e-07 2.4566e-03 5.9405e-01 4.0349e-01
22447.94 2.4541e-06 4.9684e-03 5.1928e-01 4.7575e-01
23245.88 4.6476e-06 5.2897e-03 4.6818e-01 5.2653e-01
24052.47 1.9884e-05 5.4307e-02 3.9704e-01 5.4863e-01
24867.72 4.5932e-06 4.5098e-03 3.7791e-01 6.1757e-01
25698.86 2.0268e-06 1.1375e-02 3.4135e-01 6.4727e-01
26587.16 7.1850e-07 8.1532e-03 3.0582e-01 6.8603e-01
27637.54 2.9813e-07 3.1412e-03 2.9013e-01 7.0673e-01
28986.97 4.3970e-07 2.8625e-03 2.0293e-01 7.9421e-01
#TIME: 202.02
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 2.2281e-02 5.9627e-01 3.4572e-01 3.5737e-02
1919.29 1.6577e-02 6.1726e-01 3.3325e-01 3.2915e-02
2581.60 9.4781e-03 5.4540e-01 3.9541e-01 4.9712e-02
3084.17 4.5285e-03 4.3537e-01 4.8426e-01 7.5833e-02
3472.46 1.1705e-03 2.6089e-01 6.1900e-01 1.1894e-01
3909.64 2.1751e-04 1.1111e-01 7.1226e-01 1.7642e-01
4148.46 2.2805e-04 1.2932e-01 6.9157e-01 1.7888e-01
4670.75 2.6528e-04 1.3622e-01 6.8775e-01 1.7577e-01
4956.05 9.2997e-05 8.0964e-02 7.1398e-01 2.0497e-01
5258.79 1.8873e-05 3.4589e-02 7.2550e-01 2.3989e-01
5580.02 2.3021e-06 1.1622e-02 7.2023e-01 2.6815e-01
5920.87 5.7828e-07 5.6532e-03 7.0284e-01 2.9151e-01
6282.54 2.3127e-07 3.4027e-03 6.7600e-01 3.2060e-01
6666.30 2.1394e-07 3.4789e-03 6.6782e-01 3.2870e-01
7073.50 2.1392e-07 3.4537e-03 6.6443e-01 3.3211e-01
7505.58 2.0791e-07 3.3382e-03 6.4844e-01 3.4822e-01
7964.05 3.7395e-07 4.6704e-03 6.5324e-01 3.4209e-01
8450.53 1.3984e-06 1.0564e-02 6.6521e-01 3.2423e-01
8966.72 6.2206e-06 2.1818e-02 6.6816e-01 3.1002e-01
9514.44 2.4360e-05 4.8418e-02 6.6314e-01 2.8842e-01
10095.62 6.9597e-05 7.9809e-02 6.5663e-01 2.6349e-01
10712.30 1.8654e-04 1.3156e-01 6.3051e-01 2.3774e-01
11366.65 3.6263e-04 1.7153e-01 6.0690e-01 2.2121e-01
12061.10 3.1667e-04 1.8494e-01 5.9404e-01 2.2071e-01
12793.43 4.8425e-04 2.0205e-01 5.7784e-01 2.1963e-01
13528.61 3.6683e-04 1.9627e-01 5.7686e-01 2.2651e-01
14194.74 3.7004e-04 1.7222e-01 5.8479e-01 2.4262e-01
14757.77 2.6881e-04 9.9847e-02 6.3275e-01 2.6713e-01
15240.48 1.0351e-04 6.6849e-02 6.9099e-01 2.4206e-01
15646.99 8.4008e-05 4.9387e-02 7.6249e-01 1.8804e-01
15960.30 2.3703e-04 8.2800e-02 7.8623e-01 1.3073e-01
16187.41 2.7369e-04 8.3490e-02 8.0390e-01 1.1234e-01
16354.17 3.5132e-04 8.0875e-02 8.0805e-01 1.1072e-01
16484.18 5.2693e-05 3.4926e-02 8.4366e-01 1.2136e-01
16593.12 1.0778e-04 5.7078e-02 8.1347e-01 1.2934e-01
16691.99 1.7593e-04 5.8804e-02 7.9073e-01 1.5029e-01
16788.59 3.0228e-05 1.9585e-02 8.1959e-01 1.6079e-01
16888.37 2.9096e-05 2.3295e-02 8.0861e-01 1.6807e-01
16998.79 1.0153e-05 1.0224e-02 8.2284e-01 1.6693e-01
17146.37 5.1141e-06 1.0968e-02 8.0522e-01 1.8381e-01
17415.23 8.4200e-06 1.0465e-02 7.8982e-01 1.9970e-01
17888.12 1.0724e-06 4.0382e-03 7.5902e-01 2.3694e-01
18532.37 1.3610e-06 4.4440e-03 7.2356e-01 2.7200e-01
19260.76 1.1602e-06 4.6168e-03 6.9657e-01 2.9881e-01
20034.10 1.1012e-06 4.1313e-03 6.5421e-01 3.4166e-01
20838.00 1.7731e-07 1.3592e-03 6.2162e-01 3.7702e-01
21647.97 7.3983e-07 3.5861e-03 6.0883e-01 3.8759e-01
22447.94 1.2731e-06 6.1191e-03 5.3328e-01 4.6060e-01
23245.88 1.3924e-05 3.3994e-02 4.4923e-01 5.1676e-01
24052.47 1.9107e-05 5.3303e-02 3.8728e-01 5.5940e-01
24867.72 5.3731e-06 3.1394e-02 3.8363e-01 5.8497e-01
25698.86 1.9684e-05 1.0809e-02 3.4516e-01 6.4401e-01
