#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] c0 c1 c2 c3 c4 
440.10 1.46e-15 9.96e-09 1.99e-03 7.22e-01 2.76e-01 
999.11 2.18e-17 1.99e-10 9.58e-05 1.90e-01 8.10e-01 
1267.34 2.36e-19 2.61e-12 2.72e-06 2.54e-02 9.75e-01 
1514.05 1.15e-20 1.38e-13 2.31e-07 5.93e-03 9.94e-01 
1808.80 8.10e-22 1.15e-14 2.97e-08 1.79e-03 9.98e-01 
1919.29 8.95e-23 1.40e-15 5.35e-09 6.47e-04 9.99e-01 
2160.92 7.81e-24 1.28e-16 8.29e-10 2.04e-04 1.00e+00 
2292.92 2.70e-24 4.86e-17 3.75e-10 1.28e-04 1.00e+00 
2432.98 1.34e-24 2.53e-17 2.21e-10 9.41e-05 1.00e+00 
2581.60 9.10e-25 1.73e-17 1.61e-10 7.74e-05 1.00e+00 
2739.29 5.38e-25 1.07e-17 1.10e-10 6.20e-05 1.00e+00 
2906.62 4.19e-25 8.63e-18 9.30e-11 5.62e-05 1.00e+00 
3084.17 3.30e-25 7.25e-18 8.41e-11 5.36e-05 1.00e+00 
3272.56 2.30e-25 5.60e-18 7.30e-11 5.05e-05 1.00e+00 
3472.46 1.97e-25 5.26e-18 7.44e-11 5.23e-05 1.00e+00 
3684.57 1.63e-25 4.84e-18 7.60e-11 5.49e-05 1.00e+00 
3909.64 1.27e-25 4.41e-18 7.92e-11 5.93e-05 1.00e+00 
4148.46 1.37e-25 5.16e-18 9.71e-11 6.91e-05 1.00e+00 
4401.86 2.15e-25 7.92e-18 1.39e-10 8.57e-05 1.00e+00 
4670.75 3.24e-25 1.19e-17 1.99e-10 1.06e-04 1.00e+00 
4956.05 3.22e-25 1.29e-17 2.24e-10 1.15e-04 1.00e+00 
5258.79 2.73e-25 1.22e-17 2.29e-10 1.20e-04 1.00e+00 
5580.02 2.95e-25 1.42e-17 2.72e-10 1.34e-04 1.00e+00 
5920.87 3.68e-25 1.86e-17 3.53e-10 1.57e-04 1.00e+00 
6282.54 4.22e-25 2.29e-17 4.44e-10 1.84e-04 1.00e+00 
6666.30 6.64e-25 3.72e-17 6.87e-10 2.40e-04 1.00e+00 
7073.50 1.09e-24 6.43e-17 1.14e-09 3.29e-04 1.00e+00 
7505.58 1.89e-24 1.18e-16 2.01e-09 4.81e-04 1.00e+00 
7964.05 4.84e-24 3.21e-16 4.89e-09 8.43e-04 9.99e-01 
8450.53 2.22e-23 1.49e-15 1.83e-08 1.88e-03 9.98e-01 
8966.72 1.25e-22 8.55e-15 8.14e-08 4.60e-03 9.95e-01 
9514.44 1.63e-21 1.12e-13 7.15e-07 1.70e-02 9.83e-01 
10095.62 7.61e-20 4.76e-12 1.56e-05 1.04e-01 8.96e-01 
10712.30 6.58e-18 3.75e-10 5.08e-04 5.85e-01 4.14e-01 
11366.65 5.17e-16 2.56e-08 1.01e-02 9.69e-01 2.07e-02 
12061.10 8.31e-14 3.22e-06 2.43e-01 7.57e-01 1.36e-04 
12793.43 4.25e-12 1.03e-04 9.55e-01 4.47e-02 1.91e-08 
13528.61 1.51e-10 1.49e-03 9.98e-01 2.85e-04 1.01e-13 
14194.74 5.43e-09 2.02e-02 9.80e-01 1.01e-06 1.92e-19 
14757.77 1.10e-07 1.64e-01 8.36e-01 7.61e-09 2.85e-24 
15240.48 1.00e-06 5.67e-01 4.33e-01 6.21e-11 1.57e-28 
15646.99 4.48e-06 9.18e-01 8.22e-02 2.57e-13 3.11e-29 
15960.30 1.34e-05 9.86e-01 1.38e-02 1.57e-15 1.59e-29 
16187.41 3.08e-05 9.97e-01 2.97e-03 1.28e-17 7.53e-30 
16354.17 6.46e-05 1.00e+00 4.07e-04 1.09e-19 1.36e-30 
16484.18 9.15e-05 9.98e-01 2.21e-03 1.36e-19 8.08e-29 
16593.12 1.16e-04 1.00e+00 5.83e-05 6.57e-22 7.83e-30 
16691.99 1.55e-04 1.00e+00 3.90e-05 1.18e-22 1.14e-32 
16788.59 1.57e-04 1.00e+00 2.76e-05 2.71e-23 3.20e-29 
16888.37 2.93e-04 1.00e+00 8.38e-06 1.08e-24 1.91e-29 
16998.79 3.55e-04 1.00e+00 5.04e-06 3.08e-25 1.00e-29 
17146.37 4.21e-04 1.00e+00 1.43e-06 9.51e-27 1.27e-29 
17415.23 8.52e-04 9.99e-01 2.45e-07 4.37e-29 1.15e-30 
17888.12 2.60e-03 9.97e-01 2.59e-08 3.50e-29 1.88e-29 
18532.37 7.53e-03 9.92e-01 1.25e-09 1.52e-29 4.09e-30 
19260.76 2.84e-02 9.72e-01 7.13e-11 8.09e-30 1.54e-30 
20034.10 2.99e-02 9.70e-01 3.67e-12 4.19e-30 3.99e-31 
20838.00 1.03e-01 8.97e-01 4.06e-13 9.55e-30 2.60e-30 
21647.97 1.80e-01 8.20e-01 7.72e-14 1.01e-29 1.53e-30 
22447.94 2.63e-01 7.37e-01 5.76e-15 3.32e-30 4.56e-31 
23245.88 6.14e-01 3.86e-01 3.82e-16 2.76e-30 7.50e-31 
24052.47 6.89e-01 3.11e-01 8.32e-17 9.89e-30 1.07e-29 
24867.72 8.36e-01 1.64e-01 8.41e-18 4.67e-31 6.73e-32 
25698.86 8.70e-01 1.30e-01 1.33e-18 4.35e-30 1.84e-31 
26587.16 9.25e-01 7.50e-02 1.47e-19 2.08e-30 4.02e-30 
27637.54 8.07e-01 1.93e-01 1.26e-19 1.04e-29 1.52e-31 
28986.97 9.64e-01 3.62e-02 1.94e-21 8.69e-30 3.58e-31 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] c0 c1 c2 c3 c4 
440.10 5.37e-16 4.37e-09 1.06e-03 6.00e-01 3.99e-01 
999.11 1.15e-17 1.17e-10 5.98e-05 1.48e-01 8.52e-01 
1267.34 1.65e-19 1.96e-12 2.09e-06 2.20e-02 9.78e-01 
1514.05 9.87e-21 1.27e-13 2.13e-07 5.70e-03 9.94e-01 
1808.80 7.72e-22 1.15e-14 2.99e-08 1.81e-03 9.98e-01 
1919.29 1.13e-22 1.82e-15 6.50e-09 7.32e-04 9.99e-01 
2160.92 1.84e-23 2.99e-16 1.52e-09 2.95e-04 1.00e+00 
2292.92 3.16e-24 5.86e-17 4.40e-10 1.41e-04 1.00e+00 
2432.98 1.59e-24 3.11e-17 2.64e-10 1.05e-04 1.00e+00 
2581.60 9.15e-25 1.88e-17 1.78e-10 8.34e-05 1.00e+00 
2739.29 6.00e-25 1.27e-17 1.30e-10 6.91e-05 1.00e+00 
2906.62 4.65e-25 1.02e-17 1.11e-10 6.29e-05 1.00e+00 
3084.17 3.27e-25 7.81e-18 9.35e-11 5.78e-05 1.00e+00 
3272.56 2.27e-25 5.99e-18 8.06e-11 5.40e-05 1.00e+00 
3472.46 1.93e-25 5.58e-18 8.19e-11 5.59e-05 1.00e+00 
3684.57 1.66e-25 5.31e-18 8.58e-11 5.93e-05 1.00e+00 
3909.64 1.36e-25 5.02e-18 9.20e-11 6.50e-05 1.00e+00 
4148.46 1.39e-25 5.57e-18 1.08e-10 7.40e-05 1.00e+00 
4401.86 2.28e-25 8.88e-18 1.60e-10 9.32e-05 1.00e+00 
4670.75 3.52e-25 1.37e-17 2.31e-10 1.16e-04 1.00e+00 
4956.05 3.16e-25 1.36e-17 2.46e-10 1.23e-04 1.00e+00 
5258.79 2.73e-25 1.31e-17 2.54e-10 1.28e-04 1.00e+00 
5580.02 3.30e-25 1.67e-17 3.24e-10 1.49e-04 1.00e+00 
5920.87 3.53e-25 1.93e-17 3.83e-10 1.67e-04 1.00e+00 
6282.54 4.67e-25 2.68e-17 5.26e-10 2.04e-04 1.00e+00 
6666.30 7.08e-25 4.23e-17 7.99e-10 2.64e-04 1.00e+00 
7073.50 1.30e-24 8.06e-17 1.42e-09 3.77e-04 1.00e+00 
7505.58 2.21e-24 1.46e-16 2.49e-09 5.48e-04 9.99e-01 
7964.05 5.95e-24 4.15e-16 6.26e-09 9.79e-04 9.99e-01 
8450.53 3.05e-23 2.14e-15 2.55e-08 2.27e-03 9.98e-01 
8966.72 1.69e-22 1.21e-14 1.13e-07 5.61e-03 9.94e-01 
9514.44 2.45e-21 1.73e-13 1.05e-06 2.16e-02 9.78e-01 
10095.62 1.18e-19 7.61e-12 2.35e-05 1.32e-01 8.68e-01 
10712.30 9.74e-18 5.73e-10 7.11e-04 6.59e-01 3.40e-01 
11366.65 7.24e-16 3.65e-08 1.30e-02 9.73e-01 1.45e-02 
12061.10 1.22e-13 4.74e-06 3.10e-01 6.90e-01 8.16e-05 
12793.43 4.99e-12 1.19e-04 9.67e-01 3.28e-02 8.86e-09 
13528.61 1.76e-10 1.70e-03 9.98e-01 1.83e-04 4.25e-14 
14194.74 6.38e-09 2.32e-02 9.77e-01 1.20e-06 1.51e-19 
14757.77 1.32e-07 1.90e-01 8.10e-01 6.41e-09 1.59e-24 
15240.48 1.12e-06 6.34e-01 3.66e-01 4.13e-11 1.10e-28 
15646.99 4.51e-06 9.27e-01 7.34e-02 1.70e-13 3.27e-29 
15960.30 1.46e-05 9.84e-01 1.56e-02 1.16e-15 1.56e-29 
16187.41 3.42e-05 9.97e-01 2.99e-03 1.18e-17 1.44e-29 
16354.17 6.33e-05 9.99e-01 7.34e-04 2.24e-19 2.88e-29 
16484.18 8.73e-05 1.00e+00 1.56e-04 6.50e-21 7.66e-31 
16593.12 1.10e-04 1.00e+00 8.39e-05 7.01e-22 2.14e-29 
16691.99 1.73e-04 1.00e+00 2.56e-05 3.12e-23 6.26e-30 
16788.59 1.94e-04 1.00e+00 1.75e-05 7.76e-24 7.52e-30 
16888.37 2.66e-04 1.00e+00 1.20e-05 1.61e-24 4.24e-29 
16998.79 3.77e-04 1.00e+00 1.65e-05 4.09e-25 3.66e-29 
17146.37 4.10e-04 1.00e+00 1.48e-06 7.19e-27 2.24e-29 
17415.23 7.89e-04 9.99e-01 2.82e-07 1.34e-28 8.78e-29 
17888.12 2.33e-03 9.98e-01 2.56e-08 4.69e-29 2.13e-29 
18532.37 9.41e-03 9.91e-01 1.21e-09 1.94e-29 7.86e-30 
19260.76 6.58e-03 9.93e-01 6.24e-11 9.55e-30 3.42e-30 
20034.10 8.07e-02 9.19e-01 2.99e-12 1.02e-29 6.79e-30 
20838.00 5.60e-02 9.44e-01 2.88e-13 7.18e-30 1.41e-30 
21647.97 1.10e-01 8.90e-01 3.93e-14 3.56e-30 4.23e-31 
22447.94 3.53e-01 6.47e-01 5.03e-15 5.75e-30 1.62e-30 
23245.88 6.26e-01 3.74e-01 3.76e-16 5.74e-30 1.53e-30 
24052.47 7.26e-01 2.74e-01 7.84e-17 5.11e-30 3.28e-31 
24867.72 7.18e-01 2.82e-01 2.21e-17 1.21e-29 1.29e-29 
25698.86 8.45e-01 1.55e-01 1.69e-18 5.90e-30 5.92e-31 
26587.16 9.22e-01 7.77e-02 1.64e-19 6.02e-30 1.33e-30 
27637.54 9.08e-01 9.15e-02 5.48e-20 2.98e-30 1.50e-31 
28986.97 9.04e-01 9.62e-02 8.57e-21 4.55e-29 3.58e-30 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] c0 c1 c2 c3 c4 
440.10 6.45e-16 5.25e-09 1.23e-03 6.30e-01 3.68e-01 
999.11 9.21e-18 9.94e-11 5.58e-05 1.45e-01 8.55e-01 
1267.34 1.07e-19 1.40e-12 1.67e-06 1.96e-02 9.80e-01 
1514.05 7.08e-21 9.99e-14 1.84e-07 5.35e-03 9.95e-01 
1808.80 6.28e-22 1.01e-14 2.82e-08 1.78e-03 9.98e-01 
1919.29 9.31e-23 1.65e-15 6.47e-09 7.49e-04 9.99e-01 
2160.92 1.25e-23 2.37e-16 1.39e-09 2.94e-04 1.00e+00 
2292.92 2.46e-24 4.97e-17 4.12e-10 1.39e-04 1.00e+00 
2432.98 1.28e-24 2.75e-17 2.58e-10 1.06e-04 1.00e+00 
2581.60 8.22e-25 1.83e-17 1.84e-10 8.64e-05 1.00e+00 
2739.29 5.18e-25 1.20e-17 1.31e-10 7.09e-05 1.00e+00 
2906.62 3.97e-25 9.63e-18 1.12e-10 6.48e-05 1.00e+00 
3084.17 3.14e-25 8.11e-18 1.02e-10 6.17e-05 1.00e+00 
3272.56 2.36e-25 6.66e-18 9.20e-11 5.92e-05 1.00e+00 
3472.46 2.02e-25 6.24e-18 9.38e-11 6.12e-05 1.00e+00 
3684.57 1.70e-25 5.83e-18 9.69e-11 6.45e-05 1.00e+00 
3909.64 1.34e-25 5.29e-18 1.01e-10 6.94e-05 1.00e+00 
4148.46 1.41e-25 6.04e-18 1.21e-10 7.97e-05 1.00e+00 
4401.86 2.40e-25 9.90e-18 1.82e-10 1.02e-04 1.00e+00 
4670.75 3.37e-25 1.41e-17 2.49e-10 1.23e-04 1.00e+00 
4956.05 3.37e-25 1.54e-17 2.83e-10 1.35e-04 1.00e+00 
5258.79 3.01e-25 1.52e-17 2.97e-10 1.41e-04 1.00e+00 
5580.02 3.27e-25 1.78e-17 3.57e-10 1.59e-04 1.00e+00 
5920.87 3.96e-25 2.27e-17 4.54e-10 1.86e-04 1.00e+00 
6282.54 5.19e-25 3.14e-17 6.23e-10 2.27e-04 1.00e+00 
6666.30 7.73e-25 4.90e-17 9.38e-10 2.94e-04 1.00e+00 
7073.50 1.29e-24 8.52e-17 1.57e-09 4.07e-04 1.00e+00 
