#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] c0 c1 c2 c3
1060.83 8.5592e-04 9.3556e-01 6.3272e-02 3.0800e-04
1919.29 8.3567e-04 9.4184e-01 5.7081e-02 2.4648e-04
2581.60 6.5656e-04 9.2236e-01 7.6535e-02 4.5079e-04
3084.17 6.0281e-04 8.7737e-01 1.2098e-01 1.0517e-03
3472.46 4.1541e-04 7.7637e-01 2.2023e-01 2.9832e-03
3909.64 2.2971e-04 6.1698e-01 3.7483e-01 7.9587e-03
4148.46 2.3630e-04 6.3402e-01 3.5862e-01 7.1168e-03
4670.75 2.5117e-04 6.5663e-01 3.3665e-01 6.4684e-03
4956.05 1.4842e-04 5.7382e-01 4.1560e-01 1.0435e-02
5258.79 5.5337e-05 3.3273e-01 6.4471e-01 2.2510e-02
5580.02 1.8326e-05 1.6573e-01 7.9666e-01 3.7593e-02
5920.87 5.4828e-06 7.9668e-02 8.7022e-01 5.0103e-02
6282.54 3.1359e-06 5.7757e-02 8.7749e-01 6.4748e-02
6666.30 2.6015e-06 5.4526e-02 8.7593e-01 6.9541e-02
7073.50 2.5998e-06 5.6748e-02 8.7356e-01 6.9694e-02
7505.58 2.7580e-06 6.1185e-02 8.6687e-01 7.1944e-02
7964.05 3.8966e-06 7.9400e-02 8.5895e-01 6.1649e-02
8450.53 1.1409e-05 1.5062e-01 8.0161e-01 4.7762e-02
8966.72 2.9084e-05 2.6515e-01 7.0098e-01 3.3838e-02
9514.44 5.9158e-05 4.1508e-01 5.6216e-01 2.2701e-02
10095.62 1.1593e-04 5.7288e-01 4.1487e-01 1.2142e-02
10712.30 1.6345e-04 6.5789e-01 3.3438e-01 7.5689e-03
11366.65 2.2540e-04 7.1673e-01 2.7781e-01 5.2437e-03
12061.10 1.8731e-04 7.6605e-01 2.2966e-01 4.0983e-03
12793.43 1.4788e-04 7.4613e-01 2.4910e-01 4.6270e-03
13528.61 1.1061e-04 7.5670e-01 2.3893e-01 4.2516e-03
14194.74 7.9572e-05 7.1554e-01 2.7854e-01 5.8431e-03
14757.77 4.3769e-05 5.8072e-01 4.1162e-01 7.6158e-03
15240.48 4.1511e-05 5.3314e-01 4.5973e-01 7.0848e-03
15646.99 4.7336e-05 4.6462e-01 5.2965e-01 5.6866e-03
15960.30 6.4447e-05 5.7098e-01 4.2590e-01 3.0558e-03
16187.41 7.7262e-05 5.8737e-01 4.1013e-01 2.4258e-03
16354.17 6.5575e-05 4.0153e-01 5.9490e-01 3.5005e-03
16484.18 5.9895e-05 3.3577e-01 6.6036e-01 3.8085e-03
16593.12 4.8881e-05 3.6683e-01 6.2857e-01 4.5481e-03
16691.99 6.2075e-05 4.5697e-01 5.3864e-01 4.3318e-03
16788.59 4.3677e-05 1.6394e-01 8.2946e-01 6.5508e-03
16888.37 4.1372e-05 3.6267e-01 6.3187e-01 5.4239e-03
16998.79 1.5015e-05 2.0282e-01 7.8955e-01 7.6089e-03
17146.37 1.2567e-05 2.0173e-01 7.9032e-01 7.9421e-03
17415.23 1.5889e-05 2.3226e-01 7.5878e-01 8.9482e-03
17888.12 5.4026e-06 9.4265e-02 8.9282e-01 1.2911e-02
18532.37 2.8145e-06 5.2789e-02 9.3196e-01 1.5244e-02
19260.76 1.9899e-06 4.8579e-02 9.3309e-01 1.8330e-02
20034.10 2.3573e-06 6.3101e-02 9.1392e-01 2.2978e-02
20838.00 1.6320e-06 4.9148e-02 9.2344e-01 2.7407e-02
21647.97 2.9584e-06 7.1300e-02 8.9430e-01 3.4394e-02
22447.94 2.7229e-06 9.9196e-02 8.5993e-01 4.0873e-02
23245.88 3.7151e-06 1.4227e-01 8.0385e-01 5.3883e-02
24052.47 8.0501e-06 5.0629e-01 4.5466e-01 3.9037e-02
24867.72 2.8225e-06 1.4823e-01 7.8407e-01 6.7694e-02
25698.86 5.2776e-06 2.6213e-01 6.6650e-01 7.1369e-02
26587.16 4.4151e-06 2.5282e-01 6.6097e-01 8.6202e-02
27637.54 1.6815e-06 9.9383e-02 7.4986e-01 1.5076e-01
28986.97 1.2896e-06 8.8138e-02 7.6630e-01 1.4556e-01
#TIME: 202.02
#NVEL 78
#vel_mid[km/s] c0 c1 c2 c3
1060.83 8.1219e-04 9.3764e-01 6.1261e-02 2.8963e-04
1919.29 8.7086e-04 9.4149e-01 5.7396e-02 2.4733e-04
2581.60 6.6906e-04 9.2257e-01 7.6312e-02 4.4439e-04
3084.17 5.9081e-04 8.7872e-01 1.1963e-01 1.0581e-03
3472.46 4.3583e-04 7.7564e-01 2.2098e-01 2.9459e-03
3909.64 2.4136e-04 6.0003e-01 3.9142e-01 8.3142e-03
4148.46 2.3499e-04 6.5937e-01 3.3375e-01 6.6373e-03
4670.75 2.4099e-04 6.6413e-01 3.2937e-01 6.2560e-03
4956.05 1.3661e-04 5.5769e-01 4.3172e-01 1.0453e-02
5258.79 6.4562e-05 3.5104e-01 6.2714e-01 2.1756e-02
5580.02 1.7448e-05 1.6001e-01 8.0145e-01 3.8521e-02
5920.87 6.3572e-06 8.4220e-02 8.6563e-01 5.0149e-02
6282.54 2.8595e-06 5.6272e-02 8.7822e-01 6.5505e-02
6666.30 2.7290e-06 5.5983e-02 8.7553e-01 6.8484e-02
7073.50 2.7173e-06 5.8604e-02 8.7621e-01 6.5186e-02
7505.58 2.4925e-06 5.6805e-02 8.6337e-01 7.9818e-02
7964.05 3.8700e-06 7.8021e-02 8.5534e-01 6.6636e-02
8450.53 1.1285e-05 1.4782e-01 8.0156e-01 5.0612e-02
8966.72 2.5165e-05 2.6718e-01 6.9761e-01 3.5188e-02
