#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           c0           c1           c2           c3           c4
    8.772128E+02   6.2556E-024   9.3246E-017   3.9106E-010   1.6203E-004   9.9984E-001
    8.826573E+02   6.2556E-024   9.3246E-017   3.9106E-010   1.6203E-004   9.9984E-001
    8.991942E+02   6.2556E-024   9.3246E-017   3.9106E-010   1.6203E-004   9.9984E-001
    9.332033E+02   6.2556E-024   9.3246E-017   3.9106E-010   1.6203E-004   9.9984E-001
    9.912889E+02   6.2556E-024   9.3246E-017   3.9106E-010   1.6203E-004   9.9984E-001
    1.052238E+03   6.2556E-024   9.3246E-017   3.9106E-010   1.6203E-004   9.9984E-001
    1.116940E+03   6.2534E-024   9.3207E-017   3.9095E-010   1.6202E-004   9.9984E-001
    1.185621E+03   6.2307E-024   9.2804E-017   3.8978E-010   1.6195E-004   9.9984E-001
    1.258525E+03   6.1836E-024   9.1972E-017   3.8737E-010   1.6179E-004   9.9984E-001
    1.335911E+03   6.1785E-024   9.1383E-017   3.8559E-010   1.6192E-004   9.9984E-001
    1.418056E+03   5.8947E-024   8.6872E-017   3.7250E-010   1.6088E-004   9.9984E-001
    1.505253E+03   2.7745E-025   6.2799E-018   6.5891E-011   1.0180E-004   9.9990E-001
    1.597810E+03   2.4728E-025   5.7319E-018   6.2049E-011   9.9857E-005   9.9990E-001
    1.696060E+03   8.2584E-026   2.2924E-018   3.4288E-011   8.6032E-005   9.9991E-001
    1.800350E+03   6.7071E-026   1.8907E-018   3.0408E-011   8.4503E-005   9.9992E-001
    1.911054E+03   1.4857E-026   5.3766E-019   1.3615E-011   6.9781E-005   9.9993E-001
    2.028564E+03   9.6787E-027   3.7428E-019   1.0834E-011   6.6341E-005   9.9993E-001
    2.153300E+03   2.9153E-027   1.3798E-019   5.7672E-012   5.7310E-005   9.9994E-001
    2.285707E+03   9.4999E-028   5.5231E-020   3.2266E-012   4.9637E-005   9.9995E-001
    2.426255E+03   3.7913E-028   2.6317E-020   2.0129E-012   4.3949E-005   9.9996E-001
    2.575445E+03   9.6934E-029   8.6153E-021   9.9809E-013   3.7045E-005   9.9996E-001
    2.733809E+03   5.1032E-029   5.1431E-021   7.1964E-013   3.4010E-005   9.9997E-001
    2.901910E+03   2.8254E-029   3.1953E-021   5.3253E-013   3.1448E-005   9.9997E-001
    3.080349E+03   1.6424E-029   2.1049E-021   4.0534E-013   2.8993E-005   9.9997E-001
    3.269759E+03   1.1668E-029   1.6511E-021   3.4240E-013   2.7275E-005   9.9997E-001
    3.470816E+03   9.8611E-030   1.5009E-021   3.1643E-013   2.6168E-005   9.9997E-001
    3.684237E+03   8.5666E-030   1.4116E-021   2.9735E-013   2.5032E-005   9.9998E-001
    3.910780E+03   6.6722E-030   1.2249E-021   2.6486E-013   2.3552E-005   9.9998E-001
    4.151254E+03   7.2307E-030   1.4171E-021   2.8123E-013   2.2811E-005   9.9998E-001
    4.406514E+03   8.9128E-030   1.6740E-021   3.1299E-013   2.3729E-005   9.9998E-001
    4.677470E+03   5.8783E-030   1.1748E-021   2.5158E-013   2.2722E-005   9.9998E-001
    4.965088E+03   2.6627E-030   6.4677E-022   1.6921E-013   1.9583E-005   9.9998E-001
    5.270391E+03   1.7045E-030   4.5569E-022   1.3490E-013   1.8128E-005   9.9998E-001
    5.594466E+03   1.4014E-030   3.9381E-022   1.2234E-013   1.7384E-005   9.9998E-001
    5.938470E+03   1.2682E-030   3.6966E-022   1.1670E-013   1.6853E-005   9.9998E-001
    6.303626E+03   1.1962E-030   3.6356E-022   1.1408E-013   1.6273E-005   9.9998E-001
    6.691235E+03   1.1557E-030   3.6049E-022   1.1261E-013   1.5926E-005   9.9998E-001
    7.102679E+03   1.1336E-030   3.6166E-022   1.1204E-013   1.5636E-005   9.9998E-001
    7.539422E+03   1.1275E-030   3.7974E-022   1.1337E-013   1.4870E-005   9.9999E-001
