#NTIMES: 265
#NSTAGES: 6
#TIMES[d]: 1.0736 1.18096 1.299056 1.428962 1.571858 1.729044 1.901948 2.092143 2.301357 2.531493 2.784642 3.063106 3.369417 3.706359 4.076994 4.484694 4.933163 5.426479 5.969127 6.56604 7.222644 7.944908 8.739399 9.613339 10.574673 11.574673 12.574673 13.574673 14.574673 15.574673 16.574673 17.574673 18.574673 19.574673 20.574673 21.574673 22.574673 23.574673 24.574673 25.574673 26.574673 27.574673 28.574673 29.574673 30.574673 31.574673 32.574673 33.574673 34.574673 35.574673 36.574673 37.574673 38.574673 39.574673 40.574673 41.574673 42.574673 43.574673 44.574673 45.574673 46.574673 47.574673 48.57467 49.57467 50.57467 51.57467 52.57467 53.57467 54.57467 55.57467 56.57467 57.57467 58.57467 59.57467 60.57467 61.57467 62.57467 63.57467 64.57467 65.57467 66.57467 67.57467 68.57467 69.57467 70.57467 71.57467 72.57467 73.57467 74.57467 75.57467 76.57467 77.57467 78.57467 79.57467 80.57467 81.57467 82.57467 83.57467 84.57467 85.57467 86.57467 87.57467 88.57467 89.57467 90.57467 91.57467 92.57467 93.57467 94.57467 95.57467 96.57467 97.574676 98.574676 99.574676 100.574676 101.574676 102.574676 103.574676 104.574676 105.574676 106.574676 107.574676 108.574676 109.574676 110.574676 111.574676 112.574676 113.574676 114.574676 115.574676 116.574676 117.574676 118.574676 119.574676 120.574676 121.574676 122.574676 123.574676 124.574676 125.574676 126.574676 127.574676 128.574676 129.574676 130.574676 131.574676 132.574676 133.574676 134.574676 135.574676 136.574676 137.574676 138.574676 139.574676 140.574676 141.574676 142.574676 143.574676 144.574676 145.574676 146.574676 147.574676 148.574676 149.574676 150.574676 151.574676 152.574676 153.574676 154.574676 155.574676 156.574676 157.574676 158.574676 159.574676 160.574676 161.574676 162.574676 163.574676 164.574676 165.574676 166.574676 167.574676 168.574676 169.574676 170.574676 171.574676 172.574676 173.574676 174.574676 175.574676 176.574676 177.574676 178.574676 179.574676 180.574676 181.574676 182.574676 183.574676 184.574676 185.574676 186.574676 187.574676 188.574676 189.574676 190.574676 191.574676 192.574676 193.574676 194.574676 195.574676 196.574676 197.574676 198.574676 199.574676 200.574676 201.574676 202.574676 203.574676 204.574676 205.574676 206.574676 207.574676 208.574676 209.574676 210.574676 211.574676 212.574676 213.574676 214.574676 215.574676 216.574676 217.574676 218.574676 219.574676 220.574676 221.574676 222.574676 223.574676 224.574676 225.574676 226.574676 227.574676 228.574676 229.574676 230.574676 231.574676 232.574676 233.574676 234.574676 235.574676 236.574676 237.574676 238.574676 239.574676 240.574676 241.574676 242.574676 243.574676 244.574676 245.574676 246.574676 247.574676 248.574676 249.574676 250.574676
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] C0 C1 C2 C3 C4 C5
4.401e+02 2.352212e-23 1.828503e-15 1.738029e-09 1.407614e-04 9.998592e-01 2.770262e-18
8.862e+02 2.352212e-23 1.828503e-15 1.738029e-09 1.407614e-04 9.998592e-01 2.770262e-18
9.061e+02 2.352212e-23 1.828503e-15 1.738029e-09 1.407614e-04 9.998592e-01 2.770262e-18
9.444e+02 2.352212e-23 1.828503e-15 1.738029e-09 1.407614e-04 9.998592e-01 2.770262e-18
9.991e+02 2.349635e-23 1.826885e-15 1.737020e-09 1.407105e-04 9.998593e-01 2.777202e-18
1.061e+03 2.341532e-23 1.821771e-15 1.733835e-09 1.405479e-04 9.998595e-01 2.800319e-18
1.126e+03 2.314688e-23 1.804670e-15 1.723182e-09 1.399922e-04 9.998600e-01 2.886584e-18
1.194e+03 2.231937e-23 1.751357e-15 1.689814e-09 1.382160e-04 9.998618e-01 3.200210e-18
1.267e+03 1.899321e-23 1.535079e-15 1.550673e-09 1.308627e-04 9.998691e-01 4.863043e-18
1.345e+03 9.691947e-24 8.879371e-16 1.087944e-09 1.052111e-04 9.998948e-01 2.596937e-17
1.427e+03 2.524651e-24 2.981537e-16 5.425723e-10 7.077254e-05 9.999292e-01 6.708602e-16
1.514e+03 5.807913e-25 9.122452e-17 2.575476e-10 4.875629e-05 9.999512e-01 1.809806e-14
1.607e+03 1.684368e-25 3.387511e-17 1.385519e-10 3.707163e-05 9.999629e-01 2.292547e-13
1.705e+03 5.803753e-26 1.442351e-17 8.157776e-11 3.012836e-05 9.999699e-01 2.137626e-12
1.809e+03 1.944787e-26 5.999934e-18 4.752906e-11 2.501502e-05 9.999750e-01 2.199990e-11
1.919e+03 6.079753e-27 2.366720e-18 2.682648e-11 2.094145e-05 9.999791e-01 2.408149e-10
2.037e+03 1.838247e-27 9.099156e-19 1.492819e-11 1.777115e-05 9.999822e-01 2.733964e-09
2.161e+03 5.313211e-28 3.387892e-19 8.134555e-12 1.509465e-05 9.999849e-01 2.962406e-08
2.293e+03 1.418225e-28 1.192391e-19 4.262149e-12 1.260194e-05 9.999871e-01 2.902650e-07
2.433e+03 3.813641e-29 4.228812e-20 2.242540e-12 1.056499e-05 9.999868e-01 2.638900e-06
2.582e+03 1.232193e-29 1.732425e-20 1.291889e-12 9.143632e-06 9.999727e-01 1.810967e-05
2.739e+03 5.243725e-30 8.826220e-21 8.515105e-13 8.205775e-06 9.999153e-01 7.648395e-05
2.907e+03 2.801404e-30 5.404330e-21 6.263392e-13 7.482925e-06 9.998046e-01 1.879048e-04
3.084e+03 1.777580e-30 3.821992e-21 4.997437e-13 6.791574e-06 9.997381e-01 2.551501e-04
3.273e+03 1.390447e-30 3.210735e-21 4.406129e-13 6.187890e-06 9.998051e-01 1.887386e-04
3.472e+03 1.343044e-30 3.197531e-21 4.301022e-13 5.723870e-06 9.999086e-01 8.564886e-05
3.685e+03 1.546891e-30 3.680790e-21 4.567161e-13 5.319722e-06 9.999714e-01 2.324786e-05
3.910e+03 1.883076e-30 4.467066e-21 4.971038e-13 4.855853e-06 9.999910e-01 4.118098e-06
4.148e+03 2.774153e-30 6.207034e-21 5.968843e-13 4.778246e-06 9.999943e-01 9.235804e-07
4.402e+03 4.110155e-30 8.468400e-21 7.234169e-13 5.037843e-06 9.999945e-01 4.705757e-07
4.671e+03 3.357506e-30 7.243615e-21 6.546319e-13 4.851610e-06 9.999946e-01 5.836042e-07
4.956e+03 1.612430e-30 4.145328e-21 4.546518e-13 4.133148e-06 9.999949e-01 9.396794e-07
5.259e+03 7.789990e-31 2.390062e-21 3.164521e-13 3.496451e-06 9.999951e-01 1.354482e-06
5.580e+03 5.159544e-31 1.753618e-21 2.575860e-13 3.160149e-06 9.999953e-01 1.537099e-06
5.921e+03 4.166174e-31 1.505012e-21 2.309894e-13 2.931395e-06 9.999958e-01 1.233666e-06
6.282e+03 3.790813e-31 1.421531e-21 2.195221e-13 2.752805e-06 9.999965e-01 7.658151e-07
6.666e+03 4.003525e-31 1.504650e-21 2.246534e-13 2.668934e-06 9.999969e-01 4.239038e-07
7.074e+03 4.653337e-31 1.721000e-21 2.408684e-13 2.612215e-06 9.999972e-01 1.865484e-07
7.506e+03 5.546073e-31 2.027720e-21 2.608960e-13 2.505822e-06 9.999974e-01 5.506270e-08
