#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ca0 ca1 ca2 ca3
440.10 1.5344e-08 7.3921e-04 8.9815e-01 1.0111e-01
886.22 1.7218e-08 8.8256e-04 8.9733e-01 1.0179e-01
906.14 1.8727e-08 8.5076e-04 8.9381e-01 1.0534e-01
944.43 2.2690e-08 9.4009e-04 8.9766e-01 1.0140e-01
999.11 1.9697e-08 8.0691e-04 9.0337e-01 9.5825e-02
1060.83 2.8051e-08 1.2533e-03 8.8798e-01 1.1077e-01
1125.62 1.4878e-08 6.2259e-04 8.9644e-01 1.0294e-01
1194.38 1.4306e-08 6.0945e-04 8.9713e-01 1.0226e-01
1267.34 1.4703e-08 6.8278e-04 8.9365e-01 1.0567e-01
1344.75 1.2772e-08 5.9396e-04 8.9590e-01 1.0350e-01
1426.89 2.0184e-08 8.4466e-04 9.0272e-01 9.6438e-02
1514.05 1.8327e-08 7.8146e-04 9.0545e-01 9.3764e-02
1606.54 1.7877e-08 7.5094e-04 9.0083e-01 9.8423e-02
1704.67 1.4494e-08 6.1695e-04 9.0386e-01 9.5527e-02
1808.80 1.3051e-08 5.9508e-04 9.0459e-01 9.4814e-02
1919.29 1.3783e-08 5.7682e-04 9.0444e-01 9.4980e-02
2036.53 1.4221e-08 5.8177e-04 9.0460e-01 9.4818e-02
2160.92 1.1477e-08 5.3065e-04 9.0248e-01 9.6993e-02
2292.92 1.0079e-08 4.9815e-04 8.9556e-01 1.0394e-01
2432.98 7.1528e-09 4.2099e-04 8.8510e-01 1.1448e-01
2581.60 6.9890e-09 4.7719e-04 8.7595e-01 1.2357e-01
2739.29 6.4147e-09 5.0873e-04 8.6449e-01 1.3501e-01
2906.62 4.0436e-09 4.0966e-04 8.4300e-01 1.5659e-01
3084.17 3.0030e-09 3.7098e-04 8.1092e-01 1.8871e-01
3272.56 2.3575e-09 3.6590e-04 7.4721e-01 2.5242e-01
3472.46 1.6923e-09 3.3717e-04 6.6890e-01 3.3077e-01
3684.57 1.3497e-09 3.3299e-04 5.5400e-01 4.4566e-01
3909.64 9.9253e-10 3.1008e-04 4.8069e-01 5.1900e-01
4148.46 7.1838e-10 2.5965e-04 5.0434e-01 4.9540e-01
4401.86 7.6290e-10 2.8089e-04 5.5291e-01 4.4681e-01
4670.75 6.1542e-10 2.5908e-04 5.3064e-01 4.6911e-01
4956.05 2.9247e-10 1.7577e-04 4.2915e-01 5.7068e-01
5258.79 8.7003e-11 7.9865e-05 2.6037e-01 7.3955e-01
5580.02 2.8307e-11 3.4960e-05 1.2393e-01 8.7604e-01
