#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ca0           ca1           ca2           ca3           ca4
    8.772128E+02   1.0000E-099   1.1992E-016   2.9456E-011   2.5193E-005   9.9997E-001
    8.826573E+02   1.0000E-099   1.1992E-016   2.9456E-011   2.5193E-005   9.9997E-001
    8.991942E+02   1.0000E-099   1.1992E-016   2.9456E-011   2.5193E-005   9.9997E-001
    9.332033E+02   1.0000E-099   1.1992E-016   2.9456E-011   2.5193E-005   9.9997E-001
    9.912889E+02   1.0000E-099   1.1992E-016   2.9456E-011   2.5193E-005   9.9997E-001
    1.052238E+03   1.0000E-099   1.1992E-016   2.9456E-011   2.5193E-005   9.9997E-001
    1.116940E+03   1.0000E-099   1.1986E-016   2.9446E-011   2.5188E-005   9.9997E-001
    1.185621E+03   1.0000E-099   1.1929E-016   2.9346E-011   2.5140E-005   9.9997E-001
    1.258525E+03   1.0000E-099   1.1810E-016   2.9137E-011   2.5041E-005   9.9997E-001
    1.335911E+03   1.0000E-099   1.1700E-016   2.8955E-011   2.4947E-005   9.9998E-001
    1.418056E+03   1.0000E-099   1.1082E-016   2.7850E-011   2.4425E-005   9.9998E-001
    1.505253E+03   1.0000E-099   8.7305E-018   4.3686E-012   9.5667E-006   9.9999E-001
    1.597810E+03   1.0000E-099   8.0187E-018   4.1051E-012   9.2757E-006   9.9999E-001
    1.696060E+03   1.0000E-099   3.3326E-018   2.1739E-012   6.7917E-006   9.9999E-001
    1.800350E+03   1.0000E-099   2.7302E-018   1.8942E-012   6.3618E-006   9.9999E-001
    1.911054E+03   1.0000E-099   8.1379E-019   7.9420E-013   4.1895E-006   1.0000E+000
    2.028564E+03   1.0000E-099   5.7091E-019   6.1791E-013   3.7213E-006   1.0000E+000
    2.153300E+03   1.0000E-099   2.1751E-019   3.1073E-013   2.6918E-006   1.0000E+000
    2.285707E+03   1.0000E-099   9.0776E-020   1.6606E-013   2.0035E-006   1.0000E+000
    2.426255E+03   1.0000E-099   4.5022E-020   1.0019E-013   1.5782E-006   1.0000E+000
    2.575445E+03   1.0000E-099   1.5345E-020   4.6677E-014   1.1080E-006   1.0000E+000
    2.733809E+03   1.0000E-099   9.4092E-021   3.2862E-014   9.4028E-007   1.0000E+000
    2.901910E+03   1.0000E-099   5.9847E-021   2.3772E-014   8.0865E-007   1.0000E+000
    3.080349E+03   1.0000E-099   4.1146E-021   1.7960E-014   7.0548E-007   1.0000E+000
    3.269759E+03   1.0000E-099   3.3932E-021   1.5317E-014   6.4840E-007   1.0000E+000
    3.470816E+03   1.0000E-099   3.2512E-021   1.4461E-014   6.2347E-007   1.0000E+000
    3.684237E+03   1.0000E-099   3.2638E-021   1.4007E-014   6.0485E-007   1.0000E+000
    3.910780E+03   1.0000E-099   3.0727E-021   1.2862E-014   5.7159E-007   1.0000E+000
    4.151254E+03   1.0000E-099   3.8971E-021   1.4432E-014   5.9127E-007   1.0000E+000
    4.406514E+03   1.0000E-099   4.6113E-021   1.6162E-014   6.2413E-007   1.0000E+000
