#NTIMES: 265
#NSTAGES: 4
#TIMES[d]: 1.0736 1.18096 1.299056 1.428962 1.571858 1.729044 1.901948 2.092143 2.301357 2.531493 2.784642 3.063106 3.369417 3.706359 4.076994 4.484694 4.933163 5.426479 5.969127 6.56604 7.222644 7.944908 8.739399 9.613339 10.574673 11.574673 12.574673 13.574673 14.574673 15.574673 16.574673 17.574673 18.574673 19.574673 20.574673 21.574673 22.574673 23.574673 24.574673 25.574673 26.574673 27.574673 28.574673 29.574673 30.574673 31.574673 32.574673 33.574673 34.574673 35.574673 36.574673 37.574673 38.574673 39.574673 40.574673 41.574673 42.574673 43.574673 44.574673 45.574673 46.574673 47.574673 48.57467 49.57467 50.57467 51.57467 52.57467 53.57467 54.57467 55.57467 56.57467 57.57467 58.57467 59.57467 60.57467 61.57467 62.57467 63.57467 64.57467 65.57467 66.57467 67.57467 68.57467 69.57467 70.57467 71.57467 72.57467 73.57467 74.57467 75.57467 76.57467 77.57467 78.57467 79.57467 80.57467 81.57467 82.57467 83.57467 84.57467 85.57467 86.57467 87.57467 88.57467 89.57467 90.57467 91.57467 92.57467 93.57467 94.57467 95.57467 96.57467 97.574676 98.574676 99.574676 100.574676 101.574676 102.574676 103.574676 104.574676 105.574676 106.574676 107.574676 108.574676 109.574676 110.574676 111.574676 112.574676 113.574676 114.574676 115.574676 116.574676 117.574676 118.574676 119.574676 120.574676 121.574676 122.574676 123.574676 124.574676 125.574676 126.574676 127.574676 128.574676 129.574676 130.574676 131.574676 132.574676 133.574676 134.574676 135.574676 136.574676 137.574676 138.574676 139.574676 140.574676 141.574676 142.574676 143.574676 144.574676 145.574676 146.574676 147.574676 148.574676 149.574676 150.574676 151.574676 152.574676 153.574676 154.574676 155.574676 156.574676 157.574676 158.574676 159.574676 160.574676 161.574676 162.574676 163.574676 164.574676 165.574676 166.574676 167.574676 168.574676 169.574676 170.574676 171.574676 172.574676 173.574676 174.574676 175.574676 176.574676 177.574676 178.574676 179.574676 180.574676 181.574676 182.574676 183.574676 184.574676 185.574676 186.574676 187.574676 188.574676 189.574676 190.574676 191.574676 192.574676 193.574676 194.574676 195.574676 196.574676 197.574676 198.574676 199.574676 200.574676 201.574676 202.574676 203.574676 204.574676 205.574676 206.574676 207.574676 208.574676 209.574676 210.574676 211.574676 212.574676 213.574676 214.574676 215.574676 216.574676 217.574676 218.574676 219.574676 220.574676 221.574676 222.574676 223.574676 224.574676 225.574676 226.574676 227.574676 228.574676 229.574676 230.574676 231.574676 232.574676 233.574676 234.574676 235.574676 236.574676 237.574676 238.574676 239.574676 240.574676 241.574676 242.574676 243.574676 244.574676 245.574676 246.574676 247.574676 248.574676 249.574676 250.574676
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] ca0 ca1 ca2 ca3
4.401e+02 1.185836e-18 9.435287e-11 1.279827e-05 9.999872e-01
8.862e+02 1.185836e-18 9.435287e-11 1.279827e-05 9.999872e-01
9.061e+02 1.185836e-18 9.435287e-11 1.279827e-05 9.999872e-01
9.444e+02 1.185836e-18 9.435287e-11 1.279827e-05 9.999872e-01
9.991e+02 1.185158e-18 9.431149e-11 1.279564e-05 9.999872e-01
1.061e+03 1.183077e-18 9.418302e-11 1.278749e-05 9.999872e-01
1.126e+03 1.176511e-18 9.376778e-11 1.276142e-05 9.999872e-01
1.194e+03 1.156974e-18 9.250207e-11 1.268249e-05 9.999873e-01
1.267e+03 1.069539e-18 8.692867e-11 1.232687e-05 9.999877e-01
1.345e+03 7.647687e-19 6.686004e-11 1.096792e-05 9.999890e-01
1.427e+03 3.867904e-19 3.936796e-11 8.803705e-06 9.999912e-01
1.514e+03 1.784439e-19 2.179624e-11 6.997057e-06 9.999930e-01
1.607e+03 9.055955e-20 1.309328e-11 5.773103e-06 9.999942e-01
1.705e+03 5.077640e-20 8.463138e-12 4.943134e-06 9.999951e-01
1.809e+03 2.816825e-20 5.418845e-12 4.254540e-06 9.999957e-01
1.919e+03 1.490683e-20 3.358486e-12 3.632073e-06 9.999964e-01
2.037e+03 7.717774e-21 2.049863e-12 3.098662e-06 9.999969e-01
2.161e+03 3.837866e-21 1.219793e-12 2.617128e-06 9.999974e-01
2.293e+03 1.773714e-21 6.934196e-13 2.157684e-06 9.999978e-01
2.433e+03 8.175531e-22 3.942322e-13 1.778771e-06 9.999982e-01
2.582e+03 4.212118e-22 2.428709e-13 1.512989e-06 9.999985e-01
2.739e+03 2.546497e-22 1.682520e-13 1.338875e-06 9.999987e-01
2.907e+03 1.729387e-22 1.275363e-13 1.210285e-06 9.999988e-01
3.084e+03 1.256343e-22 1.025565e-13 1.095980e-06 9.999989e-01
3.273e+03 1.003279e-22 8.910333e-14 1.002889e-06 9.999990e-01
3.472e+03 8.937641e-23 8.420800e-14 9.364244e-07 9.999991e-01
3.685e+03 8.619818e-23 8.492712e-14 8.828740e-07 9.999991e-01
3.910e+03 8.274089e-23 8.629513e-14 8.200069e-07 9.999992e-01
4.148e+03 9.459831e-23 9.781062e-14 8.169862e-07 9.999992e-01
4.402e+03 1.190957e-22 1.157442e-13 8.652035e-07 9.999991e-01
4.671e+03 1.042391e-22 1.054585e-13 8.322006e-07 9.999992e-01
4.956e+03 6.214206e-23 7.413851e-14 7.073567e-07 9.999993e-01
5.259e+03 3.675957e-23 5.199719e-14 5.975067e-07 9.999994e-01
5.580e+03 2.705945e-23 4.236590e-14 5.399324e-07 9.999995e-01
5.921e+03 2.235423e-23 3.756346e-14 5.019473e-07 9.999995e-01
6.282e+03 1.969029e-23 3.496394e-14 4.731412e-07 9.999995e-01
