#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 18
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5 Ca6 Ca7
1.754780E+04 5.903649E-14 1.468166E-05 9.999853E-01 8.897683E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.788812E+04 4.763316E-14 1.379511E-05 9.999862E-01 9.782300E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.853238E+04 5.882633E-14 1.680304E-05 9.999832E-01 5.327744E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.926078E+04 6.984394E-14 2.014675E-05 9.999799E-01 2.514595E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.003410E+04 7.134438E-14 2.228619E-05 9.999777E-01 1.245502E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.083800E+04 7.265068E-14 2.453876E-05 9.999755E-01 5.775345E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.164798E+04 8.424554E-14 2.889752E-05 9.999711E-01 2.184448E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.244795E+04 8.847155E-14 3.253887E-05 9.999675E-01 7.466959E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.324590E+04 8.509598E-14 3.480782E-05 9.999652E-01 2.827413E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.405250E+04 8.437944E-14 3.760891E-05 9.999624E-01 1.094438E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.486775E+04 8.778574E-14 4.142595E-05 9.999586E-01 4.300450E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.569888E+04 9.470296E-14 4.669484E-05 9.999533E-01 1.489321E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.658715E+04 1.008223E-13 5.271899E-05 9.999473E-01 4.541882E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.763753E+04 1.076118E-13 6.058712E-05 9.999394E-01 1.073177E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.898698E+04 1.310340E-13 7.691451E-05 9.999231E-01 1.464855E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.065218E+04 1.619635E-13 1.019597E-04 9.998980E-01 1.150900E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.251555E+04 1.622505E-13 1.227383E-04 9.998773E-01 8.685596E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.423965E+04 1.384578E-13 1.342323E-04 9.998658E-01 8.601438E-23 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
#
#TIME: 10.0
#NVEL: 31
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5 Ca6 Ca7
1.500755E+04 2.187253E-16 5.579964E-07 9.999994E-01 5.902654E-10 1.366234E-26 0.000000E+00 0.000000E+00 0.000000E+00
1.524048E+04 3.237475E-16 7.272281E-07 9.999993E-01 2.860828E-10 2.671722E-27 0.000000E+00 0.000000E+00 0.000000E+00
1.564700E+04 1.024460E-15 1.484532E-06 9.999985E-01 3.349049E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.596030E+04 4.222241E-15 3.441397E-06 9.999966E-01 3.182894E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.618740E+04 1.002403E-14 5.957692E-06 9.999940E-01 4.868326E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.635415E+04 1.653869E-14 8.359182E-06 9.999916E-01 1.290898E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.648418E+04 1.925242E-14 9.624584E-06 9.999904E-01 5.456918E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.659312E+04 1.735976E-14 9.496029E-06 9.999905E-01 3.811286E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.669200E+04 1.580140E-14 9.336828E-06 9.999907E-01 2.866569E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.678858E+04 1.507728E-14 9.351465E-06 9.999906E-01 2.265678E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.688835E+04 1.488100E-14 9.537975E-06 9.999905E-01 1.730532E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.699880E+04 1.456041E-14 9.693732E-06 9.999903E-01 1.299818E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.714640E+04 1.428737E-14 9.898681E-06 9.999901E-01 9.642900E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
