#NTIMES:     65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           cl0           cl1           cl2           cl3           cl4
    8.772128E+02    1.0000E-99    1.0000E-99    1.0000E-99    5.8879E-07    1.0000E+00
    8.826573E+02    1.0000E-99    1.0000E-99    1.0000E-99    5.8879E-07    1.0000E+00
    8.991942E+02    1.0000E-99    1.0000E-99    1.0000E-99    5.8879E-07    1.0000E+00
    9.332033E+02    1.0000E-99    1.0000E-99    1.0000E-99    5.8879E-07    1.0000E+00
    9.912889E+02    1.0000E-99    1.0000E-99    1.0000E-99    5.8879E-07    1.0000E+00
    1.052238E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.8879E-07    1.0000E+00
    1.116940E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.8866E-07    1.0000E+00
    1.185621E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.8732E-07    1.0000E+00
    1.258525E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.8452E-07    1.0000E+00
    1.335911E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.8147E-07    1.0000E+00
    1.418056E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.6706E-07    1.0000E+00
    1.505253E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.9635E-07    1.0000E+00
    1.597810E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.8993E-07    1.0000E+00
    1.696060E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.3258E-07    1.0000E+00
    1.800350E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.2171E-07    1.0000E+00
    1.911054E+03    1.0000E-99    1.0000E-99    1.0000E-99    7.4238E-08    1.0000E+00
    2.028564E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.4198E-08    1.0000E+00
    2.153300E+03    1.0000E-99    1.0000E-99    1.0000E-99    4.3360E-08    1.0000E+00
    2.285707E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.0510E-08    1.0000E+00
    2.426255E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.3057E-08    1.0000E+00
    2.575445E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.4967E-08    1.0000E+00
    2.733809E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.2323E-08    1.0000E+00
    2.901910E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.0294E-08    1.0000E+00
    3.080349E+03    1.0000E-99    1.0000E-99    1.0000E-99    8.8956E-09    1.0000E+00
    3.269759E+03    1.0000E-99    1.0000E-99    1.0000E-99    8.2775E-09    1.0000E+00
    3.470816E+03    1.0000E-99    1.0000E-99    1.0000E-99    8.1807E-09    1.0000E+00
    3.684237E+03    1.0000E-99    1.0000E-99    1.0000E-99    8.2478E-09    1.0000E+00
    3.910780E+03    1.0000E-99    1.0000E-99    1.0000E-99    8.0996E-09    1.0000E+00
    4.151254E+03    1.0000E-99    1.0000E-99    1.0000E-99    8.9747E-09    1.0000E+00
    4.406514E+03    1.0000E-99    1.0000E-99    1.0000E-99    9.5449E-09    1.0000E+00
    4.677470E+03    1.0000E-99    1.0000E-99    1.0000E-99    8.2615E-09    1.0000E+00
    4.965088E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.7588E-09    1.0000E+00
    5.270391E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.9552E-09    1.0000E+00
    5.594466E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.6757E-09    1.0000E+00
    5.938470E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.5981E-09    1.0000E+00
    6.303626E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.6632E-09    1.0000E+00
    6.691235E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.7091E-09    1.0000E+00
    7.102679E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.7789E-09    1.0000E+00
    7.539422E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.0691E-09    1.0000E+00
    8.003021E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.4309E-09    1.0000E+00
    8.495126E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.8764E-09    1.0000E+00
    9.017491E+03    1.0000E-99    1.0000E-99    1.0000E-99    7.9792E-09    1.0000E+00
    9.571975E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.0578E-08    1.0000E+00
    1.016056E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.6191E-08    1.0000E+00
    1.078533E+04    1.0000E-99    1.0000E-99    1.0000E-99    3.5671E-08    1.0000E+00
    1.144852E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.2391E-07    1.0000E+00
    1.215249E+04    1.0000E-99    1.0000E-99    1.0000E-99    7.9324E-07    1.0000E+00
    1.289974E+04    1.0000E-99    1.0000E-99    1.0000E-99    4.2213E-06    1.0000E+00
    1.369294E+04    1.0000E-99    1.0000E-99    1.0000E-99    2.5338E-05    9.9997E-01
    1.453492E+04    1.0000E-99    1.0000E-99    1.0000E-99    6.0289E-04    9.9940E-01
    1.542867E+04    1.0000E-99    1.0000E-99    1.0000E-99    9.3562E-01    6.4376E-02
    1.626717E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    3.7411E-10
    1.668676E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    6.8940E-16
    1.713874E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.1486E-26
    1.771854E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7445E-35
    1.838692E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.1038E-35
    1.903533E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.9803E-35
    1.976116E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    3.7219E-35
    2.046516E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    4.8821E-35
    2.125594E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    6.2819E-35
    2.202587E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    7.1113E-35
    2.285981E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    9.6478E-35
    2.372435E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    9.1868E-35
    2.455466E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.2898E-34
    2.552174E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.2510E-34
    2.640440E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.4059E-34
    2.741295E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.4838E-34
    2.838201E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.2320E-34
    2.923203E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.4574E-34
    3.013295E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.2006E-34
    3.094669E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.3268E-34
    3.176516E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.3111E-34
    3.259805E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.4063E-34
    3.345740E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5672E-34
    3.438030E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5544E-34
    3.533529E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7561E-34
    3.634323E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7593E-34
    3.736894E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8662E-34
    3.839518E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9745E-34
    3.939114E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9664E-34
    4.037465E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9274E-34
    4.133441E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9406E-34
    4.215976E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9906E-34
    4.290657E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.0365E-34
    4.365819E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.0683E-34
    4.442297E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.0792E-34
    4.520034E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.0652E-34
    4.600555E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.0253E-34
    4.686215E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9732E-34
    4.776422E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9143E-34
    4.868597E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8534E-34
    4.962544E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7918E-34
    5.058305E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7312E-34
    5.155912E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6741E-34
    5.255403E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6241E-34
    5.356816E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5846E-34
    5.460189E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5578E-34
    5.565558E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5459E-34
    5.672959E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5494E-34
    5.782432E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5685E-34
    5.894013E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5985E-34
    6.007747E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6324E-34
    6.123675E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6632E-34
    6.241838E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6871E-34
    6.362274E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7023E-34
    6.485024E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7085E-34
    6.610128E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7089E-34
    6.737631E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6900E-34
    6.867574E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6570E-34
    6.935606E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6240E-34
    6.969874E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5747E-34
    6.987071E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.4568E-34
    6.995686E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.2145E-34
    6.999782E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    8.8744E-35
    6.999997E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    8.3670E-35
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           cl0           cl1           cl2           cl3           cl4
    8.772128E+02    1.0000E-99    1.0000E-99    1.0000E-99    6.5156E-07    1.0000E+00
    8.825108E+02    1.0000E-99    1.0000E-99    1.0000E-99    6.5156E-07    1.0000E+00
    8.985975E+02    1.0000E-99    1.0000E-99    1.0000E-99    6.5156E-07    1.0000E+00
    9.316560E+02    1.0000E-99    1.0000E-99    1.0000E-99    6.5156E-07    1.0000E+00
    9.893707E+02    1.0000E-99    1.0000E-99    1.0000E-99    6.5156E-07    1.0000E+00
    1.050609E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.5152E-07    1.0000E+00
    1.115637E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.5118E-07    1.0000E+00
    1.184691E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.4951E-07    1.0000E+00
    1.258018E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.4582E-07    1.0000E+00
    1.335885E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.3781E-07    1.0000E+00
    1.418571E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.7284E-07    1.0000E+00
    1.506375E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.1325E-07    1.0000E+00
    1.599613E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.9459E-07    1.0000E+00
    1.698623E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.3738E-07    1.0000E+00
    1.803761E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.2088E-07    1.0000E+00
    1.915407E+03    1.0000E-99    1.0000E-99    1.0000E-99    7.4958E-08    1.0000E+00
    2.033963E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.2385E-08    1.0000E+00
    2.159857E+03    1.0000E-99    1.0000E-99    1.0000E-99    4.1876E-08    1.0000E+00
    2.293544E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.9210E-08    1.0000E+00
    2.435505E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.1474E-08    1.0000E+00
