#NTIMES 50
#NSTAGES 3
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] co0 co1 co2
1060.83 1.5770e+04 4.2710e+04 1.6170e+04
1919.29 3.4440e+04 8.0370e+04 2.8240e+04
2581.60 4.7510e+04 1.8760e+05 8.2210e+04
3084.17 3.0520e+04 2.5060e+05 1.5490e+05
3472.46 1.1050e+04 1.9120e+05 1.7410e+05
3909.64 2.1030e+03 9.2860e+04 1.2560e+05
4148.46 1.5640e+03 7.0740e+04 9.2380e+04
4670.75 1.4590e+03 6.5000e+04 8.1220e+04
4956.05 7.9800e+02 5.9140e+04 9.1190e+04
5258.79 3.1200e+02 5.1210e+04 1.0340e+05
5580.02 8.1490e+01 4.0720e+04 1.1900e+05
5920.87 3.2420e+01 3.4920e+04 1.2190e+05
6282.54 1.7930e+01 2.8090e+04 1.1900e+05
6666.30 1.5420e+01 2.5730e+04 1.1180e+05
7073.50 1.2930e+01 2.3410e+04 1.0180e+05
7505.58 9.9570e+00 1.7420e+04 8.8760e+04
7964.05 1.1930e+01 1.7050e+04 7.1070e+04
8450.53 2.1390e+01 1.6180e+04 5.7090e+04
8966.72 4.0010e+01 1.4620e+04 4.2310e+04
9514.44 5.9800e+01 1.1910e+04 2.8520e+04
10095.62 8.1900e+01 9.2300e+03 1.7400e+04
10712.30 8.9510e+01 6.3600e+03 8.9160e+03
11366.65 6.3690e+01 3.2560e+03 4.0830e+03
12061.10 3.0250e+01 1.4120e+03 1.6270e+03
12793.43 1.6400e+01 5.7640e+02 7.0430e+02
13528.61 8.6190e+00 2.6680e+02 3.1310e+02
14194.74 3.7420e+00 1.1930e+02 1.5140e+02
14757.77 1.1410e+00 5.8500e+01 6.9080e+01
15240.48 6.9540e-01 3.3200e+01 3.2900e+01
15646.99 4.1040e-01 2.1740e+01 1.4890e+01
15960.30 5.4160e-01 1.5790e+01 7.3040e+00
16187.41 3.5940e-01 9.1330e+00 3.5410e+00
16354.17 9.0900e-02 5.4730e+00 1.9870e+00
16484.18 6.2030e-02 3.4840e+00 1.3010e+00
16593.12 7.7640e-02 2.4310e+00 1.1250e+00
16691.99 4.6640e-02 2.0050e+00 1.0710e+00
16788.59 1.3320e-02 1.9320e+00 9.6820e-01
16888.37 2.1330e-02 1.8070e+00 9.8350e-01
16998.79 1.8960e-02 1.7020e+00 1.0090e+00
17146.37 8.2520e-03 1.6760e+00 1.0240e+00
17415.23 8.5020e-03 1.6360e+00 1.1930e+00
17888.12 4.8830e-03 1.6040e+00 1.4670e+00
18532.37 3.4890e-03 1.6190e+00 1.6530e+00
19260.76 2.2150e-03 1.4090e+00 1.6020e+00
20034.10 1.3470e-03 9.0620e-01 1.4130e+00
20838.00 5.6220e-04 5.3370e-01 1.0580e+00
21647.97 8.7130e-04 3.1680e-01 7.4730e-01
22447.94 7.5780e-04 1.8410e-01 4.9120e-01
23245.88 3.6470e-04 5.3110e-02 3.9680e-01
24052.47 1.5380e-04 6.1770e-02 2.7280e-01
24867.72 3.3590e-04 3.9810e-02 2.2750e-01
25698.86 2.9800e-05 3.1060e-02 1.7880e-01
26587.16 1.5580e-05 1.8700e-02 1.2770e-01
27637.54 6.7780e-06 8.2410e-03 7.3570e-02
28986.97 6.2760e-07 4.6270e-04 3.0840e-02
#TIME: 202.02
#NVEL 78
#vel_mid[km/s] co0 co1 co2
1060.83 1.5900e+04 4.0290e+04 1.4860e+04
1919.29 3.1130e+04 7.7300e+04 2.6730e+04
2581.60 4.3730e+04 1.7700e+05 7.7120e+04
3084.17 3.1660e+04 2.3300e+05 1.4370e+05
3472.46 1.0450e+04 1.8010e+05 1.6170e+05
3909.64 1.7170e+03 8.7280e+04 1.1740e+05
4148.46 1.3680e+03 6.7630e+04 8.5050e+04
4670.75 1.4070e+03 6.2190e+04 7.4520e+04
4956.05 7.1110e+02 5.4170e+04 8.6440e+04
5258.79 2.8000e+02 4.6450e+04 9.8160e+04
5580.02 7.8190e+01 3.9060e+04 1.1030e+05
5920.87 3.1510e+01 3.3060e+04 1.1350e+05
6282.54 1.7270e+01 2.6310e+04 1.1120e+05
6666.30 1.3630e+01 2.3370e+04 1.0530e+05
7073.50 1.2720e+01 2.1670e+04 9.5390e+04
7505.58 1.0240e+01 1.7250e+04 8.2030e+04
7964.05 1.0950e+01 1.5290e+04 6.7110e+04
8450.53 1.7980e+01 1.4970e+04 5.3550e+04
8966.72 3.6170e+01 1.2960e+04 4.0280e+04
9514.44 5.8100e+01 1.1240e+04 2.6570e+04
10095.62 7.8330e+01 8.8170e+03 1.6090e+04
10712.30 8.1930e+01 5.7020e+03 8.5900e+03
11366.65 6.6700e+01 3.0580e+03 3.8040e+03
12061.10 3.2390e+01 1.3200e+03 1.5210e+03
12793.43 1.3800e+01 5.5910e+02 6.4240e+02
13528.61 5.7970e+00 2.6010e+02 2.8590e+02
14194.74 2.9070e+00 1.1530e+02 1.3930e+02
14757.77 1.6010e+00 5.3420e+01 6.5840e+01
15240.48 5.3470e-01 3.0900e+01 3.1320e+01
15646.99 3.6720e-01 2.0510e+01 1.3960e+01
15960.30 5.3030e-01 1.4790e+01 6.9370e+00
16187.41 3.6730e-01 8.6110e+00 3.3200e+00
16354.17 2.4310e-01 5.0080e+00 1.8940e+00
16484.18 6.2060e-02 3.2770e+00 1.2610e+00
16593.12 5.3880e-02 2.3350e+00 1.0660e+00
16691.99 4.6950e-02 1.9310e+00 9.9490e-01
16788.59 3.1770e-02 1.8030e+00 9.4270e-01
16888.37 1.9240e-02 1.7020e+00 9.6150e-01
16998.79 1.4570e-02 1.6790e+00 9.1360e-01
17146.37 1.3230e-02 1.5740e+00 1.0030e+00
17415.23 1.2030e-02 1.5760e+00 1.1280e+00
17888.12 4.1270e-03 1.5590e+00 1.3820e+00
