#NTIMES:    65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5           co6           co7
    8.772128E+02   1.0000E-099   8.0987E-028   1.1370E-020   1.5460E-014   2.9520E-009   4.6159E-005   4.5576E-002   9.5438E-001
    8.826573E+02   1.0000E-099   8.0987E-028   1.1370E-020   1.5460E-014   2.9520E-009   4.6159E-005   4.5576E-002   9.5438E-001
    8.991942E+02   1.0000E-099   8.0987E-028   1.1370E-020   1.5460E-014   2.9520E-009   4.6159E-005   4.5576E-002   9.5438E-001
    9.332033E+02   1.0000E-099   8.0987E-028   1.1370E-020   1.5460E-014   2.9520E-009   4.6159E-005   4.5576E-002   9.5438E-001
    9.912889E+02   1.0000E-099   8.0987E-028   1.1370E-020   1.5460E-014   2.9520E-009   4.6159E-005   4.5576E-002   9.5438E-001
    1.052238E+03   1.0000E-099   8.0987E-028   1.1370E-020   1.5460E-014   2.9520E-009   4.6159E-005   4.5576E-002   9.5438E-001
    1.116940E+03   1.0000E-099   8.0831E-028   1.1348E-020   1.5431E-014   2.9472E-009   4.6100E-005   4.5544E-002   9.5441E-001
    1.185621E+03   1.0000E-099   7.9227E-028   1.1124E-020   1.5138E-014   2.8975E-009   4.5494E-005   4.5208E-002   9.5475E-001
    1.258525E+03   1.0000E-099   7.5989E-028   1.0670E-020   1.4547E-014   2.7967E-009   4.4256E-005   4.4515E-002   9.5544E-001
    1.335911E+03   1.0000E-099   7.1953E-028   1.0074E-020   1.3733E-014   2.6527E-009   4.2425E-005   4.3456E-002   9.5650E-001
    1.418056E+03   1.0000E-099   5.8242E-028   8.1829E-021   1.1279E-014   2.2309E-009   3.7109E-005   4.0333E-002   9.5963E-001
    1.505253E+03   1.0000E-099   2.5050E-031   6.3223E-024   1.8611E-017   1.0446E-011   6.8362E-007   4.5750E-003   9.9542E-001
    1.597810E+03   1.0000E-099   2.0089E-031   5.2046E-024   1.5770E-017   9.1499E-012   6.2190E-007   4.3519E-003   9.9565E-001
    1.696060E+03   1.0000E-099   1.5474E-032   5.0200E-025   2.0050E-018   1.6683E-012   1.7733E-007   2.2090E-003   9.9779E-001
    1.800350E+03   1.0000E-099   7.8907E-033   2.6454E-025   1.1144E-018   1.0114E-012   1.2122E-007   1.7917E-003   9.9821E-001
    1.911054E+03   1.0000E-099   2.3202E-034   1.0614E-026   6.5579E-020   9.8423E-014   2.1849E-008   7.1508E-004   9.9928E-001
    2.028564E+03   1.0000E-099   8.0876E-035   4.0321E-027   2.7803E-020   4.8461E-014   1.2950E-008   5.4076E-004   9.9946E-001
