#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 
440.10 1.09e-17 1.42e-10 2.06e-05 9.10e-02 8.98e-01 1.13e-02 6.39e-08 
999.11 3.75e-19 5.57e-12 1.35e-06 1.63e-02 8.49e-01 1.34e-01 2.82e-05 
1267.34 7.81e-21 1.51e-13 5.71e-08 1.80e-03 4.43e-01 5.53e-01 2.04e-03 
1514.05 3.14e-22 7.00e-15 3.47e-09 2.07e-04 1.45e-01 8.31e-01 2.45e-02 
1808.80 1.51e-23 3.92e-16 2.53e-10 2.63e-05 4.29e-02 8.30e-01 1.28e-01 
1919.29 8.39e-25 2.48e-17 1.97e-11 3.55e-06 1.24e-02 6.36e-01 3.51e-01 
2160.92 1.16e-26 3.68e-19 3.56e-13 1.45e-07 1.65e-03 3.12e-01 6.87e-01 
2292.92 1.97e-27 7.29e-20 8.39e-14 4.37e-08 6.94e-04 2.01e-01 7.99e-01 
2432.98 4.36e-28 1.85e-20 2.47e-14 1.59e-08 3.34e-04 1.38e-01 8.62e-01 
2581.60 1.36e-28 6.67e-21 9.98e-15 7.39e-09 1.90e-04 1.03e-01 8.97e-01 
2739.29 5.33e-29 2.76e-21 4.47e-15 3.79e-09 1.16e-04 7.84e-02 9.21e-01 
2906.62 2.95e-29 1.67e-21 2.91e-15 2.69e-09 9.11e-05 6.86e-02 9.31e-01 
3084.17 1.78e-29 1.13e-21 2.14e-15 2.17e-09 7.99e-05 6.50e-02 9.35e-01 
3272.56 1.04e-29 7.25e-22 1.52e-15 1.73e-09 7.04e-05 6.21e-02 9.38e-01 
3472.46 8.20e-30 6.44e-22 1.48e-15 1.80e-09 7.58e-05 6.63e-02 9.34e-01 
3684.57 6.25e-30 5.41e-22 1.36e-15 1.81e-09 8.01e-05 7.13e-02 9.29e-01 
3909.64 4.34e-30 4.32e-22 1.23e-15 1.83e-09 8.64e-05 7.89e-02 9.21e-01 
4148.46 5.22e-30 5.61e-22 1.69e-15 2.53e-09 1.15e-04 9.56e-02 9.04e-01 
4401.86 1.20e-29 1.24e-21 3.53e-15 4.78e-09 1.85e-04 1.24e-01 8.75e-01 
4670.75 2.76e-29 2.81e-21 7.70e-15 9.51e-09 3.12e-04 1.65e-01 8.35e-01 
4956.05 2.79e-29 3.21e-21 9.51e-15 1.20e-08 3.81e-04 1.85e-01 8.14e-01 
5258.79 2.58e-29 3.27e-21 1.05e-14 1.39e-08 4.42e-04 2.03e-01 7.96e-01 
5580.02 3.93e-29 5.21e-21 1.73e-14 2.25e-08 6.46e-04 2.45e-01 7.54e-01 
