#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    8.772128E+02   1.0000E-099   1.6495E-018   1.2314E-011   1.8502E-005   9.9998E-001
    8.826573E+02   1.0000E-099   1.6495E-018   1.2314E-011   1.8502E-005   9.9998E-001
    8.991942E+02   1.0000E-099   1.6495E-018   1.2314E-011   1.8502E-005   9.9998E-001
    9.332033E+02   1.0000E-099   1.6495E-018   1.2314E-011   1.8502E-005   9.9998E-001
    9.912889E+02   1.0000E-099   1.6495E-018   1.2314E-011   1.8502E-005   9.9998E-001
    1.052238E+03   1.0000E-099   1.6495E-018   1.2314E-011   1.8502E-005   9.9998E-001
    1.116940E+03   1.0000E-099   1.6493E-018   1.2312E-011   1.8500E-005   9.9998E-001
    1.185621E+03   1.0000E-099   1.6468E-018   1.2288E-011   1.8481E-005   9.9998E-001
    1.258525E+03   1.0000E-099   1.6416E-018   1.2239E-011   1.8441E-005   9.9998E-001
    1.335911E+03   1.0000E-099   1.6480E-018   1.2229E-011   1.8429E-005   9.9998E-001
    1.418056E+03   1.0000E-099   1.6098E-018   1.1933E-011   1.8193E-005   9.9998E-001
    1.505253E+03   1.0000E-099   2.1133E-019   2.5371E-012   8.4411E-006   9.9999E-001
    1.597810E+03   1.0000E-099   1.9461E-019   2.3946E-012   8.2037E-006   9.9999E-001
    1.696060E+03   1.0000E-099   9.2148E-020   1.3770E-012   6.2797E-006   9.9999E-001
    1.800350E+03   1.0000E-099   8.1187E-020   1.2386E-012   5.9835E-006   9.9999E-001
    1.911054E+03   1.0000E-099   2.9052E-020   5.7947E-013   4.1769E-006   1.0000E+000
    2.028564E+03   1.0000E-099   2.1780E-020   4.6687E-013   3.7795E-006   1.0000E+000
    2.153300E+03   1.0000E-099   9.5989E-021   2.5519E-013   2.8573E-006   1.0000E+000
    2.285707E+03   1.0000E-099   4.4045E-021   1.4526E-013   2.1992E-006   1.0000E+000
    2.426255E+03   1.0000E-099   2.3106E-021   9.1599E-014   1.7737E-006   1.0000E+000
    2.575445E+03   1.0000E-099   8.9916E-022   4.6177E-014   1.2991E-006   1.0000E+000
    2.733809E+03   1.0000E-099   5.7236E-022   3.3471E-014   1.1201E-006   1.0000E+000
    2.901910E+03   1.0000E-099   3.7771E-022   2.4883E-014   9.7769E-007   1.0000E+000
    3.080349E+03   1.0000E-099   2.5374E-022   1.8966E-014   8.5709E-007   1.0000E+000
    3.269759E+03   1.0000E-099   1.9407E-022   1.5991E-014   7.8286E-007   1.0000E+000
    3.470816E+03   1.0000E-099   1.6663E-022   1.4714E-014   7.4227E-007   1.0000E+000
    3.684237E+03   1.0000E-099   1.4441E-022   1.3732E-014   7.0576E-007   1.0000E+000
    3.910780E+03   1.0000E-099   1.1521E-022   1.2136E-014   6.5335E-007   1.0000E+000
    4.151254E+03   1.0000E-099   1.1391E-022   1.2672E-014   6.5033E-007   1.0000E+000
    4.406514E+03   1.0000E-099   1.3218E-022   1.4074E-014   6.8347E-007   1.0000E+000
    4.677470E+03   1.0000E-099   1.0019E-022   1.1413E-014   6.2306E-007   1.0000E+000
    4.965088E+03   1.0000E-099   5.5457E-023   7.6809E-015   5.1159E-007   1.0000E+000
    5.270391E+03   1.0000E-099   4.0214E-023   6.1425E-015   4.5969E-007   1.0000E+000
    5.594466E+03   1.0000E-099   3.4696E-023   5.5699E-015   4.3762E-007   1.0000E+000
    5.938470E+03   1.0000E-099   3.1881E-023   5.3007E-015   4.2540E-007   1.0000E+000
    6.303626E+03   1.0000E-099   2.9828E-023   5.1530E-015   4.1605E-007   1.0000E+000
    6.691235E+03   1.0000E-099   2.8650E-023   5.0684E-015   4.1056E-007   1.0000E+000
    7.102679E+03   1.0000E-099   2.7824E-023   5.0227E-015   4.0668E-007   1.0000E+000
    7.539422E+03   1.0000E-099   2.6518E-023   5.0187E-015   4.0090E-007   1.0000E+000
    8.003021E+03   1.0000E-099   2.6216E-023   5.1315E-015   4.0050E-007   1.0000E+000
    8.495126E+03   1.0000E-099   2.7877E-023   5.4679E-015   4.0997E-007   1.0000E+000
    9.017491E+03   1.0000E-099   3.3170E-023   6.4172E-015   4.3769E-007   1.0000E+000
    9.571975E+03   1.0000E-099   4.8853E-023   8.9553E-015   5.0719E-007   1.0000E+000
    1.016056E+04   1.0000E-099   1.0237E-022   1.6032E-014   6.6904E-007   1.0000E+000
    1.078533E+04   1.0000E-099   3.8937E-022   4.6537E-014   1.1366E-006   1.0000E+000
    1.144852E+04   1.0000E-099   3.5279E-021   2.6436E-013   2.8454E-006   1.0000E+000
    1.215249E+04   1.0000E-099   7.9338E-020   3.3028E-012   1.2056E-005   9.9999E-001
    1.289974E+04   1.0000E-099   1.3963E-018   3.3773E-011   4.8238E-005   9.9995E-001
    1.369294E+04   1.0000E-099   2.7702E-017   3.9966E-010   2.2115E-004   9.9978E-001
    1.453492E+04   1.0000E-099   6.5305E-015   3.5743E-008   3.5283E-003   9.9647E-001
    1.542867E+04   1.0000E-099   1.0150E-008   2.7551E-003   9.6387E-001   3.3378E-002
    1.626717E+04   1.0000E-099   1.5837E-003   9.9391E-001   4.5099E-003   4.9799E-012
    1.668676E+04   1.0000E-099   5.3048E-002   9.4695E-001   2.4509E-006   1.7170E-020
    1.713874E+04   1.0000E-099   9.7683E-001   2.3171E-002   5.1823E-014   5.6768E-038
    1.771854E+04   1.0000E-099   9.9991E-001   9.4732E-005   2.3778E-021   2.4502E-053
    1.838692E+04   1.0000E-099   9.9988E-001   1.1885E-004   3.5680E-021   4.2332E-053
    1.903533E+04   1.0000E-099   9.9983E-001   1.7260E-004   7.2916E-021   1.1872E-052
    1.976116E+04   1.0000E-099   9.9978E-001   2.2138E-004   1.1578E-020   2.2802E-052
    2.046516E+04   1.0000E-099   9.9970E-001   2.9957E-004   2.0297E-020   5.0463E-052
    2.125594E+04   1.0000E-099   9.9960E-001   4.0121E-004   3.4350E-020   1.0457E-051
    2.202587E+04   1.0000E-099   9.9953E-001   4.7331E-004   4.5055E-020   1.4788E-051
    2.285981E+04   1.0000E-099   9.9931E-001   6.8984E-004   8.6394E-020   3.5486E-051
    2.372435E+04   1.0000E-099   9.9930E-001   6.9931E-004   8.2190E-020   3.0472E-051
    2.455466E+04   1.0000E-099   9.9888E-001   1.1212E-003   1.7786E-019   8.2093E-051
    2.552174E+04   1.0000E-099   9.9877E-001   1.2269E-003   1.8806E-019   7.8699E-051
    2.640440E+04   1.0000E-099   9.9845E-001   1.5538E-003   2.6154E-019   1.1230E-050
    2.741295E+04   1.0000E-099   9.9822E-001   1.7772E-003   3.0605E-019   1.2821E-050
    2.838201E+04   1.0000E-099   9.9859E-001   1.4131E-003   1.9669E-019   6.7775E-051
    2.923203E+04   1.0000E-099   9.9833E-001   1.6717E-003   2.5272E-019   9.3207E-051
    3.013295E+04   1.0000E-099   9.9869E-001   1.3142E-003   1.5192E-019   4.3215E-051
    3.094669E+04   1.0000E-099   9.9855E-001   1.4499E-003   1.7127E-019   4.9444E-051
    3.176516E+04   1.0000E-099   9.9854E-001   1.4623E-003   1.6120E-019   4.3340E-051
    3.259805E+04   1.0000E-099   9.9831E-001   1.6863E-003   1.9001E-019   5.1433E-051
    3.345740E+04   1.0000E-099   9.9792E-001   2.0762E-003   2.5037E-019   7.1111E-051
    3.438030E+04   1.0000E-099   9.9779E-001   2.2111E-003   2.5442E-019   6.8422E-051
    3.533529E+04   1.0000E-099   9.9721E-001   2.7917E-003   3.5193E-019   1.0191E-050
    3.634323E+04   1.0000E-099   9.9701E-001   2.9915E-003   3.6724E-019   1.0317E-050
    3.736894E+04   1.0000E-099   9.9655E-001   3.4475E-003   4.3962E-019   1.2701E-050
    3.839518E+04   1.0000E-099   9.9605E-001   3.9456E-003   5.2467E-019   1.5640E-050
    3.939114E+04   1.0000E-099   9.9593E-001   4.0744E-003   5.3017E-019   1.5475E-050
    4.037465E+04   1.0000E-099   9.9595E-001   4.0549E-003   5.0718E-019   1.4312E-050
    4.133441E+04   1.0000E-099   9.9586E-001   4.1438E-003   5.1219E-019   1.4346E-050
    4.215976E+04   1.0000E-099   9.9571E-001   4.2860E-003   5.3403E-019   1.5141E-050
    4.290657E+04   1.0000E-099   9.9565E-001   4.3450E-003   5.4298E-019   1.5564E-050
    4.365819E+04   1.0000E-099   9.9572E-001   4.2754E-003   5.2921E-019   1.5235E-050
    4.442297E+04   1.0000E-099   9.9594E-001   4.0566E-003   4.8976E-019   1.4035E-050
    4.520034E+04   1.0000E-099   9.9630E-001   3.6988E-003   4.2870E-019   1.2102E-050
