#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 cr7 cr8 cr9
4.4010e+02 4.2039e-43 6.3707e-33 3.7843e-24 1.7229e-16 7.5260e-10 6.4425e-05 3.1594e-01 6.6605e-01 1.7947e-02 3.9509e-07
8.8623e+02 4.8240e-31 8.6000e-23 6.0079e-16 3.2169e-10 1.6526e-05 1.6637e-02 9.5955e-01 2.3790e-02 7.5388e-06 1.9518e-12
9.0614e+02 4.8111e-31 8.5808e-23 5.9971e-16 3.2126e-10 1.6511e-05 1.6630e-02 9.5955e-01 2.3800e-02 7.5455e-06 1.9545e-12
9.4442e+02 4.8112e-31 8.5810e-23 5.9973e-16 3.2126e-10 1.6511e-05 1.6630e-02 9.5955e-01 2.3800e-02 7.5454e-06 1.9544e-12
9.9911e+02 4.8008e-31 8.5639e-23 5.9867e-16 3.2077e-10 1.6492e-05 1.6619e-02 9.5953e-01 2.3826e-02 7.5629e-06 1.9617e-12
1.0608e+03 4.7565e-31 8.4929e-23 5.9437e-16 3.1883e-10 1.6416e-05 1.6577e-02 9.5948e-01 2.3919e-02 7.6266e-06 1.9879e-12
1.1257e+03 4.6834e-31 8.3650e-23 5.8601e-16 3.1466e-10 1.6239e-05 1.6476e-02 9.5931e-01 2.4192e-02 7.8179e-06 2.0688e-12
1.1944e+03 4.3784e-31 7.8472e-23 5.5296e-16 2.9867e-10 1.5575e-05 1.6093e-02 9.5867e-01 2.5211e-02 8.5504e-06 2.3883e-12
1.2673e+03 3.3002e-31 6.0087e-23 4.3434e-16 2.4069e-10 1.3109e-05 1.4606e-02 9.5557e-01 2.9795e-02 1.2295e-05 4.2761e-12
1.3448e+03 1.0157e-31 1.9823e-23 1.5980e-16 9.8893e-11 6.4364e-06 9.7490e-03 9.3251e-01 5.7677e-02 5.2341e-05 4.3877e-11
1.4269e+03 9.3976e-33 2.0982e-24 2.0978e-17 1.6215e-11 1.4771e-06 4.0551e-03 8.0767e-01 1.8749e-01 7.7981e-04 3.5748e-09
1.5140e+03 5.7729e-34 1.5018e-25 1.9061e-18 1.9004e-12 2.4434e-07 1.2404e-03 5.2438e-01 4.6533e-01 9.0517e-03 2.3140e-07
1.6065e+03 4.1518e-35 1.2483e-26 1.9607e-19 2.4670e-13 4.2182e-08 3.5163e-04 2.7116e-01 6.8428e-01 4.4196e-02 4.2836e-06
1.7047e+03 3.3226e-36 1.1261e-27 2.1218e-20 3.2793e-14 7.1348e-09 9.1294e-05 1.1873e-01 7.4411e-01 1.3703e-01 4.2512e-05
1.8088e+03 1.7909e-37 6.8833e-29 1.5727e-21 3.0419e-15 8.5158e-10 1.7045e-05 3.8371e-02 6.2023e-01 3.4102e-01 3.5599e-04
1.9193e+03 5.4976e-39 2.4546e-30 6.9884e-23 1.7526e-16 6.4974e-11 2.0934e-06 8.4520e-03 3.6501e-01 6.2425e-01 2.2847e-03
2.0365e+03 1.0330e-40 5.4479e-32 1.9706e-24 6.5877e-18 3.3111e-12 1.7481e-07 1.2999e-03 1.5302e-01 8.3471e-01 1.0966e-02
2.1609e+03 1.4489e-42 9.2076e-34 4.3125e-26 1.9704e-19 1.3751e-13 1.1979e-08 1.6620e-04 5.2706e-02 9.0529e-01 4.1836e-02
2.2929e+03 1.6816e-44 1.3679e-35 8.4450e-28 5.3849e-21 5.3365e-15 7.6613e-10 1.9879e-05 1.6407e-02 8.5210e-01 1.3148e-01
2.4330e+03 0.0000e+00 1.9839e-37 1.5972e-29 1.4105e-22 1.9778e-16 4.5707e-11 2.1814e-06 4.4780e-03 6.6996e-01 3.2556e-01
2.5816e+03 0.0000e+00 4.0701e-39 4.1070e-31 4.8107e-24 9.1622e-18 3.1810e-12 2.5899e-07 1.1638e-03 4.3407e-01 5.6477e-01
2.7393e+03 0.0000e+00 1.7840e-40 2.1513e-32 3.1482e-25 7.6529e-19 3.6294e-13 4.4695e-08 3.6244e-04 2.6896e-01 7.3068e-01
2.9067e+03 0.0000e+00 1.9956e-41 2.7660e-33 4.7831e-26 1.3942e-19 8.2363e-14 1.3478e-08 1.6094e-04 1.8657e-01 8.1326e-01
3.0842e+03 0.0000e+00 6.2078e-42 9.6232e-34 1.8748e-26 6.1811e-20 4.1697e-14 7.9267e-09 1.1286e-04 1.5840e-01 8.4149e-01
3.2726e+03 0.0000e+00 5.9667e-42 9.9754e-34 2.0672e-26 7.1960e-20 5.0334e-14 9.6069e-09 1.3071e-04 1.7032e-01 8.2955e-01
3.4725e+03 0.0000e+00 1.4753e-41 2.5625e-33 5.3565e-26 1.8522e-19 1.2344e-13 2.0954e-08 2.2682e-04 2.2065e-01 7.7912e-01
3.6846e+03 0.0000e+00 8.3289e-41 1.4726e-32 2.9939e-25 9.8546e-19 5.8209e-13 7.8913e-08 5.6740e-04 3.3146e-01 6.6797e-01
3.9097e+03 0.0000e+00 7.0414e-40 1.2833e-31 2.5397e-24 7.9491e-18 4.0192e-12 4.1028e-07 1.7167e-03 5.1105e-01 4.8723e-01
4.1484e+03 0.0000e+00 5.1002e-39 9.1362e-31 1.6994e-23 4.9215e-17 2.0908e-11 1.6245e-06 4.1314e-03 6.7014e-01 3.2572e-01
4.4019e+03 0.0000e+00 1.6084e-38 2.7210e-30 4.6966e-23 1.2550e-16 4.7171e-11 3.1190e-06 6.1366e-03 7.3646e-01 2.5740e-01
4.6708e+03 0.0000e+00 9.8691e-39 1.7354e-30 3.1292e-23 8.7485e-17 3.4824e-11 2.4656e-06 5.3387e-03 7.1415e-01 2.8051e-01
4.9561e+03 0.0000e+00 2.4260e-39 4.9107e-31 1.0284e-23 3.3493e-17 1.5865e-11 1.3634e-06 3.7610e-03 6.5569e-01 3.4055e-01
5.2588e+03 0.0000e+00 6.9698e-40 1.6176e-31 3.9065e-24 1.4697e-17 8.1498e-12 8.3020e-07 2.7981e-03 6.0455e-01 3.9265e-01
5.5800e+03 0.0000e+00 3.9636e-40 9.8866e-32 2.5679e-24 1.0393e-17 6.2102e-12 6.8281e-07 2.4934e-03 5.8477e-01 4.1273e-01
5.9209e+03 0.0000e+00 4.1326e-40 1.0764e-31 2.8949e-24 1.2098e-17 7.3192e-12 7.9971e-07 2.7745e-03 6.0521e-01 3.9201e-01
6.2825e+03 0.0000e+00 6.3408e-40 1.7031e-31 4.6522e-24 1.9653e-17 1.1583e-11 1.1924e-06 3.5866e-03 6.5254e-01 3.4387e-01
6.6663e+03 0.0000e+00 1.2985e-39 3.4994e-31 9.4281e-24 3.9080e-17 2.1634e-11 2.0144e-06 4.9715e-03 7.0988e-01 2.8514e-01
7.0735e+03 0.0000e+00 3.7103e-39 9.9020e-31 2.5837e-23 1.0304e-16 5.1623e-11 4.1396e-06 7.6932e-03 7.7912e-01 2.1318e-01
7.5056e+03 0.0000e+00 1.5428e-38 4.1179e-30 1.0411e-22 3.9867e-16 1.7422e-10 1.1348e-05 1.3938e-02 8.5339e-01 1.3266e-01
7.9641e+03 0.0000e+00 9.4635e-38 2.4624e-29 5.8629e-22 2.0923e-15 7.5657e-10 3.7639e-05 2.7499e-02 9.0270e-01 6.9768e-02
8.4505e+03 0.0000e+00 9.1560e-37 2.2107e-28 4.7205e-21 1.4924e-14 4.1717e-09 1.4760e-04 5.7870e-02 9.1097e-01 3.1016e-02
8.9668e+03 5.6052e-45 2.0650e-35 4.4566e-27 8.1672e-20 2.1707e-13 4.1943e-08 9.1959e-04 1.4977e-01 8.4027e-01 9.0421e-03
