#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
440.10 6.59e-18 7.43e-11 7.54e-05 6.31e-01 3.68e-01 3.21e-04 2.96e-11 
999.11 5.24e-19 6.98e-12 1.01e-05 2.34e-01 7.56e-01 9.63e-03 1.03e-07 
1267.34 2.17e-20 3.77e-13 8.78e-07 5.26e-02 8.48e-01 9.98e-02 1.37e-05 
1514.05 1.81e-21 3.62e-14 1.18e-07 1.33e-02 6.23e-01 3.64e-01 4.45e-04 
1808.80 1.63e-22 3.81e-15 1.55e-08 2.92e-03 3.25e-01 6.67e-01 4.85e-03 
1919.29 1.47e-23 3.94e-16 2.02e-09 6.02e-04 1.55e-01 8.25e-01 1.93e-02 
2160.92 4.99e-25 1.49e-17 9.92e-11 5.26e-05 5.47e-02 8.58e-01 8.72e-02 
2292.92 1.18e-25 4.10e-18 3.44e-11 2.38e-05 3.47e-02 8.27e-01 1.38e-01 
2432.98 2.96e-26 1.18e-18 1.31e-11 1.15e-05 2.24e-02 7.77e-01 2.01e-01 
2581.60 8.51e-27 3.91e-19 5.89e-12 6.36e-06 1.53e-02 7.17e-01 2.68e-01 
2739.29 4.00e-27 1.94e-19 3.20e-12 3.93e-06 1.13e-02 6.63e-01 3.26e-01 
2906.62 2.10e-27 1.11e-19 2.15e-12 2.95e-06 9.40e-03 6.18e-01 3.72e-01 
3084.17 1.22e-27 7.13e-20 1.62e-12 2.49e-06 8.62e-03 6.18e-01 3.73e-01 
3272.56 7.33e-28 4.72e-20 1.19e-12 2.04e-06 7.79e-03 6.09e-01 3.83e-01 
3472.46 5.26e-28 3.79e-20 1.09e-12 2.04e-06 8.02e-03 6.26e-01 3.66e-01 
3684.57 3.75e-28 2.97e-20 9.36e-13 1.90e-06 7.84e-03 6.38e-01 3.54e-01 
3909.64 2.35e-28 2.13e-20 7.63e-13 1.72e-06 7.53e-03 6.52e-01 3.40e-01 
