#NTIMES 50
#NSTAGES 5
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4
1060.83 1.6529e-04 5.0187e-01 3.7322e-01 1.0550e-01 1.9249e-02
1919.29 2.0691e-04 5.4157e-01 3.4835e-01 9.3618e-02 1.6258e-02
2581.60 1.0389e-04 4.2998e-01 4.1269e-01 1.3099e-01 2.6241e-02
3084.17 4.8112e-05 2.9109e-01 4.8726e-01 1.8075e-01 4.0861e-02
3472.46 1.6596e-05 1.5984e-01 5.4247e-01 2.3794e-01 5.9744e-02
3909.64 3.2500e-06 6.2416e-02 5.4585e-01 3.0440e-01 8.7329e-02
4148.46 2.5878e-06 6.3724e-02 5.3345e-01 3.0985e-01 9.2969e-02
4670.75 2.4339e-06 6.6424e-02 5.3419e-01 3.0750e-01 9.1881e-02
4956.05 9.5997e-07 4.1163e-02 5.2141e-01 3.3310e-01 1.0432e-01
5258.79 2.4641e-07 1.6765e-02 4.9173e-01 3.6982e-01 1.2169e-01
5580.02 5.6214e-08 5.5387e-03 4.5727e-01 4.0176e-01 1.3543e-01
5920.87 1.8054e-08 2.3545e-03 4.1857e-01 4.2852e-01 1.5056e-01
6282.54 9.5623e-09 1.4668e-03 3.8406e-01 4.5050e-01 1.6398e-01
6666.30 8.3611e-09 1.3947e-03 3.7739e-01 4.5110e-01 1.7011e-01
7073.50 7.6155e-09 1.2803e-03 3.6711e-01 4.5607e-01 1.7553e-01
7505.58 7.1251e-09 1.2362e-03 3.5002e-01 4.6201e-01 1.8673e-01
7964.05 9.5574e-09 1.5537e-03 3.5580e-01 4.5200e-01 1.9064e-01
8450.53 2.4585e-08 3.0905e-03 3.7857e-01 4.3621e-01 1.8213e-01
8966.72 7.0123e-08 6.5675e-03 3.9805e-01 4.2066e-01 1.7471e-01
9514.44 1.8122e-07 1.2018e-02 4.1239e-01 4.0604e-01 1.6955e-01
10095.62 5.8919e-07 2.2641e-02 4.3188e-01 3.8771e-01 1.5776e-01
10712.30 1.3607e-06 3.5887e-02 4.4613e-01 3.7091e-01 1.4707e-01
11366.65 2.5154e-06 4.7803e-02 4.4703e-01 3.6186e-01 1.4331e-01
12061.10 2.9776e-06 5.1977e-02 4.4218e-01 3.6098e-01 1.4486e-01
12793.43 3.6393e-06 5.7089e-02 4.3160e-01 3.6329e-01 1.4802e-01
13528.61 3.3740e-06 6.2717e-02 4.1298e-01 3.6760e-01 1.5670e-01
14194.74 3.3447e-06 5.7790e-02 4.0188e-01 3.7568e-01 1.6465e-01
14757.77 1.7055e-06 3.6353e-02 4.0510e-01 3.9003e-01 1.6852e-01
15240.48 1.7599e-06 3.7026e-02 4.4369e-01 3.7548e-01 1.4380e-01
15646.99 2.4877e-06 3.7853e-02 5.1590e-01 3.4718e-01 9.9061e-02
15960.30 6.4333e-06 7.0978e-02 6.0616e-01 2.6159e-01 6.1266e-02
16187.41 7.4128e-06 7.6490e-02 6.3316e-01 2.4007e-01 5.0270e-02
16354.17 3.8041e-06 3.8565e-02 6.2153e-01 2.8987e-01 5.0022e-02
16484.18 3.6852e-06 3.8206e-02 5.9695e-01 3.1066e-01 5.4180e-02
16593.12 2.7198e-06 4.3986e-02 5.7748e-01 3.1372e-01 6.4816e-02
