#NTIMES:     65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5           fe6           fe7
    8.772128E+02    1.4558E-35    1.7618E-27    9.8257E-21    1.3690E-14    1.8047E-09    3.2748E-05    2.9264E-02    9.7070E-01
    8.826573E+02    1.4558E-35    1.7618E-27    9.8257E-21    1.3690E-14    1.8047E-09    3.2748E-05    2.9264E-02    9.7070E-01
    8.991942E+02    1.4558E-35    1.7618E-27    9.8257E-21    1.3690E-14    1.8047E-09    3.2748E-05    2.9264E-02    9.7070E-01
    9.332033E+02    1.4558E-35    1.7618E-27    9.8257E-21    1.3690E-14    1.8047E-09    3.2748E-05    2.9264E-02    9.7070E-01
    9.912889E+02    1.4558E-35    1.7618E-27    9.8257E-21    1.3690E-14    1.8047E-09    3.2748E-05    2.9264E-02    9.7070E-01
    1.052238E+03    1.4558E-35    1.7618E-27    9.8257E-21    1.3690E-14    1.8047E-09    3.2748E-05    2.9264E-02    9.7070E-01
    1.116940E+03    1.4533E-35    1.7586E-27    9.8076E-21    1.3666E-14    1.8018E-09    3.2707E-05    2.9244E-02    9.7072E-01
    1.185621E+03    1.4272E-35    1.7257E-27    9.6221E-21    1.3421E-14    1.7722E-09    3.2288E-05    2.9032E-02    9.7094E-01
    1.258525E+03    1.3743E-35    1.6592E-27    9.2469E-21    1.2925E-14    1.7121E-09    3.1433E-05    2.8597E-02    9.7137E-01
    1.335911E+03    1.3145E-35    1.5779E-27    8.7590E-21    1.2250E-14    1.6266E-09    3.0173E-05    2.7935E-02    9.7204E-01
    1.418056E+03    1.0806E-35    1.2918E-27    7.1763E-21    1.0166E-14    1.3737E-09    2.6485E-05    2.5969E-02    9.7400E-01
    1.505253E+03    4.0161E-39    7.2643E-31    6.8284E-24    2.1695E-17    7.0980E-12    5.4061E-07    3.1246E-03    9.9687E-01
    1.597810E+03    3.1589E-39    5.8500E-31    5.6398E-24    1.8460E-17    6.2265E-12    4.9273E-07    2.9757E-03    9.9702E-01
    1.696060E+03    2.2147E-40    4.8837E-32    5.7981E-25    2.5465E-18    1.1673E-12    1.4598E-07    1.5476E-03    9.9845E-01
    1.800350E+03    1.1508E-40    2.5709E-32    3.1338E-25    1.4625E-18    7.1519E-13    1.0140E-07    1.2681E-03    9.9873E-01
    1.911054E+03    2.9744E-42    8.4525E-34    1.3747E-26    9.6759E-20    7.2093E-14    1.9428E-08    5.2604E-04    9.9947E-01
    2.028564E+03    1.0095E-42    3.0555E-34    5.3769E-27    4.2648E-20    3.5881E-14    1.1767E-08    4.0317E-04    9.9960E-01
    2.153300E+03    5.5494E-44    2.0386E-35    4.5254E-28    5.0042E-21    5.8862E-15    3.2573E-09    2.0545E-04    9.9979E-01
    2.285707E+03    4.2098E-45    1.8866E-36    5.2661E-29    7.9193E-22    1.2672E-15    1.1106E-09    1.1770E-04    9.9988E-01
    2.426255E+03    5.4512E-46    2.9015E-37    9.8309E-30    1.8983E-22    3.8982E-16    4.9021E-10    7.7399E-05    9.9992E-01
    2.575445E+03    2.2753E-47    1.5353E-38    6.8622E-31    1.9379E-23    5.8051E-17    1.3148E-10    3.9633E-05    9.9996E-01
    2.733809E+03    5.5142E-48    4.2028E-39    2.1539E-31    7.2513E-24    2.5861E-17    7.5667E-11    3.0013E-05    9.9997E-01
    2.901910E+03    1.4845E-48    1.2649E-39    7.3512E-32    2.9119E-24    1.2201E-17    4.5365E-11    2.3231E-05    9.9998E-01
    3.080349E+03    5.2489E-49    5.0620E-40    3.3451E-32    1.5249E-24    7.3500E-18    3.2257E-11    1.9592E-05    9.9998E-01
    3.269759E+03    3.2422E-49    3.4580E-40    2.5121E-32    1.2396E-24    6.4710E-18    2.9752E-11    1.8813E-05    9.9998E-01
    3.470816E+03    3.1398E-49    3.6146E-40    2.7964E-32    1.4191E-24    7.6296E-18    3.3549E-11    1.9986E-05    9.9998E-01
    3.684237E+03    3.5730E-49    4.4755E-40    3.6960E-32    1.9053E-24    1.0423E-17    4.2041E-11    2.2429E-05    9.9998E-01
    3.910780E+03    3.3876E-49    4.7507E-40    4.3078E-32    2.3188E-24    1.3263E-17    5.0445E-11    2.4689E-05    9.9998E-01
    4.151254E+03    7.9686E-49    1.2033E-39    1.1338E-31    5.7821E-24    3.1375E-17    9.4083E-11    3.4228E-05    9.9997E-01
    4.406514E+03    1.2458E-48    1.8046E-39    1.6245E-31    7.8335E-24    4.0194E-17    1.1168E-10    3.7373E-05    9.9996E-01
    4.677470E+03    4.2393E-49    6.5072E-40    6.3160E-32    3.4345E-24    1.9867E-17    6.8007E-11    2.8911E-05    9.9997E-01
    4.965088E+03    1.0352E-49    1.9308E-40    2.2798E-32    1.5129E-24    1.0678E-17    4.4881E-11    2.3475E-05    9.9998E-01
    5.270391E+03    4.1623E-50    8.5308E-41    1.1141E-32    8.3166E-25    6.6017E-18    3.2278E-11    1.9853E-05    9.9998E-01
    5.594466E+03    2.9773E-50    6.4147E-41    8.8031E-33    6.8983E-25    5.7486E-18    2.9449E-11    1.8966E-05    9.9998E-01
    5.938470E+03    2.7544E-50    6.1625E-41    8.7398E-33    6.9896E-25    5.9455E-18    3.0319E-11    1.9283E-05    9.9998E-01
    6.303626E+03    3.1196E-50    7.2972E-41    1.0699E-32    8.5904E-25    7.3388E-18    3.5466E-11    2.0966E-05    9.9998E-01
    6.691235E+03    3.3939E-50    8.1614E-41    1.2214E-32    9.8263E-25    8.4123E-18    3.9278E-11    2.2147E-05    9.9998E-01
    7.102679E+03    3.8007E-50    9.3640E-41    1.4253E-32    1.1447E-24    9.7826E-18    4.3949E-11    2.3524E-05    9.9998E-01
    7.539422E+03    5.8243E-50    1.5224E-40    2.4065E-32    1.8988E-24    1.5938E-17    6.3186E-11    2.8602E-05    9.9997E-01
    8.003021E+03    9.4614E-50    2.5867E-40    4.1915E-32    3.2183E-24    2.6259E-17    9.1684E-11    3.4993E-05    9.9996E-01
    8.495126E+03    1.6054E-49    4.4354E-40    7.1549E-32    5.2611E-24    4.1055E-17    1.2750E-10    4.1809E-05    9.9996E-01
    9.017491E+03    5.1118E-49    1.4162E-39    2.2253E-31    1.4793E-23    1.0394E-16    2.5334E-10    6.0641E-05    9.9994E-01
    9.571975E+03    4.4804E-48    1.2090E-38    1.7640E-30    9.6317E-23    5.4956E-16    8.7276E-10    1.1906E-04    9.9988E-01
    1.016056E+04    1.1106E-46    2.6436E-37    3.2225E-29    1.2798E-21    5.1965E-15    4.6045E-09    2.9503E-04    9.9970E-01
    1.078533E+04    4.3607E-44    8.4188E-35    7.5333E-27    1.7087E-19    3.6858E-13    1.1218E-07    1.7188E-03    9.9828E-01
    1.144852E+04    5.0347E-40    6.6626E-31    3.5644E-23    3.4515E-16    2.6319E-10    1.5566E-05    2.6220E-02    9.7376E-01
    1.215249E+04    2.1558E-34    1.8260E-25    5.1504E-18    1.6294E-11    2.4777E-06    1.2047E-02    6.6260E-01    3.2535E-01
    1.289974E+04    1.5311E-30    8.5312E-22    1.3637E-14    1.6437E-08    5.4015E-04    2.7562E-01    7.1636E-01    7.4891E-03
    1.369294E+04    2.0723E-27    7.9339E-19    7.4824E-12    3.3745E-06    2.0475E-02    8.9657E-01    8.2935E-02    1.2688E-05
    1.453492E+04    4.4560E-23    8.3518E-15    2.9966E-08    2.2168E-03    6.2891E-01    3.6877E-01    1.0343E-04    1.0609E-11
    1.542867E+04    1.2492E-15    3.1237E-08    5.4121E-03    9.8105E-01    1.3534E-02    8.5678E-09    2.4611E-20    2.2356E-37
    1.626717E+04    5.5710E-09    3.3410E-03    9.9514E-01    1.5210E-03    1.0983E-13    4.4668E-31    1.9058E-57    4.4992E-84
    1.668676E+04    1.0761E-06    1.2774E-01    8.7226E-01    7.2929E-07    7.5345E-23    3.3691E-48    4.3838E-75    3.0537-101
    1.713874E+04    1.3257E-04    9.9262E-01    7.2507E-03    6.0935E-15    5.4213E-42    2.0822E-66    6.0343E-94    3.6348-119
    1.771854E+04    1.2930E-03    9.9868E-01    2.8810E-05    3.1849E-22    3.0852E-56    1.8087E-73    5.7112-108    5.3171-126
    1.838692E+04    1.0100E-03    9.9895E-01    3.5934E-05    4.7559E-22    4.1520E-56    2.9026E-73    8.2680-108    9.1968-126
    1.903533E+04    6.8587E-04    9.9926E-01    5.2073E-05    9.7193E-22    6.3868E-56    6.2476E-73    1.3428-107    2.0949-125
    1.976116E+04    5.2678E-04    9.9941E-01    6.6630E-05    1.5456E-21    8.6304E-56    1.0412E-72    1.9041-107    3.6693-125
    2.046516E+04    3.8294E-04    9.9953E-01    8.9909E-05    2.7184E-21    1.2210E-55    1.8910E-72    2.7851-107    6.9042-125
    2.125594E+04    2.8023E-04    9.9960E-01    1.1989E-04    4.6234E-21    1.7175E-55    3.3157E-72    4.0411-107    1.2516-124
    2.202587E+04    2.3301E-04    9.9963E-01    1.4064E-04    6.0886E-21    2.0892E-55    4.4700E-72    5.0301-107    1.7285-124
    2.285981E+04    1.5633E-04    9.9964E-01    2.0279E-04    1.1741E-20    3.2466E-55    8.7689E-72    7.9386-107    3.4514-124
    2.372435E+04    1.5136E-04    9.9965E-01    2.0340E-04    1.1184E-20    3.3195E-55    8.7013E-72    8.4068-107    3.5326-124
    2.455466E+04    9.3302E-05    9.9959E-01    3.1813E-04    2.4154E-20    5.8209E-55    1.9145E-71    1.4908-106    7.8530-124
    2.552174E+04    8.5381E-05    9.9958E-01    3.3760E-04    2.5181E-20    6.5861E-55    2.1800E-71    1.8092-106    9.4689-124
    2.640440E+04    6.8505E-05    9.9952E-01    4.1068E-04    3.4198E-20    8.5813E-55    3.0571E-71    2.4109-106    1.3508-123
    2.741295E+04    6.1759E-05    9.9949E-01    4.4614E-04    3.8610E-20    9.3719E-55    3.3839E-71    2.5722-106    1.4588-123
    2.838201E+04    8.0655E-05    9.9958E-01    3.3743E-04    2.3917E-20    6.3697E-55    1.9703E-71    1.6474-106    8.0421-124
    2.923203E+04    7.0440E-05    9.9955E-01    3.7459E-04    2.9363E-20    6.8382E-55    2.1362E-71    1.5711-106    7.8590-124
    3.013295E+04    8.8438E-05    9.9963E-01    2.8189E-04    1.7292E-20    4.7036E-55    1.2283E-71    1.0617-106    4.4812-124
    3.094669E+04    8.0923E-05    9.9962E-01    2.9736E-04    1.8941E-20    4.8743E-55    1.2731E-71    1.0469-106    4.4612-124
    3.176516E+04    8.2584E-05    9.9963E-01    2.8489E-04    1.7171E-20    4.5961E-55    1.1424E-71    9.8063-107    3.9977-124
    3.259805E+04    7.5938E-05    9.9962E-01    3.0714E-04    1.9078E-20    5.0064E-55    1.2600E-71    1.0614-106    4.3909-124
    3.345740E+04    6.6519E-05    9.9958E-01    3.5169E-04    2.3469E-20    5.8852E-55    1.5399E-71    1.2390-106    5.3341-124
    3.438030E+04    6.5824E-05    9.9958E-01    3.4941E-04    2.2415E-20    5.8357E-55    1.4881E-71    1.2430-106    5.2180-124
    3.533529E+04    5.6788E-05    9.9954E-01    4.0673E-04    2.8501E-20    7.0457E-55    1.8816E-71    1.4905-106    6.5604-124
    3.634323E+04    5.6167E-05    9.9954E-01    4.0423E-04    2.7636E-20    7.0118E-55    1.8440E-71    1.4987-106    6.5022-124
    3.736894E+04    5.2015E-05    9.9952E-01    4.2964E-04    3.0349E-20    7.6098E-55    2.0311E-71    1.6298-106    7.1879-124
    3.839518E+04    4.8351E-05    9.9950E-01    4.5199E-04    3.3001E-20    8.1820E-55    2.2151E-71    1.7561-106    7.8698-124
    3.939114E+04    4.8347E-05    9.9952E-01    4.3379E-04    3.0908E-20    7.8450E-55    2.0946E-71    1.6996-106    7.5211-124
    4.037465E+04    4.9320E-05    9.9955E-01    4.0354E-04    2.7642E-20    7.2503E-55    1.8937E-71    1.5879-106    6.8814-124
    4.133441E+04    4.8438E-05    9.9957E-01    3.8566E-04    2.6070E-20    6.9476E-55    1.7986E-71    1.5319-106    6.5881-124
    4.215976E+04    4.6050E-05    9.9958E-01    3.7753E-04    2.5690E-20    6.8588E-55    1.7787E-71    1.5171-106    6.5429-124
    4.290657E+04    4.3477E-05    9.9959E-01    3.6724E-04    2.5116E-20    6.7198E-55    1.7446E-71    1.4907-106    6.4417-124
    4.365819E+04    4.1012E-05    9.9961E-01    3.5056E-04    2.3923E-20    6.4420E-55    1.6688E-71    1.4347-106    6.1899-124
    4.442297E+04    3.8954E-05    9.9963E-01    3.2669E-04    2.2039E-20    6.0061E-55    1.5459E-71    1.3446-106    5.7675-124
    4.520034E+04    3.7582E-05    9.9967E-01    2.9673E-04    1.9586E-20    5.4354E-55    1.3835E-71    1.2250-106    5.1992-124
    4.600555E+04    3.7034E-05    9.9970E-01    2.6266E-04    1.6784E-20    4.7762E-55    1.1957E-71    1.0855-106    4.5343-124
    4.686215E+04    3.6824E-05    9.9973E-01    2.2929E-04    1.4113E-20    4.1337E-55    1.0152E-71    9.4843-107    3.8901-124
