#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           k0           k1           k2           k3
    8.772128E+02   1.0000E-099   1.0000E-099   6.9114E-007   1.0000E+000
    8.826573E+02   1.0000E-099   1.0000E-099   6.9114E-007   1.0000E+000
    8.991942E+02   1.0000E-099   1.0000E-099   6.9114E-007   1.0000E+000
    9.332033E+02   1.0000E-099   1.0000E-099   6.9114E-007   1.0000E+000
    9.912889E+02   1.0000E-099   1.0000E-099   6.9114E-007   1.0000E+000
    1.052238E+03   1.0000E-099   1.0000E-099   6.9114E-007   1.0000E+000
    1.116940E+03   1.0000E-099   1.0000E-099   6.9103E-007   1.0000E+000
    1.185621E+03   1.0000E-099   1.0000E-099   6.8985E-007   1.0000E+000
    1.258525E+03   1.0000E-099   1.0000E-099   6.8742E-007   1.0000E+000
    1.335911E+03   1.0000E-099   1.0000E-099   6.8530E-007   1.0000E+000
    1.418056E+03   1.0000E-099   1.0000E-099   6.7215E-007   1.0000E+000
    1.505253E+03   1.0000E-099   1.0000E-099   2.6418E-007   1.0000E+000
    1.597810E+03   1.0000E-099   1.0000E-099   2.5603E-007   1.0000E+000
    1.696060E+03   1.0000E-099   1.0000E-099   1.8534E-007   1.0000E+000
    1.800350E+03   1.0000E-099   1.0000E-099   1.7259E-007   1.0000E+000
    1.911054E+03   1.0000E-099   1.0000E-099   1.1068E-007   1.0000E+000
    2.028564E+03   1.0000E-099   1.0000E-099   9.7278E-008   1.0000E+000
    2.153300E+03   1.0000E-099   1.0000E-099   6.8338E-008   1.0000E+000
    2.285707E+03   1.0000E-099   1.0000E-099   4.9562E-008   1.0000E+000
    2.426255E+03   1.0000E-099   1.0000E-099   3.8267E-008   1.0000E+000
    2.575445E+03   1.0000E-099   1.0000E-099   2.5820E-008   1.0000E+000
    2.733809E+03   1.0000E-099   1.0000E-099   2.1568E-008   1.0000E+000
    2.901910E+03   1.0000E-099   1.0000E-099   1.8264E-008   1.0000E+000
    3.080349E+03   1.0000E-099   1.0000E-099   1.5852E-008   1.0000E+000
    3.269759E+03   1.0000E-099   1.0000E-099   1.4667E-008   1.0000E+000
    3.470816E+03   1.0000E-099   1.0000E-099   1.4310E-008   1.0000E+000
    3.684237E+03   1.0000E-099   1.0000E-099   1.4164E-008   1.0000E+000
    3.910780E+03   1.0000E-099   1.0000E-099   1.3650E-008   1.0000E+000
    4.151254E+03   1.0000E-099   1.0000E-099   1.4604E-008   1.0000E+000
    4.406514E+03   1.0000E-099   1.0000E-099   1.5471E-008   1.0000E+000
    4.677470E+03   1.0000E-099   1.0000E-099   1.3622E-008   1.0000E+000
    4.965088E+03   1.0000E-099   1.0000E-099   1.1158E-008   1.0000E+000
    5.270391E+03   1.0000E-099   1.0000E-099   9.8943E-009   1.0000E+000
    5.594466E+03   1.0000E-099   1.0000E-099   9.4265E-009   1.0000E+000
    5.938470E+03   1.0000E-099   1.0000E-099   9.2536E-009   1.0000E+000
    6.303626E+03   1.0000E-099   1.0000E-099   9.2578E-009   1.0000E+000
    6.691235E+03   1.0000E-099   1.0000E-099   9.2669E-009   1.0000E+000
    7.102679E+03   1.0000E-099   1.0000E-099   9.3127E-009   1.0000E+000
    7.539422E+03   1.0000E-099   1.0000E-099   9.5730E-009   1.0000E+000
    8.003021E+03   1.0000E-099   1.0000E-099   9.9395E-009   1.0000E+000
    8.495126E+03   1.0000E-099   1.0000E-099   1.0466E-008   1.0000E+000
    9.017491E+03   1.0000E-099   1.0000E-099   1.1787E-008   1.0000E+000
    9.571975E+03   1.0000E-099   1.0000E-099   1.4857E-008   1.0000E+000
    1.016056E+04   1.0000E-099   1.0000E-099   2.1436E-008   1.0000E+000
    1.078533E+04   1.0000E-099   1.0000E-099   4.2147E-008   1.0000E+000
    1.144852E+04   1.0000E-099   1.0000E-099   1.2367E-007   1.0000E+000
    1.215249E+04   1.0000E-099   1.0000E-099   6.0361E-007   1.0000E+000
    1.289974E+04   1.0000E-099   1.0000E-099   2.5326E-006   1.0000E+000
    1.369294E+04   1.0000E-099   1.0000E-099   1.1662E-005   9.9999E-001
    1.453492E+04   1.0000E-099   1.0000E-099   1.7696E-004   9.9982E-001
    1.542867E+04   1.0000E-099   1.0000E-099   5.0830E-001   4.9170E-001
    1.626717E+04   1.0000E-099   1.0000E-099   1.0000E+000   6.8581E-008
    1.668676E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.6537E-013
    1.713874E+04   1.0000E-099   1.0000E-099   1.0000E+000   5.6741E-022
    1.771854E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7761E-029
    1.838692E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.1416E-029
    1.903533E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.0337E-029
    1.976116E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.7884E-029
    2.046516E+04   1.0000E-099   1.0000E-099   1.0000E+000   4.9689E-029
    2.125594E+04   1.0000E-099   1.0000E-099   1.0000E+000   6.3929E-029
    2.202587E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.2361E-029
    2.285981E+04   1.0000E-099   1.0000E-099   1.0000E+000   9.8148E-029
    2.372435E+04   1.0000E-099   1.0000E-099   1.0000E+000   9.3413E-029
    2.455466E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.3105E-028
    2.552174E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2692E-028
    2.640440E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.4251E-028
    2.741295E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5037E-028
    2.838201E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2500E-028
    2.923203E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.4802E-028
    3.013295E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2206E-028
    3.094669E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.3488E-028
    3.176516E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.3328E-028
    3.259805E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.4284E-028
    3.345740E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5904E-028
    3.438030E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5764E-028
    3.533529E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7790E-028
    3.634323E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7808E-028
    3.736894E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8871E-028
    3.839518E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9945E-028
    3.939114E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9847E-028
    4.037465E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9438E-028
    4.133441E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9553E-028
    4.215976E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.0038E-028
    4.290657E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.0482E-028
    4.365819E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.0784E-028
    4.442297E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.0879E-028
    4.520034E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.0727E-028
    4.600555E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.0320E-028
    4.686215E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9791E-028
    4.776422E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9199E-028
    4.868597E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8587E-028
    4.962544E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7971E-028
    5.058305E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7365E-028
    5.155912E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6795E-028
    5.255403E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6297E-028
    5.356816E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5903E-028
    5.460189E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5637E-028
    5.565558E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5519E-028
    5.672959E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5556E-028
    5.782432E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5749E-028
    5.894013E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6053E-028
    6.007747E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6397E-028
    6.123675E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6711E-028
    6.241838E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6959E-028
    6.362274E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7123E-028
    6.485024E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7200E-028
    6.610128E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7226E-028
    6.737631E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7063E-028
    6.867574E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6766E-028
    6.935606E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6453E-028
    6.969874E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5971E-028
    6.987071E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.4873E-028
    6.995686E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2511E-028
    6.999782E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.8692E-029
    6.999997E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.2513E-029
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           k0           k1           k2           k3
    8.772128E+02   1.0000E-099   1.0000E-099   7.3153E-007   1.0000E+000
    8.825108E+02   1.0000E-099   1.0000E-099   7.3153E-007   1.0000E+000
    8.985975E+02   1.0000E-099   1.0000E-099   7.3153E-007   1.0000E+000
    9.316560E+02   1.0000E-099   1.0000E-099   7.3154E-007   1.0000E+000
    9.893707E+02   1.0000E-099   1.0000E-099   7.3154E-007   1.0000E+000
    1.050609E+03   1.0000E-099   1.0000E-099   7.3150E-007   1.0000E+000
    1.115637E+03   1.0000E-099   1.0000E-099   7.3118E-007   1.0000E+000
    1.184691E+03   1.0000E-099   1.0000E-099   7.2976E-007   1.0000E+000
    1.258018E+03   1.0000E-099   1.0000E-099   7.2661E-007   1.0000E+000
    1.335885E+03   1.0000E-099   1.0000E-099   7.1976E-007   1.0000E+000
    1.418571E+03   1.0000E-099   1.0000E-099   6.5645E-007   1.0000E+000
    1.506375E+03   1.0000E-099   1.0000E-099   2.7553E-007   1.0000E+000
    1.599613E+03   1.0000E-099   1.0000E-099   2.5352E-007   1.0000E+000
    1.698623E+03   1.0000E-099   1.0000E-099   1.8549E-007   1.0000E+000
    1.803761E+03   1.0000E-099   1.0000E-099   1.6636E-007   1.0000E+000
    1.915407E+03   1.0000E-099   1.0000E-099   1.0833E-007   1.0000E+000
    2.033963E+03   1.0000E-099   1.0000E-099   9.2026E-008   1.0000E+000
    2.159857E+03   1.0000E-099   1.0000E-099   6.4310E-008   1.0000E+000
    2.293544E+03   1.0000E-099   1.0000E-099   4.6290E-008   1.0000E+000
    2.435505E+03   1.0000E-099   1.0000E-099   3.4876E-008   1.0000E+000
    2.586253E+03   1.0000E-099   1.0000E-099   2.3754E-008   1.0000E+000
    2.746332E+03   1.0000E-099   1.0000E-099   1.9706E-008   1.0000E+000
    2.916319E+03   1.0000E-099   1.0000E-099   1.6667E-008   1.0000E+000
