#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           mg0           mg1           mg2           mg3
    8.772128E+02   1.0000E-099   2.7088E-010   1.4476E-005   9.9999E-001
    8.826573E+02   1.0000E-099   2.7088E-010   1.4476E-005   9.9999E-001
    8.991942E+02   1.0000E-099   2.7088E-010   1.4476E-005   9.9999E-001
    9.332033E+02   1.0000E-099   2.7088E-010   1.4476E-005   9.9999E-001
    9.912889E+02   1.0000E-099   2.7088E-010   1.4476E-005   9.9999E-001
    1.052238E+03   1.0000E-099   2.7088E-010   1.4476E-005   9.9999E-001
    1.116940E+03   1.0000E-099   2.7079E-010   1.4472E-005   9.9999E-001
    1.185621E+03   1.0000E-099   2.6978E-010   1.4431E-005   9.9999E-001
    1.258525E+03   1.0000E-099   2.6770E-010   1.4348E-005   9.9999E-001
    1.335911E+03   1.0000E-099   2.6544E-010   1.4247E-005   9.9999E-001
    1.418056E+03   1.0000E-099   2.5484E-010   1.3835E-005   9.9999E-001
    1.505253E+03   1.0000E-099   4.4818E-011   5.1309E-006   9.9999E-001
    1.597810E+03   1.0000E-099   4.2391E-011   4.9809E-006   1.0000E+000
    1.696060E+03   1.0000E-099   2.3440E-011   3.7750E-006   1.0000E+000
    1.800350E+03   1.0000E-099   2.0320E-011   3.6048E-006   1.0000E+000
    1.911054E+03   1.0000E-099   8.9688E-012   2.5970E-006   1.0000E+000
    2.028564E+03   1.0000E-099   7.0398E-012   2.3907E-006   1.0000E+000
    2.153300E+03   1.0000E-099   3.6659E-012   1.9063E-006   1.0000E+000
    2.285707E+03   1.0000E-099   2.0447E-012   1.5424E-006   1.0000E+000
    2.426255E+03   1.0000E-099   1.2847E-012   1.2935E-006   1.0000E+000
    2.575445E+03   1.0000E-099   6.2352E-013   1.0225E-006   1.0000E+000
    2.733809E+03   1.0000E-099   4.5094E-013   9.0824E-007   1.0000E+000
    2.901910E+03   1.0000E-099   3.3398E-013   8.1587E-007   1.0000E+000
    3.080349E+03   1.0000E-099   2.6334E-013   7.2201E-007   1.0000E+000
    3.269759E+03   1.0000E-099   2.3610E-013   6.5151E-007   1.0000E+000
    3.470816E+03   1.0000E-099   2.3494E-013   6.0123E-007   1.0000E+000
    3.684237E+03   1.0000E-099   2.4282E-013   5.5038E-007   1.0000E+000
    3.910780E+03   1.0000E-099   2.4185E-013   4.9074E-007   1.0000E+000
    4.151254E+03   1.0000E-099   2.9723E-013   4.5752E-007   1.0000E+000
