#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] mg0 mg1 mg2 mg3 mg4 mg5 mg6
4.4010e+02 1.7201e-27 1.3143e-18 6.6727e-11 5.0106e-05 1.1785e-01 8.8130e-01 8.0462e-04
8.8623e+02 6.7876e-19 6.0994e-12 3.6418e-06 3.2162e-02 8.8959e-01 7.8241e-02 8.4010e-07
9.0614e+02 6.7753e-19 6.0911e-12 3.6385e-06 3.2147e-02 8.8957e-01 7.8274e-02 8.4083e-07
9.4442e+02 6.7755e-19 6.0912e-12 3.6386e-06 3.2147e-02 8.8958e-01 7.8274e-02 8.4082e-07
9.9911e+02 6.7640e-19 6.0819e-12 3.6334e-06 3.2120e-02 8.8953e-01 7.8347e-02 8.4264e-07
1.0608e+03 6.7168e-19 6.0448e-12 3.6138e-06 3.2021e-02 8.8936e-01 7.8617e-02 8.4928e-07
1.1257e+03 6.6281e-19 5.9662e-12 3.5650e-06 3.1757e-02 8.8885e-01 7.9386e-02 8.6899e-07
1.1944e+03 6.2720e-19 5.6628e-12 3.3859e-06 3.0793e-02 8.8695e-01 8.2255e-02 9.4431e-07
1.2673e+03 4.9778e-19 4.5581e-12 2.7376e-06 2.7111e-02 8.7797e-01 9.4911e-02 1.3220e-06
1.3448e+03 1.8772e-19 1.8303e-12 1.1270e-06 1.5766e-02 8.1986e-01 1.6437e-01 4.9773e-06
1.4269e+03 2.3742e-20 2.6141e-13 1.6951e-07 4.6080e-03 5.9869e-01 3.9664e-01 5.3858e-05
1.5140e+03 1.9628e-21 2.4848e-14 1.7400e-08 9.3015e-04 3.0819e-01 6.9045e-01 4.2926e-04
1.6065e+03 2.0667e-22 2.9928e-15 2.3052e-09 2.1029e-04 1.4611e-01 8.5194e-01 1.7320e-03
1.7047e+03 2.6680e-23 4.3152e-16 3.6196e-10 5.1994e-05 6.8828e-02 9.2582e-01 5.3000e-03
1.8088e+03 2.9527e-24 5.3634e-17 4.9847e-11 1.1374e-05 2.9553e-02 9.5431e-01 1.6122e-02
1.9193e+03 2.6746e-25 5.5866e-18 5.9997e-12 2.2034e-06 1.1637e-02 9.3949e-01 4.8871e-02
2.0365e+03 2.0156e-26 4.9218e-19 6.3665e-13 3.7521e-07 4.1217e-03 8.5511e-01 1.4077e-01
2.1609e+03 1.2197e-27 3.5509e-20 5.8092e-14 5.4001e-08 1.2371e-03 6.5886e-01 3.3991e-01
2.2929e+03 5.6217e-29 1.9933e-21 4.3330e-15 6.2012e-09 2.9242e-04 3.9088e-01 6.0883e-01
2.4330e+03 2.2516e-30 9.6376e-23 2.8377e-16 5.9713e-10 5.6197e-05 1.8200e-01 8.1794e-01
2.5816e+03 1.2229e-31 6.1269e-24 2.3966e-17 6.8600e-11 1.1701e-05 8.1634e-02 9.1835e-01
2.7393e+03 1.2587e-32 7.1579e-25 3.5465e-18 1.2731e-11 3.4084e-06 4.2575e-02 9.5742e-01
2.9067e+03 2.6117e-33 1.6545e-25 9.8174e-19 4.1512e-12 1.5045e-06 2.7583e-02 9.7242e-01
3.0842e+03 1.1034e-33 7.7548e-26 5.2050e-19 2.4759e-12 1.0469e-06 2.2870e-02 9.7713e-01
3.2726e+03 1.0117e-33 7.7864e-26 5.5180e-19 2.7991e-12 1.1785e-06 2.4634e-02 9.7536e-01
3.4725e+03 1.7928e-33 1.4827e-25 1.0459e-18 5.3641e-12 1.9671e-06 3.2839e-02 9.6716e-01
3.6846e+03 5.7238e-33 5.0818e-25 3.4445e-18 1.7070e-11 4.8041e-06 5.3748e-02 9.4625e-01
3.9097e+03 2.5160e-32 2.4691e-24 1.6322e-17 7.6392e-11 1.5186e-05 1.0062e-01 8.9936e-01
4.1484e+03 1.0742e-31 1.0973e-23 6.9367e-17 2.9162e-10 4.1510e-05 1.7050e-01 8.2946e-01
4.4019e+03 2.5762e-31 2.5445e-23 1.5093e-16 5.7473e-10 6.7769e-05 2.1740e-01 7.8253e-01
4.6708e+03 1.7650e-31 1.8000e-23 1.1115e-16 4.4535e-10 5.6670e-05 1.9951e-01 8.0043e-01
4.9561e+03 5.8935e-32 6.8363e-24 4.8758e-17 2.2970e-10 3.5966e-05 1.6054e-01 8.3942e-01
5.2588e+03 2.2181e-32 2.9280e-24 2.4003e-17 1.3134e-10 2.4585e-05 1.3369e-01 8.6629e-01
5.5800e+03 1.4202e-32 2.0128e-24 1.7740e-17 1.0449e-10 2.1134e-05 1.2447e-01 8.7551e-01
5.9209e+03 1.4356e-32 2.1486e-24 1.9702e-17 1.1887e-10 2.3592e-05 1.3259e-01 8.6739e-01
6.2825e+03 1.9420e-32 3.0589e-24 2.8781e-17 1.7258e-10 3.1518e-05 1.5487e-01 8.4510e-01
6.6663e+03 3.3034e-32 5.3442e-24 5.0291e-17 2.8920e-10 4.6444e-05 1.8923e-01 8.1072e-01
7.0735e+03 7.2658e-32 1.2015e-23 1.1197e-16 5.9723e-10 7.9401e-05 2.4741e-01 7.5251e-01
7.5056e+03 2.0987e-31 3.6381e-23 3.4213e-16 1.6393e-09 1.6640e-04 3.5168e-01 6.4815e-01
7.9641e+03 7.8935e-31 1.4093e-22 1.3222e-15 5.3690e-09 3.8558e-04 5.0182e-01 4.9779e-01
8.4505e+03 3.9087e-30 6.8735e-22 6.2241e-15 1.9813e-08 9.2720e-04 6.7577e-01 3.2330e-01
8.9668e+03 3.1405e-29 5.3525e-21 4.6659e-14 1.0284e-07 2.6305e-03 8.5083e-01 1.4654e-01
9.5145e+03 5.6417e-28 9.0511e-20 7.6034e-13 9.3576e-07 9.7665e-03 9.5384e-01 3.6397e-02
1.0096e+04 3.3959e-26 4.8122e-18 3.8492e-11 1.9201e-05 5.4266e-02 9.4162e-01 4.0903e-03
1.0712e+04 1.0333e-23 1.2136e-15 9.4100e-09 1.1394e-03 4.4148e-01 5.5730e-01 8.8230e-05
1.1367e+04 7.6567e-21 6.4285e-13 4.6572e-06 5.6611e-02 9.2496e-01 1.8425e-02 1.5120e-08
1.2062e+04 7.0603e-18 3.6171e-10 2.3229e-03 8.7624e-01 1.2143e-01 4.7665e-06 1.3717e-15
1.2794e+04 9.1443e-16 2.7462e-08 1.4765e-01 8.5197e-01 3.7647e-04 8.2308e-12 1.5282e-25
1.3528e+04 1.1875e-14 2.2280e-07 9.3070e-01 6.9298e-02 7.7238e-08 7.0179e-19 5.3448e-37
1.4194e+04 2.9937e-14 3.6450e-07 9.9949e-01 5.0895e-04 6.0431e-13 7.5750e-28 0.0000e+00
1.4758e+04 8.0711e-14 7.1453e-07 1.0000e+00 1.0074e-06 2.3033e-19 4.3363e-39 0.0000e+00
1.5240e+04 4.1543e-13 2.4323e-06 1.0000e+00 5.4652e-10 4.4728e-27 0.0000e+00 0.0000e+00
1.5647e+04 3.0926e-12 1.1514e-05 9.9999e-01 1.7654e-13 2.6908e-35 0.0000e+00 0.0000e+00
1.5960e+04 3.6041e-11 7.6737e-05 9.9992e-01 2.0291e-17 1.4013e-44 0.0000e+00 0.0000e+00
1.6187e+04 5.6943e-10 6.6125e-04 9.9934e-01 5.6687e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.6354e+04 1.2230e-08 6.9753e-03 9.9302e-01 3.4805e-27 0.0000e+00 0.0000e+00 0.0000e+00
1.6484e+04 3.6502e-07 8.3410e-02 9.1659e-01 4.1370e-33 0.0000e+00 0.0000e+00 0.0000e+00
1.6593e+04 4.6810e-06 4.6017e-01 5.3983e-01 6.9990e-39 0.0000e+00 0.0000e+00 0.0000e+00
1.6692e+04 1.6115e-05 8.2579e-01 1.7420e-01 7.5670e-44 0.0000e+00 0.0000e+00 0.0000e+00
1.6788e+04 2.7337e-05 9.3906e-01 6.0915e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6888e+04 3.7704e-05 9.7360e-01 2.6363e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6999e+04 4.9472e-05 9.8745e-01 1.2499e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7146e+04 6.5071e-05 9.9404e-01 5.8959e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7416e+04 9.9456e-05 9.9795e-01 1.9506e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7888e+04 2.2972e-04 9.9951e-01 2.6147e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 6.1770e-04 9.9935e-01 2.8070e-05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 1.4949e-03 9.9850e-01 3.6196e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 3.2853e-03 9.9671e-01 5.3939e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 6.6673e-03 9.9333e-01 9.4540e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 1.2794e-02 9.8721e-01 1.9074e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2448e+04 2.2315e-02 9.7769e-01 4.3334e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3246e+04 3.6556e-02 9.6344e-01 1.0833e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4052e+04 5.7351e-02 9.4265e-01 3.0065e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4868e+04 8.3147e-02 9.1685e-01 9.9102e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5699e+04 1.0893e-01 8.9107e-01 3.9286e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.6588e+04 1.3286e-01 8.6714e-01 1.6582e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7638e+04 1.7355e-01 8.2645e-01 4.8383e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8987e+04 2.6185e-01 7.3815e-01 6.4644e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0652e+04 1.8543e-01 8.1457e-01 5.3332e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2516e+04 7.1611e-02 9.2839e-01 1.1055e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.4459e+04 1.5662e-02 9.8434e-01 5.5160e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6371e+04 4.3394e-03 9.9566e-01 2.6973e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8150e+04 1.6692e-03 9.9833e-01 1.0625e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9750e+04 1.0833e-03 9.9892e-01 1.8198e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.1174e+04 1.0696e-03 9.9893e-01 1.3437e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2468e+04 1.5981e-03 9.9840e-01 4.0473e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3688e+04 3.4899e-03 9.9651e-01 5.6529e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4884e+04 9.3980e-03 9.9060e-01 5.0845e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6084e+04 2.3660e-02 9.7634e-01 5.0784e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.7294e+04 2.3298e-02 9.7670e-01 3.6511e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8516e+04 1.8896e-02 9.8110e-01 3.9852e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9754e+04 1.4829e-02 9.8517e-01 4.6614e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.1012e+04 1.1312e-02 9.8869e-01 5.7713e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2292e+04 8.5384e-03 9.9146e-01 7.2950e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3596e+04 6.4198e-03 9.9358e-01 9.2552e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.4921e+04 4.8155e-03 9.9518e-01 1.1787e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6265e+04 3.6060e-03 9.9639e-01 1.5042e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7622e+04 2.6986e-03 9.9730e-01 1.9221e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8985e+04 2.0276e-03 9.9797e-01 2.4447e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0341e+04 1.5291e-03 9.9847e-01 3.1047e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.1676e+04 1.1660e-03 9.9883e-01 3.8981e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2975e+04 8.9789e-04 9.9910e-01 4.8580e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4219e+04 7.0226e-04 9.9930e-01 5.9755e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5388e+04 5.5997e-04 9.9944e-01 7.2275e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6461e+04 4.5641e-04 9.9954e-01 8.5740e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7422e+04 3.8124e-04 9.9962e-01 9.9645e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8257e+04 3.2693e-04 9.9967e-01 1.1325e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8960e+04 2.8768e-04 9.9971e-01 1.2611e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9475e+04 2.5985e-04 9.9974e-01 1.3717e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9758e+04 2.4878e-04 9.9975e-01 1.4211e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
