#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    8.772128E+02   1.0000E-099   4.1146E-013   6.1890E-006   9.9999E-001
    8.826573E+02   1.0000E-099   4.1146E-013   6.1890E-006   9.9999E-001
    8.991942E+02   1.0000E-099   4.1146E-013   6.1890E-006   9.9999E-001
    9.332033E+02   1.0000E-099   4.1146E-013   6.1890E-006   9.9999E-001
    9.912889E+02   1.0000E-099   4.1146E-013   6.1890E-006   9.9999E-001
    1.052238E+03   1.0000E-099   4.1146E-013   6.1890E-006   9.9999E-001
    1.116940E+03   1.0000E-099   4.1147E-013   6.1890E-006   9.9999E-001
    1.185621E+03   1.0000E-099   4.1156E-013   6.1891E-006   9.9999E-001
    1.258525E+03   1.0000E-099   4.1175E-013   6.1894E-006   9.9999E-001
    1.335911E+03   1.0000E-099   4.1467E-013   6.2091E-006   9.9999E-001
    1.418056E+03   1.0000E-099   4.1311E-013   6.1920E-006   9.9999E-001
    1.505253E+03   1.0000E-099   1.3890E-013   3.5317E-006   1.0000E+000
    1.597810E+03   1.0000E-099   1.3200E-013   3.4421E-006   1.0000E+000
    1.696060E+03   1.0000E-099   8.6489E-014   2.7763E-006   1.0000E+000
    1.800350E+03   1.0000E-099   8.1885E-014   2.6979E-006   1.0000E+000
    1.911054E+03   1.0000E-099   4.5795E-014   2.0098E-006   1.0000E+000
    2.028564E+03   1.0000E-099   3.9090E-014   1.8549E-006   1.0000E+000
    2.153300E+03   1.0000E-099   2.4564E-014   1.4672E-006   1.0000E+000
    2.285707E+03   1.0000E-099   1.5561E-014   1.1663E-006   1.0000E+000
