#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] mn0 mn1 mn2 mn3 mn4 mn5 mn6 mn7 mn8
4.386064e+02 3.838228e+04 2.269456e+13 8.690122e-24 1.064419e-15 6.311262e-09 6.602551e-04 4.866954e-01 5.121832e-01 4.612076e-04 1.723460e-10 1.335075e-24 
8.801961e+02 3.884803e+04 4.443366e+13 1.637679e-22 1.028032e-14 3.125936e-08 1.685495e-03 6.455087e-01 3.526390e-01 1.667564e-04 3.287313e-11 1.368718e-25 
8.922517e+02 3.930265e+04 3.464837e+13 5.854474e-23 4.689790e-15 1.816906e-08 1.242329e-03 5.939884e-01 4.045332e-01 2.360424e-04 5.691418e-11 2.810768e-25 
9.200313e+02 3.991888e+04 3.029031e+13 3.569806e-23 3.239599e-15 1.418998e-08 1.079866e-03 5.729539e-01 4.256994e-01 2.668430e-04 6.809405e-11 3.391316e-25 
9.688202e+02 3.901736e+04 2.364498e+13 1.844048e-23 2.061669e-15 1.091539e-08 9.712752e-04 5.646683e-01 4.340959e-01 2.645809e-04 6.127739e-11 2.244929e-25 
1.029396e+03 3.925356e+04 2.444786e+13 1.298943e-23 1.478107e-15 8.028810e-09 7.692876e-04 5.139782e-01 4.848640e-01 3.885630e-04 1.276547e-10 8.443128e-25 
1.092261e+03 3.997231e+04 2.492703e+13 6.483095e-24 7.681180e-16 4.534807e-09 5.016280e-04 4.277275e-01 5.710498e-01 7.210903e-04 4.198896e-10 7.065341e-24 
1.158981e+03 3.884427e+04 2.521577e+13 4.602210e-24 5.562866e-16 3.406976e-09 4.032519e-04 3.876134e-01 6.110216e-01 9.617726e-04 7.405984e-10 1.965993e-23 
1.229776e+03 3.945213e+04 2.560116e+13 3.239226e-24 3.982473e-16 2.529258e-09 3.217039e-04 3.483277e-01 6.500638e-01 1.286816e-03 1.320095e-09 5.579899e-23 
1.304896e+03 4.032019e+04 2.623350e+13 2.582752e-24 3.180507e-16 2.052668e-09 2.718093e-04 3.203064e-01 6.778315e-01 1.590254e-03 2.018833e-09 1.229345e-22 
1.384604e+03 4.164226e+04 2.778188e+13 5.897194e-25 7.875367e-17 5.884753e-10 1.021434e-04 1.928407e-01 8.024663e-01 4.590853e-03 1.803994e-08 7.041797e-21 
1.469181e+03 4.440651e+04 2.874075e+13 4.411004e-26 7.014721e-18 6.876878e-11 1.883866e-05 7.566097e-02 9.036432e-01 2.067658e-02 4.533532e-07 2.940669e-18 
1.558925e+03 4.686601e+04 2.852949e+13 5.807394e-27 1.076587e-18 1.317757e-11 5.093528e-06 3.569328e-02 9.087317e-01 5.556576e-02 4.148138e-06 1.915861e-16 
1.654150e+03 4.915925e+04 2.868354e+13 9.301632e-28 1.957880e-19 2.903924e-12 1.513217e-06 1.717399e-02 8.575651e-01 1.252317e-01 2.767803e-05 7.395932e-15 
1.755192e+03 5.151671e+04 2.941201e+13 1.166135e-28 2.792519e-20 5.042049e-13 3.594076e-07 6.903728e-03 7.188152e-01 2.740806e-01 2.001306e-04 3.723359e-13 
1.862406e+03 5.434752e+04 3.056324e+13 8.045223e-30 2.236816e-21 5.089213e-14 5.272059e-08 1.865029e-03 4.571150e-01 5.393957e-01 1.624282e-03 2.989532e-11 
1.976169e+03 5.739918e+04 3.141919e+13 7.966482e-31 2.489526e-22 6.823144e-15 9.441756e-09 5.384752e-04 2.589107e-01 7.339490e-01 6.601853e-03 7.191963e-10 
2.096881e+03 6.114534e+04 3.160759e+13 4.607343e-32 1.690942e-23 5.842301e-16 1.135211e-09 1.116212e-04 1.139961e-01 8.597206e-01 2.617161e-02 2.013931e-08 
2.224967e+03 6.488335e+04 3.058732e+13 1.723992e-33 7.794294e-25 3.553670e-17 1.017221e-10 1.796651e-05 4.088702e-02 8.652987e-01 9.379574e-02 5.409768e-07 
2.360877e+03 6.872919e+04 2.963455e+13 7.061706e-35 3.860658e-26 2.289234e-18 9.331539e-12 2.842142e-06 1.348320e-02 7.313909e-01 2.551138e-01 9.215138e-06 
2.505088e+03 7.293969e+04 2.948300e+13 3.038047e-36 1.957203e-27 1.454757e-19 8.135539e-13 4.060467e-07 3.768347e-03 4.907614e-01 5.053674e-01 1.023880e-04 
2.658109e+03 7.676887e+04 2.939966e+13 1.731655e-37 1.281071e-28 1.157382e-20 8.459489e-14 6.361182e-08 1.038110e-03 2.805105e-01 7.178417e-01 6.096133e-04 
2.820477e+03 7.955618e+04 2.847283e+13 1.563288e-38 1.321472e-29 1.420242e-21 1.301037e-14 1.358936e-08 3.439914e-04 1.631405e-01 8.344345e-01 2.080978e-03 
2.992763e+03 8.104266e+04 2.618756e+13 3.074165e-39 2.958677e-30 3.701097e-22 4.036560e-15 5.262926e-09 1.759808e-04 1.160374e-01 8.799041e-01 3.882577e-03 
3.175573e+03 8.099163e+04 2.310320e+13 1.432799e-39 1.552199e-30 2.185937e-22 2.681906e-15 3.912643e-09 1.451168e-04 1.065415e-01 8.890701e-01 4.243289e-03 
3.369550e+03 7.932224e+04 1.991503e+13 1.432203e-39 1.725910e-30 2.634284e-22 3.436681e-15 5.086894e-09 1.831887e-04 1.217221e-01 8.750668e-01 3.027913e-03 
3.575375e+03 7.599184e+04 1.643340e+13 4.383750e-39 5.741759e-30 9.124870e-22 1.167412e-14 1.512870e-08 4.216976e-04 1.908361e-01 8.076582e-01 1.084025e-03 
3.793773e+03 7.094847e+04 1.262645e+13 4.206158e-38 5.952783e-29 9.481679e-21 1.097879e-13 1.058669e-07 1.778706e-03 3.849704e-01 6.131011e-01 1.497107e-04 
4.025512e+03 6.640247e+04 1.058494e+13 5.807942e-37 8.157720e-28 1.201490e-19 1.152721e-12 7.492688e-07 6.871992e-03 6.472973e-01 3.458164e-01 1.352231e-05 
4.271406e+03 6.391214e+04 1.036013e+13 4.120859e-36 5.314331e-27 6.845579e-19 5.449441e-12 2.571596e-06 1.504226e-02 7.836387e-01 2.013141e-01 2.400456e-06 
4.532320e+03 6.342009e+04 1.010890e+13 5.268769e-36 6.810847e-27 8.738446e-19 6.810847e-12 3.088441e-06 1.692003e-02 8.010242e-01 1.820509e-01 1.756256e-06 
4.809172e+03 6.386716e+04 9.035089e+12 2.143672e-36 3.140630e-27 4.578302e-19 4.064848e-12 2.139393e-06 1.373491e-02 7.744604e-01 2.118000e-01 2.575830e-06 
5.102936e+03 6.434705e+04 8.030419e+12 7.044073e-37 1.188687e-27 2.003158e-19 2.082404e-12 1.311959e-06 1.030196e-02 7.308226e-01 2.588697e-01 4.446571e-06 
5.414644e+03 6.481902e+04 7.496501e+12 3.198651e-37 5.860466e-28 1.087094e-19 1.257092e-12 8.992013e-07 8.186758e-03 6.934140e-01 2.983917e-01 6.710458e-06 
5.745391e+03 6.486469e+04 6.945994e+12 2.235698e-37 4.396088e-28 8.707454e-20 1.073135e-12 8.142646e-07 7.813175e-03 6.871829e-01 3.049962e-01 6.918896e-06 
6.096342e+03 6.407089e+04 6.335684e+12 2.312801e-37 4.834008e-28 1.006450e-19 1.275853e-12 9.607019e-07 8.793727e-03 7.116311e-01 2.795693e-01 4.905171e-06 
6.468731e+03 6.310748e+04 5.884469e+12 3.355260e-37 7.224244e-28 1.530470e-19 1.915763e-12 1.348526e-06 1.107717e-02 7.545322e-01 2.343866e-01 2.718456e-06 
6.863867e+03 6.172118e+04 5.411674e+12 5.984932e-37 1.328085e-27 2.810068e-19 3.408561e-12 2.177375e-06 1.504783e-02 8.036909e-01 1.812579e-01 1.191286e-06 
7.283139e+03 5.954661e+04 4.714361e+12 1.534421e-36 3.561136e-27 7.544237e-19 8.695053e-12 4.686378e-06 2.435894e-02 8.631119e-01 1.125242e-01 2.845072e-07 
7.728022e+03 5.703412e+04 4.122050e+12 5.904012e-36 1.398128e-26 2.883186e-18 2.977360e-11 1.253244e-05 4.404465e-02 8.982791e-01 5.766372e-02 4.281314e-08 
8.200081e+03 5.442053e+04 3.734705e+12 3.372278e-35 7.772298e-26 1.477379e-17 1.292707e-10 3.926295e-05 8.430695e-02 8.912449e-01 2.440887e-02 4.383961e-09 
8.700974e+03 5.114273e+04 3.289411e+12 3.363510e-34 7.451174e-25 1.267271e-16 8.775616e-10 1.705576e-04 1.886614e-01 8.041932e-01 6.974757e-03 1.819916e-10 
