#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
440.10 9.42e-12 5.09e-04 9.57e-01 4.22e-02 1.95e-08 
999.11 6.92e-13 5.04e-05 5.90e-01 4.10e-01 2.74e-05 
1267.34 2.10e-14 1.94e-06 1.23e-01 8.76e-01 8.33e-04 
1514.05 1.35e-15 1.32e-07 2.57e-02 9.65e-01 8.92e-03 
1808.80 1.15e-16 1.37e-08 6.60e-03 9.40e-01 5.39e-02 
1919.29 1.48e-17 1.97e-09 1.95e-03 8.22e-01 1.76e-01 
2160.92 1.58e-18 2.09e-10 3.82e-04 5.12e-01 4.88e-01 
2292.92 4.31e-19 6.15e-11 1.65e-04 3.64e-01 6.35e-01 
2432.98 1.71e-19 2.36e-11 8.20e-05 2.62e-01 7.38e-01 
2581.60 9.25e-20 1.15e-11 4.75e-05 1.96e-01 8.04e-01 
2739.29 4.59e-20 5.88e-12 2.89e-05 1.52e-01 8.48e-01 
2906.62 3.20e-20 4.04e-12 2.17e-05 1.28e-01 8.72e-01 
3084.17 2.76e-20 3.54e-12 2.01e-05 1.27e-01 8.73e-01 
3272.56 2.14e-20 2.98e-12 1.81e-05 1.23e-01 8.77e-01 
3472.46 2.24e-20 3.34e-12 2.03e-05 1.32e-01 8.68e-01 
3684.57 2.33e-20 3.79e-12 2.29e-05 1.44e-01 8.56e-01 
