#NTIMES:    65
#NSTAGES:     2
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           na0           na1
    8.772128E+02   6.6224E-006   9.9999E-001
    8.826573E+02   6.6224E-006   9.9999E-001
    8.991942E+02   6.6224E-006   9.9999E-001
    9.332033E+02   6.6224E-006   9.9999E-001
    9.912889E+02   6.6224E-006   9.9999E-001
    1.052238E+03   6.6224E-006   9.9999E-001
    1.116940E+03   6.6228E-006   9.9999E-001
    1.185621E+03   6.6268E-006   9.9999E-001
    1.258525E+03   6.6354E-006   9.9999E-001
    1.335911E+03   6.6628E-006   9.9999E-001
    1.418056E+03   6.6905E-006   9.9999E-001
    1.505253E+03   5.3242E-006   9.9999E-001
    1.597810E+03   5.2429E-006   9.9999E-001
    1.696060E+03   4.7291E-006   1.0000E+000
    1.800350E+03   4.6948E-006   1.0000E+000
    1.911054E+03   4.0610E-006   1.0000E+000
    2.028564E+03   3.9047E-006   1.0000E+000
    2.153300E+03   3.4637E-006   1.0000E+000
    2.285707E+03   3.0607E-006   1.0000E+000
    2.426255E+03   2.7491E-006   1.0000E+000
    2.575445E+03   2.3607E-006   1.0000E+000
    2.733809E+03   2.1846E-006   1.0000E+000
    2.901910E+03   2.0341E-006   1.0000E+000
    3.080349E+03   1.8883E-006   1.0000E+000
    3.269759E+03   1.7861E-006   1.0000E+000
    3.470816E+03   1.7215E-006   1.0000E+000
    3.684237E+03   1.6571E-006   1.0000E+000
    3.910780E+03   1.5765E-006   1.0000E+000
    4.151254E+03   1.5494E-006   1.0000E+000
    4.406514E+03   1.6109E-006   1.0000E+000
    4.677470E+03   1.5462E-006   1.0000E+000
    4.965088E+03   1.3547E-006   1.0000E+000
    5.270391E+03   1.2607E-006   1.0000E+000
    5.594466E+03   1.2132E-006   1.0000E+000
    5.938470E+03   1.1814E-006   1.0000E+000
    6.303626E+03   1.1506E-006   1.0000E+000
    6.691235E+03   1.1334E-006   1.0000E+000
    7.102679E+03   1.1204E-006   1.0000E+000
    7.539422E+03   1.0871E-006   1.0000E+000
    8.003021E+03   1.0650E-006   1.0000E+000
    8.495126E+03   1.0676E-006   1.0000E+000
    9.017491E+03   1.0765E-006   1.0000E+000
    9.571975E+03   1.1030E-006   1.0000E+000
    1.016056E+04   1.1944E-006   1.0000E+000
    1.078533E+04   1.3316E-006   1.0000E+000
    1.144852E+04   1.5818E-006   1.0000E+000
    1.215249E+04   1.8232E-006   1.0000E+000
    1.289974E+04   2.0592E-006   1.0000E+000
    1.369294E+04   2.2134E-006   1.0000E+000
    1.453492E+04   2.6161E-006   1.0000E+000
    1.542867E+04   4.3549E-006   1.0000E+000
    1.626717E+04   1.4740E-005   9.9999E-001
    1.668676E+04   1.6493E-005   9.9998E-001
    1.713874E+04   1.7575E-005   9.9998E-001
    1.771854E+04   2.1384E-005   9.9998E-001
    1.838692E+04   2.0235E-005   9.9998E-001
    1.903533E+04   1.5656E-005   9.9998E-001
    1.976116E+04   1.3437E-005   9.9999E-001
    2.046516E+04   1.0799E-005   9.9999E-001
    2.125594E+04   8.7836E-006   9.9999E-001
    2.202587E+04   8.1496E-006   9.9999E-001
    2.285981E+04   6.1875E-006   9.9999E-001
    2.372435E+04   6.8765E-006   9.9999E-001
    2.455466E+04   4.7861E-006   1.0000E+000
    2.552174E+04   4.9420E-006   1.0000E+000
    2.640440E+04   4.3204E-006   1.0000E+000
    2.741295E+04   4.3576E-006   1.0000E+000
    2.838201E+04   6.0820E-006   9.9999E-001
    2.923203E+04   5.7804E-006   9.9999E-001
    3.013295E+04   7.4901E-006   9.9999E-001
    3.094669E+04   7.6894E-006   9.9999E-001
