#NTIMES:     65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ne1           ne2           ne3           ne4
    8.772128E+02    2.1368E-17    4.5721E-11    3.9530E-05    9.9996E-01
    8.826573E+02    2.1369E-17    4.5721E-11    3.9530E-05    9.9996E-01
    8.991942E+02    2.1369E-17    4.5721E-11    3.9530E-05    9.9996E-01
    9.332033E+02    2.1369E-17    4.5721E-11    3.9530E-05    9.9996E-01
    9.912889E+02    2.1369E-17    4.5721E-11    3.9530E-05    9.9996E-01
    1.052238E+03    2.1369E-17    4.5721E-11    3.9530E-05    9.9996E-01
    1.116940E+03    2.1363E-17    4.5710E-11    3.9521E-05    9.9996E-01
    1.185621E+03    2.1306E-17    4.5593E-11    3.9423E-05    9.9996E-01
    1.258525E+03    2.1188E-17    4.5352E-11    3.9219E-05    9.9996E-01
    1.335911E+03    2.1180E-17    4.5213E-11    3.8988E-05    9.9996E-01
    1.418056E+03    2.0459E-17    4.3859E-11    3.7957E-05    9.9996E-01
    1.505253E+03    2.1001E-18    8.4403E-12    1.3192E-05    9.9999E-01
    1.597810E+03    1.9269E-18    7.9573E-12    1.2771E-05    9.9999E-01
    1.696060E+03    8.5030E-19    4.4904E-12    9.0922E-06    9.9999E-01
    1.800350E+03    7.2851E-19    4.0134E-12    8.4342E-06    9.9999E-01
    1.911054E+03    2.3659E-19    1.8431E-12    5.4051E-06    9.9999E-01
    2.028564E+03    1.7186E-19    1.4778E-12    4.7711E-06    1.0000E+00
    2.153300E+03    7.0179E-20    8.0008E-13    3.4197E-06    1.0000E+00
    2.285707E+03    3.0372E-20    4.5293E-13    2.5429E-06    1.0000E+00
    2.426255E+03    1.5288E-20    2.8474E-13    2.0087E-06    1.0000E+00
    2.575445E+03    5.5192E-21    1.4298E-13    1.4275E-06    1.0000E+00
    2.733809E+03    3.4166E-21    1.0354E-13    1.2199E-06    1.0000E+00
    2.901910E+03    2.1962E-21    7.6915E-14    1.0573E-06    1.0000E+00
    3.080349E+03    1.4633E-21    5.8615E-14    9.2498E-07    1.0000E+00
    3.269759E+03    1.1321E-21    4.9434E-14    8.4715E-07    1.0000E+00
    3.470816E+03    9.9713E-22    4.5517E-14    8.0872E-07    1.0000E+00
    3.684237E+03    8.9603E-22    4.2536E-14    7.7785E-07    1.0000E+00
    3.910780E+03    7.4180E-22    3.7659E-14    7.3026E-07    1.0000E+00
    4.151254E+03    7.8541E-22    3.9500E-14    7.5062E-07    1.0000E+00
    4.406514E+03    9.1840E-22    4.3897E-14    7.9213E-07    1.0000E+00
    4.677470E+03    6.7332E-22    3.5506E-14    7.0983E-07    1.0000E+00
    4.965088E+03    3.7189E-22    2.3891E-14    5.8218E-07    1.0000E+00
    5.270391E+03    2.6634E-22    1.9089E-14    5.2005E-07    1.0000E+00
    5.594466E+03    2.2997E-22    1.7311E-14    4.9524E-07    1.0000E+00
    5.938470E+03    2.1329E-22    1.6484E-14    4.8351E-07    1.0000E+00
    6.303626E+03    2.0393E-22    1.6050E-14    4.7798E-07    1.0000E+00
    6.691235E+03    1.9860E-22    1.5803E-14    4.7510E-07    1.0000E+00
    7.102679E+03    1.9560E-22    1.5681E-14    4.7428E-07    1.0000E+00
    7.539422E+03    1.9436E-22    1.5732E-14    4.7932E-07    1.0000E+00
    8.003021E+03    1.9991E-22    1.6158E-14    4.9161E-07    1.0000E+00
    8.495126E+03    2.1900E-22    1.7285E-14    5.1417E-07    1.0000E+00
    9.017491E+03    2.7616E-22    2.0472E-14    5.7479E-07    1.0000E+00
    9.571975E+03    4.4852E-22    2.9143E-14    7.2779E-07    1.0000E+00
    1.016056E+04    1.0539E-21    5.3858E-14    1.0815E-06    1.0000E+00
    1.078533E+04    4.9980E-21    1.7163E-13    2.3890E-06    1.0000E+00
    1.144852E+04    6.2856E-20    1.2351E-12    9.1551E-06    9.9999E-01
    1.215249E+04    2.4062E-18    2.9524E-11    7.6256E-05    9.9992E-01
    1.289974E+04    6.8300E-17    6.5134E-10    5.2996E-04    9.9947E-01
    1.369294E+04    2.3695E-15    1.9936E-08    4.3245E-03    9.9568E-01
    1.453492E+04    1.4341E-12    8.0575E-06    1.5077E-01    8.4922E-01
    1.542867E+04    5.2550E-07    1.2236E-01    8.7761E-01    3.5755E-05
    1.626717E+04    1.6998E-02    9.8300E-01    2.3388E-06    1.9922E-20
    1.668676E+04    7.5781E-01    2.4219E-01    2.3939E-11    3.1571E-32
    1.713874E+04    9.9998E-01    2.3393E-05    1.5199E-23    5.0324E-57
    1.771854E+04    1.0000E+00    1.1703E-08    1.6151E-33    1.8435E-60
    1.838692E+04    1.0000E+00    1.2395E-08    2.0397E-33    2.0966E-60
    1.903533E+04    1.0000E+00    1.6411E-08    3.8066E-33    2.9252E-60
    1.976116E+04    1.0000E+00    1.9270E-08    5.5546E-33    3.6016E-60
    2.046516E+04    1.0000E+00    2.3812E-08    8.9489E-33    4.5977E-60
    2.125594E+04    1.0000E+00    2.8628E-08    1.3733E-32    5.6979E-60
    2.202587E+04    1.0000E+00    3.0229E-08    1.6279E-32    6.1403E-60
    2.285981E+04    1.0000E+00    3.7905E-08    2.7303E-32    7.7647E-60
    2.372435E+04    1.0000E+00    3.3327E-08    2.2632E-32    6.9234E-60
    2.455466E+04    1.0000E+00    4.3132E-08    4.0156E-32    8.8024E-60
    2.552174E+04    1.0000E+00    3.9044E-08    3.4562E-32    7.9683E-60
    2.640440E+04    1.0000E+00    4.1146E-08    3.9666E-32    8.2274E-60
    2.741295E+04    1.0000E+00    4.0120E-08    3.9284E-32    7.7001E-60
    2.838201E+04    1.0000E+00    3.0820E-08    2.4253E-32    5.7359E-60
    2.923203E+04    1.0000E+00    3.3476E-08    2.9625E-32    5.8696E-60
