#NTIMES: 265
#NSTAGES: 3
#TIMES[d]: 1.0736 1.18096 1.299056 1.428962 1.571858 1.729044 1.901948 2.092143 2.301357 2.531493 2.784642 3.063106 3.369417 3.706359 4.076994 4.484694 4.933163 5.426479 5.969127 6.56604 7.222644 7.944908 8.739399 9.613339 10.574673 11.574673 12.574673 13.574673 14.574673 15.574673 16.574673 17.574673 18.574673 19.574673 20.574673 21.574673 22.574673 23.574673 24.574673 25.574673 26.574673 27.574673 28.574673 29.574673 30.574673 31.574673 32.574673 33.574673 34.574673 35.574673 36.574673 37.574673 38.574673 39.574673 40.574673 41.574673 42.574673 43.574673 44.574673 45.574673 46.574673 47.574673 48.57467 49.57467 50.57467 51.57467 52.57467 53.57467 54.57467 55.57467 56.57467 57.57467 58.57467 59.57467 60.57467 61.57467 62.57467 63.57467 64.57467 65.57467 66.57467 67.57467 68.57467 69.57467 70.57467 71.57467 72.57467 73.57467 74.57467 75.57467 76.57467 77.57467 78.57467 79.57467 80.57467 81.57467 82.57467 83.57467 84.57467 85.57467 86.57467 87.57467 88.57467 89.57467 90.57467 91.57467 92.57467 93.57467 94.57467 95.57467 96.57467 97.574676 98.574676 99.574676 100.574676 101.574676 102.574676 103.574676 104.574676 105.574676 106.574676 107.574676 108.574676 109.574676 110.574676 111.574676 112.574676 113.574676 114.574676 115.574676 116.574676 117.574676 118.574676 119.574676 120.574676 121.574676 122.574676 123.574676 124.574676 125.574676 126.574676 127.574676 128.574676 129.574676 130.574676 131.574676 132.574676 133.574676 134.574676 135.574676 136.574676 137.574676 138.574676 139.574676 140.574676 141.574676 142.574676 143.574676 144.574676 145.574676 146.574676 147.574676 148.574676 149.574676 150.574676 151.574676 152.574676 153.574676 154.574676 155.574676 156.574676 157.574676 158.574676 159.574676 160.574676 161.574676 162.574676 163.574676 164.574676 165.574676 166.574676 167.574676 168.574676 169.574676 170.574676 171.574676 172.574676 173.574676 174.574676 175.574676 176.574676 177.574676 178.574676 179.574676 180.574676 181.574676 182.574676 183.574676 184.574676 185.574676 186.574676 187.574676 188.574676 189.574676 190.574676 191.574676 192.574676 193.574676 194.574676 195.574676 196.574676 197.574676 198.574676 199.574676 200.574676 201.574676 202.574676 203.574676 204.574676 205.574676 206.574676 207.574676 208.574676 209.574676 210.574676 211.574676 212.574676 213.574676 214.574676 215.574676 216.574676 217.574676 218.574676 219.574676 220.574676 221.574676 222.574676 223.574676 224.574676 225.574676 226.574676 227.574676 228.574676 229.574676 230.574676 231.574676 232.574676 233.574676 234.574676 235.574676 236.574676 237.574676 238.574676 239.574676 240.574676 241.574676 242.574676 243.574676 244.574676 245.574676 246.574676 247.574676 248.574676 249.574676 250.574676
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Ne0 Ne1 Ne2
4.401e+02 1.323598e-12 9.460398e-06 9.999905e-01
8.862e+02 1.323598e-12 9.460398e-06 9.999905e-01
9.061e+02 1.323598e-12 9.460398e-06 9.999905e-01
9.444e+02 1.323598e-12 9.460398e-06 9.999905e-01
9.991e+02 1.323090e-12 9.458542e-06 9.999905e-01
1.061e+03 1.321532e-12 9.452829e-06 9.999905e-01
1.126e+03 1.316605e-12 9.434678e-06 9.999906e-01
1.194e+03 1.301876e-12 9.380158e-06 9.999906e-01
1.267e+03 1.235011e-12 9.132056e-06 9.999909e-01
1.345e+03 9.863218e-13 8.178122e-06 9.999918e-01
1.427e+03 6.248780e-13 6.649661e-06 9.999934e-01
1.514e+03 3.725473e-13 5.361251e-06 9.999946e-01
1.607e+03 2.368398e-13 4.477636e-06 9.999955e-01
1.705e+03 1.609594e-13 3.879104e-06 9.999961e-01
1.809e+03 1.086318e-13 3.383082e-06 9.999966e-01
1.919e+03 7.105886e-14 2.929814e-06 9.999971e-01
2.037e+03 4.581412e-14 2.537893e-06 9.999975e-01
2.161e+03 2.875853e-14 2.176543e-06 9.999978e-01
2.293e+03 1.719399e-14 1.820965e-06 9.999982e-01
2.433e+03 1.026241e-14 1.522684e-06 9.999985e-01
2.582e+03 6.597373e-15 1.311358e-06 9.999987e-01
2.739e+03 4.718251e-15 1.171200e-06 9.999988e-01
2.907e+03 3.646054e-15 1.064600e-06 9.999989e-01
3.084e+03 2.946599e-15 9.654348e-07 9.999990e-01
3.273e+03 2.536053e-15 8.810474e-07 9.999991e-01
3.472e+03 2.347534e-15 8.177561e-07 9.999992e-01
3.685e+03 2.290935e-15 7.636652e-07 9.999992e-01
3.910e+03 2.228592e-15 7.003212e-07 9.999993e-01
4.148e+03 2.436237e-15 6.903971e-07 9.999993e-01
4.402e+03 2.840306e-15 7.279702e-07 9.999993e-01
4.671e+03 2.598940e-15 7.010726e-07 9.999993e-01
4.956e+03 1.840975e-15 5.972198e-07 9.999994e-01
5.259e+03 1.297322e-15 5.051748e-07 9.999995e-01
5.580e+03 1.057665e-15 4.565784e-07 9.999995e-01
5.921e+03 9.311660e-16 4.235814e-07 9.999996e-01
6.282e+03 8.555866e-16 3.977677e-07 9.999996e-01
6.666e+03 8.420678e-16 3.854725e-07 9.999996e-01
7.074e+03 8.561832e-16 3.767365e-07 9.999996e-01
7.506e+03 8.560068e-16 3.598754e-07 9.999996e-01
7.964e+03 9.065913e-16 3.516170e-07 9.999996e-01
8.451e+03 1.072563e-15 3.622890e-07 9.999996e-01
8.967e+03 1.378082e-15 3.831362e-07 9.999996e-01
9.514e+03 2.027580e-15 4.257780e-07 9.999996e-01
1.010e+04 3.805651e-15 5.326761e-07 9.999995e-01
1.071e+04 9.623214e-15 8.063173e-07 9.999992e-01
1.137e+04 3.726366e-14 1.850401e-06 9.999981e-01
1.206e+04 2.614361e-13 8.959695e-06 9.999910e-01
1.279e+04 3.025013e-12 7.572517e-05 9.999243e-01
1.353e+04 4.560973e-11 7.165897e-04 9.992834e-01
1.419e+04 1.344834e-09 8.993047e-03 9.910070e-01
1.476e+04 1.040807e-07 1.718107e-01 8.281892e-01
1.524e+04 4.341042e-06 9.111610e-01 8.883467e-02
1.565e+04 4.953356e-05 9.985393e-01 1.411122e-03
1.596e+04 7.040670e-04 9.992839e-01 1.207838e-05
1.619e+04 1.451427e-02 9.854857e-01 4.867657e-08
1.635e+04 2.960637e-01 7.039363e-01 7.024895e-11
1.648e+04 9.418415e-01 5.815851e-02 5.768679e-15
1.659e+04 9.978252e-01 2.174839e-03 3.349952e-19
