#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ni0 ni1 ni2 ni3
1060.83 1.8300e+05 1.7180e+05 7.0590e+04 3.0100e+04
1919.29 4.1600e+05 2.4020e+05 1.1070e+05 4.3140e+04
2581.60 3.0530e+05 2.7540e+05 1.3510e+05 6.1420e+04
3084.17 3.4970e+04 2.0070e+05 8.7490e+04 4.8380e+04
3472.46 4.5160e+02 9.4780e+04 4.7850e+04 2.9180e+04
3909.64 3.3940e+01 2.9620e+04 1.9670e+04 1.3390e+04
4148.46 1.6250e+01 1.6290e+04 1.1230e+04 8.0000e+03
4670.75 7.6260e+00 6.9620e+03 4.7460e+03 3.3680e+03
4956.05 3.1720e+00 4.6950e+03 3.6040e+03 2.6730e+03
5258.79 7.2770e-01 3.4900e+03 3.1360e+03 2.4380e+03
5580.02 2.5830e-01 2.9060e+03 3.0540e+03 2.4250e+03
5920.87 1.0960e-01 2.4930e+03 2.9260e+03 2.4340e+03
6282.54 6.8660e-02 2.0670e+03 2.7600e+03 2.3930e+03
6666.30 6.0290e-02 1.8640e+03 2.5460e+03 2.2670e+03
7073.50 5.4850e-02 1.6300e+03 2.3070e+03 2.0970e+03
7505.58 4.5490e-02 1.2790e+03 1.9630e+03 1.8650e+03
7964.05 4.6160e-02 1.0730e+03 1.6050e+03 1.5890e+03
8450.53 7.9520e-02 9.7650e+02 1.3480e+03 1.3140e+03
8966.72 1.3990e-01 8.5440e+02 1.0810e+03 1.0500e+03
9514.44 2.6750e-01 6.9980e+02 8.2820e+02 8.0210e+02
10095.62 5.0290e-01 5.7830e+02 6.1640e+02 5.8350e+02
10712.30 5.9370e-01 4.4300e+02 4.2920e+02 3.9690e+02
11366.65 8.1460e-01 2.9670e+02 2.7630e+02 2.5480e+02
12061.10 7.5600e-01 1.7900e+02 1.6770e+02 1.5700e+02
12793.43 3.9830e-01 1.1260e+02 1.0790e+02 1.0250e+02
13528.61 8.8120e-01 7.2070e+01 7.2920e+01 7.1960e+01
14194.74 1.1040e-01 4.6370e+01 4.8800e+01 4.9050e+01
14757.77 1.7080e-02 3.0500e+01 3.2150e+01 3.2480e+01
15240.48 5.7770e-02 2.7540e+01 2.4540e+01 2.2490e+01
15646.99 3.2800e-02 3.3610e+01 2.0520e+01 1.5050e+01
