#NTIMES:    65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5           ni6           ni7
    8.772128E+02   1.0000E-099   1.2152E-027   8.7603E-021   2.2649E-014   4.4288E-009   7.8444E-005   7.0223E-002   9.2970E-001
    8.826573E+02   1.0000E-099   1.2152E-027   8.7603E-021   2.2649E-014   4.4288E-009   7.8444E-005   7.0223E-002   9.2970E-001
    8.991942E+02   1.0000E-099   1.2152E-027   8.7603E-021   2.2649E-014   4.4288E-009   7.8444E-005   7.0223E-002   9.2970E-001
    9.332033E+02   1.0000E-099   1.2152E-027   8.7603E-021   2.2649E-014   4.4288E-009   7.8444E-005   7.0223E-002   9.2970E-001
    9.912889E+02   1.0000E-099   1.2152E-027   8.7603E-021   2.2649E-014   4.4288E-009   7.8444E-005   7.0223E-002   9.2970E-001
    1.052238E+03   1.0000E-099   1.2152E-027   8.7603E-021   2.2649E-014   4.4288E-009   7.8444E-005   7.0223E-002   9.2970E-001
    1.116940E+03   1.0000E-099   1.2128E-027   8.7425E-021   2.2606E-014   4.4213E-009   7.8342E-005   7.0172E-002   9.2975E-001
    1.185621E+03   1.0000E-099   1.1880E-027   8.5609E-021   2.2165E-014   4.3441E-009   7.7292E-005   6.9655E-002   9.3027E-001
    1.258525E+03   1.0000E-099   1.1378E-027   8.1946E-021   2.1272E-014   4.1876E-009   7.5148E-005   6.8588E-002   9.3134E-001
    1.335911E+03   1.0000E-099   1.0747E-027   7.7073E-021   2.0038E-014   3.9628E-009   7.1964E-005   6.6949E-002   9.3298E-001
