#NTIMES: 265
#NSTAGES: 5
#TIMES[d]: 1.0736 1.18096 1.299056 1.428962 1.571858 1.729044 1.901948 2.092143 2.301357 2.531493 2.784642 3.063106 3.369417 3.706359 4.076994 4.484694 4.933163 5.426479 5.969127 6.56604 7.222644 7.944908 8.739399 9.613339 10.574673 11.574673 12.574673 13.574673 14.574673 15.574673 16.574673 17.574673 18.574673 19.574673 20.574673 21.574673 22.574673 23.574673 24.574673 25.574673 26.574673 27.574673 28.574673 29.574673 30.574673 31.574673 32.574673 33.574673 34.574673 35.574673 36.574673 37.574673 38.574673 39.574673 40.574673 41.574673 42.574673 43.574673 44.574673 45.574673 46.574673 47.574673 48.57467 49.57467 50.57467 51.57467 52.57467 53.57467 54.57467 55.57467 56.57467 57.57467 58.57467 59.57467 60.57467 61.57467 62.57467 63.57467 64.57467 65.57467 66.57467 67.57467 68.57467 69.57467 70.57467 71.57467 72.57467 73.57467 74.57467 75.57467 76.57467 77.57467 78.57467 79.57467 80.57467 81.57467 82.57467 83.57467 84.57467 85.57467 86.57467 87.57467 88.57467 89.57467 90.57467 91.57467 92.57467 93.57467 94.57467 95.57467 96.57467 97.574676 98.574676 99.574676 100.574676 101.574676 102.574676 103.574676 104.574676 105.574676 106.574676 107.574676 108.574676 109.574676 110.574676 111.574676 112.574676 113.574676 114.574676 115.574676 116.574676 117.574676 118.574676 119.574676 120.574676 121.574676 122.574676 123.574676 124.574676 125.574676 126.574676 127.574676 128.574676 129.574676 130.574676 131.574676 132.574676 133.574676 134.574676 135.574676 136.574676 137.574676 138.574676 139.574676 140.574676 141.574676 142.574676 143.574676 144.574676 145.574676 146.574676 147.574676 148.574676 149.574676 150.574676 151.574676 152.574676 153.574676 154.574676 155.574676 156.574676 157.574676 158.574676 159.574676 160.574676 161.574676 162.574676 163.574676 164.574676 165.574676 166.574676 167.574676 168.574676 169.574676 170.574676 171.574676 172.574676 173.574676 174.574676 175.574676 176.574676 177.574676 178.574676 179.574676 180.574676 181.574676 182.574676 183.574676 184.574676 185.574676 186.574676 187.574676 188.574676 189.574676 190.574676 191.574676 192.574676 193.574676 194.574676 195.574676 196.574676 197.574676 198.574676 199.574676 200.574676 201.574676 202.574676 203.574676 204.574676 205.574676 206.574676 207.574676 208.574676 209.574676 210.574676 211.574676 212.574676 213.574676 214.574676 215.574676 216.574676 217.574676 218.574676 219.574676 220.574676 221.574676 222.574676 223.574676 224.574676 225.574676 226.574676 227.574676 228.574676 229.574676 230.574676 231.574676 232.574676 233.574676 234.574676 235.574676 236.574676 237.574676 238.574676 239.574676 240.574676 241.574676 242.574676 243.574676 244.574676 245.574676 246.574676 247.574676 248.574676 249.574676 250.574676
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Ni0 Ni1 Ni2 Ni3 Ni4
4.401e+02 6.014609e-25 3.693365e-17 4.960077e-10 8.983131e-04 9.991017e-01
8.862e+02 6.014609e-25 3.693365e-17 4.960077e-10 8.983131e-04 9.991017e-01
9.061e+02 6.014609e-25 3.693365e-17 4.960077e-10 8.983131e-04 9.991017e-01
9.444e+02 6.014609e-25 3.693365e-17 4.960077e-10 8.983131e-04 9.991017e-01
9.991e+02 6.009042e-25 3.690510e-17 4.957203e-10 8.980167e-04 9.991020e-01
1.061e+03 5.991710e-25 3.681556e-17 4.948124e-10 8.970738e-04 9.991029e-01
1.126e+03 5.935431e-25 3.652042e-17 4.917756e-10 8.938741e-04 9.991061e-01
1.194e+03 5.764409e-25 3.560971e-17 4.822604e-10 8.836884e-04 9.991163e-01
1.267e+03 5.048808e-25 3.181216e-17 4.425241e-10 8.408290e-04 9.991592e-01
1.345e+03 2.889953e-25 1.985364e-17 3.098244e-10 6.858174e-04 9.993142e-01
1.427e+03 9.400984e-26 7.725124e-18 1.528115e-10 4.612606e-04 9.995387e-01
1.514e+03 2.703219e-26 2.742317e-18 7.125372e-11 3.043153e-04 9.996957e-01
1.607e+03 9.291471e-27 1.140852e-18 3.770781e-11 2.170871e-04 9.997829e-01
1.705e+03 3.719022e-27 5.371241e-19 2.185754e-11 1.632775e-04 9.998367e-01
1.809e+03 1.457823e-27 2.483065e-19 1.252159e-11 1.226676e-04 9.998773e-01
1.919e+03 5.349391e-28 1.091365e-19 6.946640e-12 9.120443e-05 9.999088e-01
2.037e+03 1.902605e-28 4.683786e-20 3.800339e-12 6.775083e-05 9.999322e-01
2.161e+03 6.440520e-29 1.941589e-20 2.038395e-12 5.012604e-05 9.999499e-01
2.293e+03 1.995025e-29 7.563235e-21 1.053223e-12 3.657404e-05 9.999634e-01
2.433e+03 6.191187e-30 2.958346e-21 5.472987e-13 2.687766e-05 9.999731e-01
2.582e+03 2.267588e-30 1.320706e-21 3.121497e-13 2.072291e-05 9.999793e-01
2.739e+03 1.059750e-30 7.175816e-22 2.043362e-13 1.706668e-05 9.999829e-01
2.907e+03 5.992116e-31 4.568778e-22 1.497261e-13 1.478060e-05 9.999852e-01
3.084e+03 3.858637e-31 3.264087e-22 1.193530e-13 1.323798e-05 9.999868e-01
3.273e+03 2.935649e-31 2.690125e-22 1.054226e-13 1.236855e-05 9.999876e-01
3.472e+03 2.667641e-31 2.568859e-22 1.033412e-13 1.209548e-05 9.999879e-01
3.685e+03 2.788935e-31 2.766838e-22 1.105289e-13 1.228663e-05 9.999877e-01
3.910e+03 2.986325e-31 3.075373e-22 1.215596e-13 1.262321e-05 9.999874e-01
4.148e+03 3.954565e-31 3.972935e-22 1.473226e-13 1.370061e-05 9.999863e-01
4.402e+03 5.607269e-31 5.260287e-22 1.792673e-13 1.503649e-05 9.999850e-01
4.671e+03 4.638357e-31 4.538213e-22 1.620355e-13 1.431571e-05 9.999857e-01
4.956e+03 2.277876e-31 2.637002e-22 1.123083e-13 1.194927e-05 9.999881e-01
5.259e+03 1.116020e-31 1.535029e-22 7.807177e-14 9.979668e-06 9.999900e-01
5.580e+03 7.404988e-32 1.127648e-22 6.353881e-14 9.005004e-06 9.999910e-01
5.921e+03 5.855956e-32 9.541088e-23 5.708525e-14 8.514115e-06 9.999915e-01
6.282e+03 5.128874e-32 8.780253e-23 5.444085e-14 8.278743e-06 9.999917e-01
6.666e+03 5.183228e-32 9.018653e-23 5.594287e-14 8.353964e-06 9.999916e-01
7.074e+03 5.675310e-32 9.904303e-23 6.032400e-14 8.627697e-06 9.999914e-01
7.506e+03 6.183936e-32 1.097904e-22 6.592018e-14 8.959515e-06 9.999910e-01
7.964e+03 7.680192e-32 1.352275e-22 7.763182e-14 9.670772e-06 9.999903e-01
8.451e+03 1.202107e-31 1.990579e-22 1.033328e-13 1.112557e-05 9.999889e-01
8.967e+03 2.316186e-31 3.493243e-22 1.566594e-13 1.371631e-05 9.999863e-01
9.514e+03 6.277371e-31 8.184907e-22 2.947930e-13 1.905182e-05 9.999809e-01
1.010e+04 3.033715e-30 3.094725e-21 7.913085e-13 3.241883e-05 9.999676e-01
1.071e+04 3.124359e-29 2.240107e-20 3.529096e-12 7.545810e-05 9.999245e-01
1.137e+04 9.765463e-28 4.308937e-19 3.527988e-11 2.984858e-04 9.997015e-01
1.206e+04 1.368566e-25 3.201458e-17 1.154647e-09 2.598566e-03 9.974014e-01
1.279e+04 5.174524e-23 6.054043e-15 9.123214e-08 3.892545e-02 9.610745e-01
1.353e+04 1.397839e-20 9.001325e-13 5.938744e-06 4.227009e-01 5.772932e-01
1.419e+04 1.072361e-18 4.062903e-11 1.075529e-04 9.520963e-01 4.779611e-02
1.476e+04 7.817156e-17 1.840935e-09 1.557306e-03 9.976272e-01 8.154479e-04
1.524e+04 2.230306e-14 2.621686e-07 4.296265e-02 9.570322e-01 4.859589e-06
