#NTIMES:     65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           o0           o1           o2           o3           o4
    8.772128E+02    3.4915E-22    3.9343E-15    4.6256E-09    6.4294E-04    9.9936E-01
    8.826573E+02    3.4915E-22    3.9343E-15    4.6256E-09    6.4294E-04    9.9936E-01
    8.991942E+02    3.4915E-22    3.9343E-15    4.6256E-09    6.4294E-04    9.9936E-01
    9.332033E+02    3.4915E-22    3.9343E-15    4.6256E-09    6.4294E-04    9.9936E-01
    9.912889E+02    3.4915E-22    3.9343E-15    4.6256E-09    6.4294E-04    9.9936E-01
    1.052238E+03    3.4915E-22    3.9343E-15    4.6256E-09    6.4294E-04    9.9936E-01
    1.116940E+03    3.4895E-22    3.9320E-15    4.6231E-09    6.4272E-04    9.9936E-01
    1.185621E+03    3.4691E-22    3.9087E-15    4.5969E-09    6.4051E-04    9.9936E-01
    1.258525E+03    3.4271E-22    3.8606E-15    4.5428E-09    6.3592E-04    9.9936E-01
    1.335911E+03    3.3968E-22    3.8133E-15    4.4774E-09    6.2993E-04    9.9937E-01
    1.418056E+03    3.1724E-22    3.5691E-15    4.2138E-09    6.0753E-04    9.9939E-01
    1.505253E+03    9.3050E-24    1.8508E-16    4.1348E-10    1.6842E-04    9.9983E-01
    1.597810E+03    8.2344E-24    1.6812E-16    3.8592E-10    1.6244E-04    9.9984E-01
    1.696060E+03    2.4013E-24    6.1388E-17    1.7995E-10    1.0761E-04    9.9989E-01
    1.800350E+03    1.8490E-24    4.8874E-17    1.4932E-10    9.6950E-05    9.9990E-01
    1.911054E+03    3.3995E-25    1.2307E-17    5.3078E-11    5.5899E-05    9.9994E-01
    2.028564E+03    2.0847E-25    8.2408E-18    3.9221E-11    4.7630E-05    9.9995E-01
    2.153300E+03    5.4248E-26    2.7680E-18    1.7488E-11    3.1297E-05    9.9997E-01
    2.285707E+03    1.5797E-26    1.0325E-18    8.5579E-12    2.1754E-05    9.9998E-01
    2.426255E+03    5.8222E-27    4.6820E-19    4.8629E-12    1.6385E-05    9.9998E-01
    2.575445E+03    1.2892E-27    1.4027E-19    2.0438E-12    1.0701E-05    9.9999E-01
    2.733809E+03    6.4330E-28    8.1032E-20    1.3870E-12    8.8682E-06    9.9999E-01
    2.901910E+03    3.3863E-28    4.8817E-20    9.7010E-13    7.4714E-06    9.9999E-01
    3.080349E+03    1.9365E-28    3.1838E-20    7.2505E-13    6.4774E-06    9.9999E-01
    3.269759E+03    1.4052E-28    2.5299E-20    6.2705E-13    6.0028E-06    9.9999E-01
    3.470816E+03    1.2458E-28    2.3676E-20    6.1124E-13    5.8865E-06    9.9999E-01
    3.684237E+03    1.1588E-28    2.3221E-20    6.2053E-13    5.8887E-06    9.9999E-01
    3.910780E+03    9.6800E-29    2.1036E-20    5.9884E-13    5.7597E-06    9.9999E-01
    4.151254E+03    1.1950E-28    2.6386E-20    7.4014E-13    6.3978E-06    9.9999E-01
    4.406514E+03    1.4949E-28    3.1457E-20    8.3819E-13    6.8115E-06    9.9999E-01
    4.677470E+03    9.2504E-29    2.1216E-20    6.2511E-13    5.8754E-06    9.9999E-01
    4.965088E+03    4.1720E-29    1.1649E-20    4.1829E-13    4.8062E-06    1.0000E+00
    5.270391E+03    2.6079E-29    8.0871E-21    3.2433E-13    4.2327E-06    1.0000E+00
    5.594466E+03    2.1471E-29    6.9950E-21    2.9461E-13    4.0341E-06    1.0000E+00
    5.938470E+03    1.9777E-29    6.6383E-21    2.8686E-13    3.9802E-06    1.0000E+00
    6.303626E+03    1.9442E-29    6.6987E-21    2.9433E-13    4.0331E-06    1.0000E+00
    6.691235E+03    1.9285E-29    6.7523E-21    2.9972E-13    4.0726E-06    1.0000E+00
    7.102679E+03    1.9431E-29    6.8890E-21    3.0782E-13    4.1315E-06    1.0000E+00
    7.539422E+03    2.0927E-29    7.6043E-21    3.4248E-13    4.3797E-06    1.0000E+00
    8.003021E+03    2.3500E-29    8.6487E-21    3.8866E-13    4.6994E-06    1.0000E+00
    8.495126E+03    2.8159E-29    1.0226E-20    4.4864E-13    5.0837E-06    9.9999E-01
    9.017491E+03    4.3077E-29    1.4987E-20    6.1777E-13    6.0647E-06    9.9999E-01
    9.571975E+03    9.9995E-29    3.1477E-20    1.1397E-12    8.5334E-06    9.9999E-01
    1.016056E+04    3.9300E-28    1.0065E-19    2.8726E-12    1.4242E-05    9.9999E-01
    1.078533E+04    4.8821E-27    8.8387E-19    1.6770E-11    3.8457E-05    9.9996E-01
    1.144852E+04    2.7736E-25    2.9472E-17    2.8911E-10    1.9108E-04    9.9981E-01
    1.215249E+04    1.0500E-22    6.2852E-15    2.3817E-08    2.3446E-03    9.9766E-01
    1.289974E+04    2.3054E-20    8.8971E-13    1.3046E-06    2.2705E-02    9.7729E-01
    1.369294E+04    5.9446E-18    1.6096E-10    8.2675E-05    2.2364E-01    7.7628E-01
    1.453492E+04    9.7743E-15    1.3161E-07    9.3186E-03    9.5246E-01    3.8217E-02
    1.542867E+04    9.2130E-09    9.1338E-03    9.8762E-01    3.2507E-03    7.4521E-11
    1.626717E+04    3.4280E-04    9.9932E-01    3.4112E-04    4.0362E-15    1.7227E-34
    1.668676E+04    8.7696E-03    9.9123E-01    6.6365E-08    1.0359E-24    2.0229E-52
    1.713874E+04    7.3087E-01    2.6913E-01    2.0315E-15    2.6964E-43    7.7161E-68
    1.771854E+04    9.9615E-01    3.8501E-03    6.1800E-23    3.2686E-54    4.1989E-75
    1.838692E+04    9.9536E-01    4.6380E-03    8.9247E-23    4.2094E-54    6.4770E-75
    1.903533E+04    9.9344E-01    6.5563E-03    1.7823E-22    6.2387E-54    1.3544E-74
    1.976116E+04    9.9183E-01    8.1735E-03    2.7668E-22    8.1176E-54    2.1949E-74
    2.046516E+04    9.8931E-01    1.0692E-02    4.7312E-22    1.0922E-53    3.8631E-74
    2.125594E+04    9.8629E-01    1.3714E-02    7.7735E-22    1.4381E-53    6.5244E-74
    2.202587E+04    9.8450E-01    1.5505E-02    9.9065E-22    1.6595E-53    8.4968E-74
    2.285981E+04    9.7903E-01    2.0968E-02    1.8068E-21    2.2740E-53    1.5732E-73
    2.372435E+04    9.7980E-01    2.0205E-02    1.6552E-21    2.2884E-53    1.5050E-73
    2.455466E+04    9.7137E-01    2.8635E-02    3.2783E-21    3.3045E-53    3.0410E-73
    2.552174E+04    9.7075E-01    2.9247E-02    3.2679E-21    3.7271E-53    3.3417E-73
    2.640440E+04    9.6596E-01    3.4039E-02    4.2724E-21    4.4963E-53    4.5270E-73
    2.741295E+04    9.6318E-01    3.6817E-02    4.8566E-21    4.7617E-53    5.0405E-73
    2.838201E+04    9.6952E-01    3.0477E-02    3.3105E-21    3.6592E-53    3.1968E-73
    2.923203E+04    9.6538E-01    3.4617E-02    4.3378E-21    3.5743E-53    3.6139E-73
    3.013295E+04    9.7237E-01    2.7632E-02    2.7863E-21    2.7351E-53    2.2320E-73
    3.094669E+04    9.7033E-01    2.9670E-02    3.2264E-21    2.7332E-53    2.4098E-73
    3.176516E+04    9.7115E-01    2.8852E-02    3.0464E-21    2.6052E-53    2.2330E-73
    3.259805E+04    9.6912E-01    3.0880E-02    3.4485E-21    2.7559E-53    2.4980E-73
    3.345740E+04    9.6550E-01    3.4502E-02    4.2445E-21    3.0513E-53    3.0454E-73
    3.438030E+04    9.6566E-01    3.4339E-02    4.1475E-21    3.0678E-53    3.0061E-73
    3.533529E+04    9.6105E-01    3.8947E-02    5.2575E-21    3.4509E-53    3.7804E-73
    3.634323E+04    9.6081E-01    3.9190E-02    5.2514E-21    3.5038E-53    3.8125E-73
    3.736894E+04    9.5825E-01    4.1751E-02    5.8795E-21    3.7354E-53    4.2752E-73
    3.839518E+04    9.5563E-01    4.4367E-02    6.5527E-21    3.9725E-53    4.7731E-73
    3.939114E+04    9.5560E-01    4.4397E-02    6.4801E-21    4.0077E-53    4.7625E-73
    4.037465E+04    9.5627E-01    4.3726E-02    6.2100E-21    3.9853E-53    4.6114E-73
    4.133441E+04    9.5575E-01    4.4248E-02    6.2788E-21    4.0550E-53    4.6915E-73
    4.215976E+04    9.5439E-01    4.5605E-02    6.5903E-21    4.1874E-53    4.9368E-73
    4.290657E+04    9.5313E-01    4.6865E-02    6.8831E-21    4.3104E-53    5.1677E-73
    4.365819E+04    9.5220E-01    4.7797E-02    7.0850E-21    4.4080E-53    5.3363E-73
    4.442297E+04    9.5177E-01    4.8231E-02    7.1460E-21    4.4666E-53    5.4069E-73
    4.520034E+04    9.5194E-01    4.8056E-02    7.0370E-21    4.4769E-53    5.3574E-73
    4.600555E+04    9.5275E-01    4.7252E-02    6.7565E-21    4.4366E-53    5.1845E-73
    4.686215E+04    9.5387E-01    4.6129E-02    6.4003E-21    4.3717E-53    4.9559E-73
    4.776422E+04    9.5518E-01    4.4821E-02    6.0107E-21    4.2926E-53    4.7003E-73
    4.868597E+04    9.5656E-01    4.3436E-02    5.6189E-21    4.2071E-53    4.4390E-73
    4.962544E+04    9.5798E-01    4.2016E-02    5.2341E-21    4.1177E-53    4.1785E-73
    5.058305E+04    9.5940E-01    4.0604E-02    4.8655E-21    4.0273E-53    3.9257E-73
    5.155912E+04    9.6073E-01    3.9268E-02    4.5264E-21    3.9409E-53    3.6908E-73
    5.255403E+04    9.6191E-01    3.8093E-02    4.2322E-21    3.8657E-53    3.4860E-73
    5.356816E+04    9.6283E-01    3.7167E-02    3.9970E-21    3.8098E-53    3.3230E-73
    5.460189E+04    9.6345E-01    3.6545E-02    3.8265E-21    3.7784E-53    3.2070E-73
    5.565558E+04    9.6372E-01    3.6280E-02    3.7266E-21    3.7773E-53    3.1440E-73
    5.672959E+04    9.6361E-01    3.6390E-02    3.6974E-21    3.8085E-53    3.1349E-73
    5.782432E+04    9.6312E-01    3.6880E-02    3.7387E-21    3.8735E-53    3.1807E-73
    5.894013E+04    9.6236E-01    3.7639E-02    3.8294E-21    3.9631E-53    3.2657E-73
    6.007747E+04    9.6150E-01    3.8504E-02    3.9383E-21    4.0636E-53    3.3665E-73
    6.123675E+04    9.6070E-01    3.9303E-02    4.0332E-21    4.1611E-53    3.4591E-73
