#NTIMES: 49
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] s0 s1 s2 s3
1060.83 3.5170e-04 8.1812e-01 1.7689e-01 4.6407e-03
1919.29 3.8051e-04 8.2876e-01 1.6684e-01 4.0185e-03
2581.60 2.7362e-04 7.8766e-01 2.0580e-01 6.2677e-03
3084.17 2.3032e-04 7.1925e-01 2.7000e-01 1.0522e-02
3472.46 1.3765e-04 5.9597e-01 3.8437e-01 1.9518e-02
3909.64 6.4353e-05 4.1780e-01 5.4449e-01 3.7647e-02
4148.46 6.6333e-05 4.3115e-01 5.3183e-01 3.6951e-02
4670.75 6.9347e-05 4.5745e-01 5.0788e-01 3.4598e-02
4956.05 3.6943e-05 3.7601e-01 5.7810e-01 4.5856e-02
5258.79 1.2725e-05 1.9664e-01 7.3192e-01 7.1423e-02
5580.02 3.3182e-06 8.0848e-02 8.1951e-01 9.9640e-02
5920.87 9.5948e-07 3.5815e-02 8.4591e-01 1.1828e-01
6282.54 4.7901e-07 2.3528e-02 8.3817e-01 1.3830e-01
6666.30 4.2907e-07 2.2990e-02 8.3537e-01 1.4164e-01
7073.50 4.1744e-07 2.2837e-02 8.3206e-01 1.4510e-01
7505.58 3.9904e-07 2.2779e-02 8.2239e-01 1.5483e-01
7964.05 5.8752e-07 3.1531e-02 8.2656e-01 1.4191e-01
8450.53 1.8309e-06 6.4700e-02 8.0997e-01 1.2533e-01
8966.72 5.7021e-06 1.3412e-01 7.6204e-01 1.0384e-01
9514.44 1.3802e-05 2.2515e-01 6.8927e-01 8.5568e-02
10095.62 3.0980e-05 3.3657e-01 5.9935e-01 6.4049e-02
10712.30 4.7883e-05 3.9974e-01 5.4897e-01 5.1242e-02
11366.65 6.5701e-05 4.5171e-01 5.0408e-01 4.4148e-02
12061.10 6.3164e-05 5.0556e-01 4.5486e-01 3.9518e-02
12793.43 5.4267e-05 4.7457e-01 4.8188e-01 4.3503e-02
13528.61 4.1841e-05 5.0510e-01 4.5282e-01 4.2040e-02
14194.74 3.1407e-05 4.5801e-01 4.9264e-01 4.9324e-02
14757.77 2.0179e-05 4.0107e-01 5.4562e-01 5.3290e-02
15240.48 1.9129e-05 3.8869e-01 5.6482e-01 4.6474e-02
15646.99 3.0283e-05 4.4302e-01 5.2662e-01 3.0327e-02
15960.30 4.0774e-05 5.2432e-01 4.5781e-01 1.7828e-02
16187.41 4.6444e-05 5.1504e-01 4.6980e-01 1.5105e-02
16354.17 4.2896e-05 4.2593e-01 5.5752e-01 1.6510e-02
16484.18 4.2282e-05 3.3724e-01 6.4254e-01 2.0181e-02
16593.12 3.6101e-05 4.1268e-01 5.6645e-01 2.0836e-02
16691.99 2.8386e-05 3.9249e-01 5.8320e-01 2.4282e-02
16788.59 1.5945e-05 1.3970e-01 8.2666e-01 3.3625e-02
16888.37 1.5603e-05 2.1277e-01 7.5279e-01 3.4416e-02
16998.79 8.8537e-06 1.8273e-01 7.7971e-01 3.7550e-02
17146.37 1.0733e-05 2.1745e-01 7.4539e-01 3.7140e-02
17415.23 1.1792e-05 2.1634e-01 7.4089e-01 4.2755e-02
17888.12 4.4880e-06 1.0209e-01 8.4041e-01 5.7497e-02
18532.37 2.4261e-06 6.4071e-02 8.6838e-01 6.7547e-02
19260.76 9.5239e-07 3.1140e-02 8.8725e-01 8.1612e-02
20034.10 1.6629e-06 6.1915e-02 8.3908e-01 9.9000e-02
20838.00 1.7445e-06 6.3650e-02 8.1814e-01 1.1821e-01
21647.97 2.0052e-06 6.8682e-02 7.9767e-01 1.3365e-01
22447.94 1.0212e-06 5.8099e-02 7.8376e-01 1.5814e-01
23245.88 2.5110e-06 1.5572e-01 6.3316e-01 2.1111e-01
24052.47 2.5044e-06 2.3068e-01 5.8340e-01 1.8591e-01
24867.72 1.3478e-06 1.2032e-01 6.3675e-01 2.4292e-01
25698.86 3.7651e-07 3.4481e-02 6.7449e-01 2.9103e-01
26587.16 4.1523e-08 4.3800e-03 6.6838e-01 3.2724e-01
27637.54 4.2268e-08 4.8206e-03 5.7698e-01 4.1820e-01
28986.97 5.1579e-08 7.1415e-03 4.5310e-01 5.3976e-01
#TIME: 202.02
#NVEL 78
#vel_mid[km/s] s0 s1 s2 s3
1060.83 3.6287e-04 8.2007e-01 1.7514e-01 4.4313e-03
1919.29 3.8068e-04 8.2905e-01 1.6657e-01 3.9942e-03
2581.60 2.8856e-04 7.8858e-01 2.0489e-01 6.2415e-03
3084.17 2.2415e-04 7.1764e-01 2.7150e-01 1.0633e-02
3472.46 1.4084e-04 6.0355e-01 3.7721e-01 1.9096e-02
3909.64 6.5457e-05 4.0876e-01 5.5301e-01 3.8165e-02
4148.46 6.5419e-05 4.5579e-01 5.0906e-01 3.5087e-02
4670.75 6.9109e-05 4.5872e-01 5.0691e-01 3.4301e-02
4956.05 3.4668e-05 3.6616e-01 5.8686e-01 4.6949e-02
5258.79 1.4262e-05 2.0302e-01 7.2576e-01 7.1208e-02
5580.02 3.2656e-06 7.8934e-02 8.2130e-01 9.9765e-02
5920.87 1.0194e-06 3.6992e-02 8.4467e-01 1.1833e-01
6282.54 4.6883e-07 2.3631e-02 8.3780e-01 1.3857e-01
6666.30 4.3008e-07 2.2917e-02 8.3281e-01 1.4427e-01
7073.50 4.4632e-07 2.4544e-02 8.3363e-01 1.4183e-01
7505.58 4.2912e-07 2.4266e-02 8.1858e-01 1.5716e-01
7964.05 6.0330e-07 3.0740e-02 8.2249e-01 1.4677e-01
8450.53 1.8433e-06 6.1584e-02 8.0990e-01 1.2852e-01
8966.72 5.4141e-06 1.3490e-01 7.5840e-01 1.0669e-01
9514.44 1.2570e-05 2.1208e-01 7.0145e-01 8.6461e-02
10095.62 2.8444e-05 3.3411e-01 6.0211e-01 6.3755e-02
10712.30 4.8416e-05 4.1130e-01 5.3774e-01 5.0919e-02
11366.65 6.0736e-05 4.6938e-01 4.8747e-01 4.3093e-02
12061.10 6.2043e-05 4.8453e-01 4.7400e-01 4.1405e-02
12793.43 5.6242e-05 4.9047e-01 4.6811e-01 4.1367e-02
13528.61 4.6153e-05 4.9606e-01 4.6246e-01 4.1435e-02
14194.74 3.1931e-05 4.5979e-01 4.9279e-01 4.7393e-02
14757.77 2.2374e-05 4.3796e-01 5.1209e-01 4.9924e-02
15240.48 2.4901e-05 4.5182e-01 5.0692e-01 4.1236e-02
15646.99 3.2415e-05 4.0801e-01 5.6005e-01 3.1914e-02
15960.30 5.0283e-05 4.8044e-01 5.0041e-01 1.9098e-02
16187.41 5.9910e-05 5.3690e-01 4.4869e-01 1.4349e-02
16354.17 5.3279e-05 5.7698e-01 4.1015e-01 1.2813e-02
16484.18 4.1619e-05 4.3037e-01 5.5194e-01 1.7648e-02
16593.12 2.3895e-05 3.2301e-01 6.5318e-01 2.3789e-02
16691.99 2.2185e-05 3.4604e-01 6.2789e-01 2.6050e-02
16788.59 1.9548e-05 3.1161e-01 6.6019e-01 2.8178e-02
16888.37 2.9228e-05 3.1974e-01 6.5047e-01 2.9758e-02
16998.79 1.4742e-05 2.3635e-01 7.3103e-01 3.2604e-02
17146.37 9.2029e-06 2.1873e-01 7.4353e-01 3.7730e-02
17415.23 1.1062e-05 1.9069e-01 7.6601e-01 4.3292e-02
17888.12 3.4834e-06 7.6470e-02 8.6385e-01 5.9677e-02
18532.37 2.6132e-06 6.3970e-02 8.6462e-01 7.1407e-02
19260.76 1.7041e-06 5.0179e-02 8.6653e-01 8.3293e-02
20034.10 2.7823e-06 1.0196e-01 8.0552e-01 9.2525e-02
20838.00 8.8215e-07 3.6622e-02 8.4304e-01 1.2034e-01
21647.97 1.4728e-06 6.4880e-02 8.0126e-01 1.3386e-01
22447.94 2.9362e-07 1.5336e-02 8.2421e-01 1.6045e-01
23245.88 3.4332e-07 2.1257e-02 7.8299e-01 1.9575e-01
24052.47 2.9815e-07 2.2007e-02 7.4339e-01 2.3461e-01
24867.72 1.4629e-07 1.2258e-02 7.2222e-01 2.6552e-01
25698.86 1.9083e-06 1.4945e-01 5.9442e-01 2.5613e-01
26587.16 7.2844e-07 7.2723e-02 5.4039e-01 3.8689e-01
27637.54 5.6500e-07 7.7972e-02 5.5581e-01 3.6622e-01
28986.97 1.4080e-07 2.0888e-02 5.6723e-01 4.1188e-01
#TIME: 204.93
#NVEL 78
#vel_mid[km/s] s0 s1 s2 s3
1060.83 3.7102e-04 8.1945e-01 1.7558e-01 4.6048e-03
1919.29 3.6622e-04 8.3004e-01 1.6564e-01 3.9537e-03
2581.60 2.7766e-04 7.8665e-01 2.0679e-01 6.2859e-03
3084.17 2.3439e-04 7.2552e-01 2.6390e-01 1.0345e-02
3472.46 1.4182e-04 5.9320e-01 3.8727e-01 1.9395e-02
3909.64 6.3289e-05 4.2429e-01 5.3901e-01 3.6633e-02
4148.46 6.7662e-05 4.4275e-01 5.2108e-01 3.6099e-02
4670.75 6.8798e-05 4.6295e-01 5.0299e-01 3.3985e-02
4956.05 4.0616e-05 3.6732e-01 5.8536e-01 4.7282e-02
5258.79 1.3731e-05 2.0725e-01 7.2080e-01 7.1937e-02
5580.02 3.0009e-06 7.1900e-02 8.2805e-01 1.0004e-01
5920.87 8.8499e-07 3.3265e-02 8.4717e-01 1.1956e-01
6282.54 4.6233e-07 2.2557e-02 8.3997e-01 1.3747e-01
6666.30 4.5126e-07 2.3874e-02 8.3113e-01 1.4500e-01
