#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6
4.4010e+02 2.5364e-42 1.3346e-33 5.4971e-25 3.7819e-17 2.9828e-10 7.9679e-05 9.9992e-01
8.8623e+02 9.5264e-31 5.8932e-24 2.8547e-17 2.3097e-11 2.1423e-06 6.7302e-03 9.9327e-01
9.0614e+02 9.5010e-31 5.8801e-24 2.8497e-17 2.3066e-11 2.1404e-06 6.7272e-03 9.9327e-01
9.4442e+02 9.5013e-31 5.8803e-24 2.8497e-17 2.3067e-11 2.1404e-06 6.7273e-03 9.9327e-01
9.9911e+02 9.4804e-31 5.8683e-24 2.8445e-17 2.3032e-11 2.1381e-06 6.7232e-03 9.9327e-01
1.0608e+03 9.3925e-31 5.8190e-24 2.8235e-17 2.2894e-11 2.1287e-06 6.7074e-03 9.9329e-01
1.1257e+03 9.2454e-31 5.7286e-24 2.7816e-17 2.2600e-11 2.1076e-06 6.6700e-03 9.9333e-01
1.1944e+03 8.6353e-31 5.3654e-24 2.6178e-17 2.1470e-11 2.0273e-06 6.5282e-03 9.9347e-01
1.2673e+03 6.4887e-31 4.0848e-24 2.0356e-17 1.7371e-11 1.7276e-06 5.9766e-03 9.9402e-01
1.3448e+03 1.9969e-31 1.3339e-24 7.2796e-18 7.3239e-12 9.0150e-07 4.1781e-03 9.9582e-01
1.4269e+03 2.0444e-32 1.5346e-25 9.9910e-19 1.3809e-12 2.5674e-07 2.0956e-03 9.9790e-01
1.5140e+03 1.8727e-33 1.6122e-26 1.2760e-19 2.4655e-13 7.0553e-08 1.0353e-03 9.9896e-01
1.6065e+03 2.5661e-34 2.5265e-27 2.3884e-20 6.1218e-14 2.5019e-08 5.9084e-04 9.9941e-01
1.7047e+03 4.6725e-35 5.1429e-28 5.6448e-21 1.8405e-14 1.0217e-08 3.6454e-04 9.9964e-01
1.8088e+03 7.8557e-36 9.7304e-29 1.2500e-21 5.2423e-15 4.0102e-09 2.2079e-04 9.9978e-01
1.9193e+03 1.1218e-36 1.6029e-29 2.4717e-22 1.3686e-15 1.4837e-09 1.3022e-04 9.9987e-01
