#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 18
#vel_mid[km/s] S0 S1 S2 S3 S4 S5 S6 S7
1.754780E+04 4.906286E-07 6.059958E-01 3.940034E-01 3.422328E-07 8.688876E-20 0.000000E+00 0.000000E+00 0.000000E+00
1.788812E+04 4.035994E-07 5.895056E-01 4.104936E-01 3.820904E-07 1.059887E-19 0.000000E+00 0.000000E+00 0.000000E+00
1.853238E+04 4.818609E-07 6.651219E-01 3.348774E-01 1.973886E-07 3.087145E-20 0.000000E+00 0.000000E+00 0.000000E+00
1.926078E+04 5.642083E-07 7.392554E-01 2.607439E-01 9.004156E-08 6.986508E-21 0.000000E+00 0.000000E+00 0.000000E+00
2.003410E+04 5.938226E-07 7.903599E-01 2.096395E-01 4.512798E-08 1.829013E-21 0.000000E+00 0.000000E+00 0.000000E+00
2.083800E+04 6.247542E-07 8.359650E-01 1.640343E-01 2.124550E-08 4.240556E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.164798E+04 7.134681E-07 8.847666E-01 1.152327E-01 7.767585E-09 6.314546E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.244795E+04 7.733963E-07 9.203840E-01 7.961518E-02 2.687471E-09 8.161000E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.324590E+04 7.895960E-07 9.421432E-01 5.785600E-02 1.062283E-09 1.328872E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.405250E+04 8.139726E-07 9.582387E-01 4.176049E-02 4.212903E-10 2.213385E-25 0.000000E+00 0.000000E+00 0.000000E+00
2.486775E+04 8.558889E-07 9.702559E-01 2.974324E-02 1.651857E-10 3.689014E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.569888E+04 9.220890E-07 9.799763E-01 2.002280E-02 5.640296E-11 4.768654E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.658715E+04 9.908142E-07 9.870742E-01 1.292483E-02 1.714137E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.763753E+04 1.076889E-06 9.923786E-01 7.620322E-03 4.070717E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.898698E+04 1.271976E-06 9.964476E-01 3.551113E-03 5.316096E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.065218E+04 1.546512E-06 9.986376E-01 1.360902E-03 4.062357E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.251555E+04 1.696493E-06 9.994461E-01 5.521741E-04 3.342137E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.423965E+04 1.707269E-06 9.997379E-01 2.604323E-04 3.906476E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
#
#TIME: 10.0
#NVEL: 31
#vel_mid[km/s] S0 S1 S2 S3 S4 S5 S6 S7
1.500755E+04 3.668818E-10 1.096182E-02 9.884428E-01 5.954013E-04 5.942766E-13 0.000000E+00 0.000000E+00 0.000000E+00
1.524048E+04 6.699646E-10 1.632980E-02 9.833266E-01 3.435814E-04 1.732012E-13 0.000000E+00 0.000000E+00 0.000000E+00
1.564700E+04 3.948878E-09 4.961916E-02 9.503114E-01 6.945064E-05 4.686824E-15 0.000000E+00 0.000000E+00 0.000000E+00
1.596030E+04 2.856634E-08 1.603042E-01 8.396849E-01 1.080766E-05 7.996741E-17 0.000000E+00 0.000000E+00 0.000000E+00
1.618740E+04 9.834315E-08 3.301890E-01 6.698087E-01 2.267002E-06 2.909381E-18 0.000000E+00 0.000000E+00 0.000000E+00
1.635415E+04 1.949739E-07 4.821929E-01 5.178062E-01 6.951283E-07 2.597468E-19 0.000000E+00 0.000000E+00 0.000000E+00
1.648418E+04 2.586839E-07 5.710843E-01 4.289151E-01 3.262830E-07 5.517219E-20 0.000000E+00 0.000000E+00 0.000000E+00
1.659312E+04 2.591878E-07 5.951241E-01 4.048754E-01 2.499730E-07 3.057026E-20 0.000000E+00 0.000000E+00 0.000000E+00
1.669200E+04 2.574046E-07 6.128347E-01 3.871648E-01 2.031002E-07 1.921808E-20 0.000000E+00 0.000000E+00 0.000000E+00
1.678858E+04 2.598598E-07 6.297921E-01 3.702075E-01 1.686011E-07 1.288691E-20 0.000000E+00 0.000000E+00 0.000000E+00
1.688835E+04 2.688198E-07 6.516747E-01 3.483249E-01 1.339632E-07 8.005158E-21 0.000000E+00 0.000000E+00 0.000000E+00
1.699880E+04 2.771112E-07 6.734812E-01 3.265184E-01 1.051787E-07 4.841699E-21 0.000000E+00 0.000000E+00 0.000000E+00
1.714640E+04 2.850043E-07 6.961081E-01 3.038915E-01 8.116530E-08 2.844291E-21 0.000000E+00 0.000000E+00 0.000000E+00
1.741525E+04 2.925097E-07 7.273328E-01 2.726668E-01 5.518432E-08 1.288211E-21 0.000000E+00 0.000000E+00 0.000000E+00
1.788812E+04 2.931418E-07 7.682504E-01 2.317493E-01 3.091911E-08 3.872799E-22 0.000000E+00 0.000000E+00 0.000000E+00
1.853238E+04 3.311256E-07 8.270412E-01 1.729585E-01 1.265936E-08 6.832122E-23 0.000000E+00 0.000000E+00 0.000000E+00
1.926078E+04 3.619732E-07 8.734671E-01 1.265326E-01 5.017272E-09 1.137481E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.003410E+04 3.592053E-07 9.010715E-01 9.892816E-02 2.354779E-09 2.517358E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.083800E+04 3.593647E-07 9.243712E-01 7.562843E-02 1.054784E-09 5.140714E-25 0.000000E+00 0.000000E+00 0.000000E+00
2.164798E+04 3.881662E-07 9.474374E-01 5.256217E-02 3.821163E-10 7.350680E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.244795E+04 3.889719E-07 9.612014E-01 3.879821E-02 1.579087E-10 1.287248E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.324590E+04 3.704597E-07 9.693783E-01 3.062129E-02 7.683922E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.405250E+04 3.592347E-07 9.759914E-01 2.400827E-02 3.741033E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.486775E+04 3.575846E-07 9.814612E-01 1.853842E-02 1.788406E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.569888E+04 3.595389E-07 9.859520E-01 1.404763E-02 8.174343E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.658715E+04 3.555081E-07 9.894036E-01 1.059603E-02 3.642422E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
