#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
440.10 1.74e-19 1.72e-12 8.69e-06 8.75e-01 1.25e-01 3.05e-06 3.30e-14 
999.11 1.39e-20 1.66e-13 1.30e-06 3.15e-01 6.84e-01 6.55e-04 1.49e-09 
1267.34 3.21e-22 5.13e-15 6.02e-08 3.45e-02 9.51e-01 1.40e-02 3.61e-07 
1514.05 2.18e-23 4.09e-16 6.04e-09 5.87e-03 8.92e-01 1.02e-01 3.41e-05 
1808.80 1.62e-24 3.59e-17 6.73e-10 1.07e-03 6.29e-01 3.69e-01 9.41e-04 
1919.29 1.23e-25 3.18e-18 7.28e-11 1.82e-04 3.35e-01 6.58e-01 6.87e-03 
2160.92 4.00e-27 1.14e-19 3.25e-12 1.64e-05 1.03e-01 8.50e-01 4.72e-02 
2292.92 8.34e-28 2.78e-20 9.25e-13 5.67e-06 6.02e-02 8.54e-01 8.58e-02 
2432.98 2.36e-28 9.06e-21 3.40e-13 2.41e-06 3.70e-02 8.27e-01 1.36e-01 
2581.60 8.73e-29 3.88e-21 1.60e-13 1.22e-06 2.43e-02 7.84e-01 1.92e-01 
2739.29 3.85e-29 1.81e-21 7.96e-14 6.76e-07 1.72e-02 7.38e-01 2.45e-01 
2906.62 2.27e-29 1.17e-21 5.49e-14 4.96e-07 1.42e-02 7.09e-01 2.76e-01 
3084.17 1.42e-29 8.67e-22 4.45e-14 4.32e-07 1.31e-02 6.98e-01 2.89e-01 
