#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           sc0           sc1           sc2           sc3
    8.772128E+02   1.0000E-099   1.7675E-012   6.9955E-006   9.9999E-001
    8.826573E+02   1.0000E-099   1.7675E-012   6.9955E-006   9.9999E-001
    8.991942E+02   1.0000E-099   1.7675E-012   6.9955E-006   9.9999E-001
    9.332033E+02   1.0000E-099   1.7675E-012   6.9955E-006   9.9999E-001
    9.912889E+02   1.0000E-099   1.7675E-012   6.9955E-006   9.9999E-001
    1.052238E+03   1.0000E-099   1.7675E-012   6.9955E-006   9.9999E-001
    1.116940E+03   1.0000E-099   1.7677E-012   6.9961E-006   9.9999E-001
    1.185621E+03   1.0000E-099   1.7699E-012   7.0031E-006   9.9999E-001
    1.258525E+03   1.0000E-099   1.7743E-012   7.0178E-006   9.9999E-001
    1.335911E+03   1.0000E-099   1.7932E-012   7.0655E-006   9.9999E-001
    1.418056E+03   1.0000E-099   1.8034E-012   7.1134E-006   9.9999E-001
    1.505253E+03   1.0000E-099   7.4848E-013   5.0508E-006   9.9999E-001
    1.597810E+03   1.0000E-099   7.1355E-013   4.9395E-006   1.0000E+000
    1.696060E+03   1.0000E-099   4.9693E-013   4.2535E-006   1.0000E+000
    1.800350E+03   1.0000E-099   4.8190E-013   4.2423E-006   1.0000E+000
    1.911054E+03   1.0000E-099   2.9321E-013   3.4654E-006   1.0000E+000
    2.028564E+03   1.0000E-099   2.5724E-013   3.2966E-006   1.0000E+000
    2.153300E+03   1.0000E-099   1.7278E-013   2.8080E-006   1.0000E+000
    2.285707E+03   1.0000E-099   1.1522E-013   2.3643E-006   1.0000E+000
    2.426255E+03   1.0000E-099   8.1264E-014   2.0300E-006   1.0000E+000
    2.575445E+03   1.0000E-099   5.0142E-014   1.6613E-006   1.0000E+000
    2.733809E+03   1.0000E-099   3.9188E-014   1.4917E-006   1.0000E+000
    2.901910E+03   1.0000E-099   3.1274E-014   1.3525E-006   1.0000E+000
    3.080349E+03   1.0000E-099   2.4394E-014   1.2003E-006   1.0000E+000
    3.269759E+03   1.0000E-099   1.9965E-014   1.0791E-006   1.0000E+000
    3.470816E+03   1.0000E-099   1.7179E-014   9.8713E-007   1.0000E+000
    3.684237E+03   1.0000E-099   1.4565E-014   8.9110E-007   1.0000E+000
    3.910780E+03   1.0000E-099   1.1668E-014   7.8175E-007   1.0000E+000
    4.151254E+03   1.0000E-099   1.0144E-014   7.0284E-007   1.0000E+000
    4.406514E+03   1.0000E-099   1.1035E-014   7.3010E-007   1.0000E+000
    4.677470E+03   1.0000E-099   9.7872E-015   6.9986E-007   1.0000E+000
    4.965088E+03   1.0000E-099   6.6273E-015   5.7664E-007   1.0000E+000
    5.270391E+03   1.0000E-099   5.4802E-015   5.2791E-007   1.0000E+000
    5.594466E+03   1.0000E-099   4.9598E-015   5.0203E-007   1.0000E+000
    5.938470E+03   1.0000E-099   4.6044E-015   4.8132E-007   1.0000E+000
    6.303626E+03   1.0000E-099   4.2234E-015   4.5571E-007   1.0000E+000
    6.691235E+03   1.0000E-099   4.0029E-015   4.4045E-007   1.0000E+000
    7.102679E+03   1.0000E-099   3.8203E-015   4.2711E-007   1.0000E+000
    7.539422E+03   1.0000E-099   3.4123E-015   3.9500E-007   1.0000E+000
    8.003021E+03   1.0000E-099   3.1362E-015   3.7115E-007   1.0000E+000
    8.495126E+03   1.0000E-099   3.0841E-015   3.6260E-007   1.0000E+000
    9.017491E+03   1.0000E-099   3.0939E-015   3.5291E-007   1.0000E+000
    9.571975E+03   1.0000E-099   3.3136E-015   3.4877E-007   1.0000E+000
    1.016056E+04   1.0000E-099   4.3477E-015   3.7982E-007   1.0000E+000
    1.078533E+04   1.0000E-099   6.9239E-015   4.3984E-007   1.0000E+000
    1.144852E+04   1.0000E-099   1.6056E-014   6.0764E-007   1.0000E+000
    1.215249E+04   1.0000E-099   4.6996E-014   9.6610E-007   1.0000E+000
    1.289974E+04   1.0000E-099   1.3342E-013   1.6597E-006   1.0000E+000
    1.369294E+04   1.0000E-099   3.7508E-013   3.0718E-006   1.0000E+000
    1.453492E+04   1.0000E-099   2.8811E-012   1.1370E-005   9.9999E-001
    1.542867E+04   1.0000E-099   2.7487E-009   1.1613E-003   9.9884E-001
    1.626717E+04   1.0000E-099   3.3299E-004   9.3034E-001   6.9322E-002
    1.668676E+04   1.0000E-099   6.0004E-003   9.9381E-001   1.8728E-004
    1.713874E+04   1.0000E-099   5.0130E-001   4.9870E-001   1.5098E-009
    1.771854E+04   1.0000E-099   9.8494E-001   1.5061E-002   5.8514E-015
    1.838692E+04   1.0000E-099   9.8072E-001   1.9284E-002   9.0521E-015
    1.903533E+04   1.0000E-099   9.7199E-001   2.8006E-002   1.8680E-014
    1.976116E+04   1.0000E-099   9.6414E-001   3.5863E-002   2.9976E-014
    2.046516E+04   1.0000E-099   9.5178E-001   4.8224E-002   5.3038E-014
    2.125594E+04   1.0000E-099   9.3603E-001   6.3972E-002   9.0832E-014
    2.202587E+04   1.0000E-099   9.2483E-001   7.5167E-002   1.2122E-013
    2.285981E+04   1.0000E-099   8.9352E-001   1.0648E-001   2.3449E-013
    2.372435E+04   1.0000E-099   8.9128E-001   1.0872E-001   2.3041E-013
    2.455466E+04   1.0000E-099   8.3748E-001   1.6252E-001   4.9323E-013
    2.552174E+04   1.0000E-099   8.2604E-001   1.7396E-001   5.2690E-013
    2.640440E+04   1.0000E-099   7.9277E-001   2.0723E-001   7.1199E-013
    2.741295E+04   1.0000E-099   7.7420E-001   2.2580E-001   8.0177E-013
    2.838201E+04   1.0000E-099   8.1519E-001   1.8481E-001   5.1062E-013
    2.923203E+04   1.0000E-099   7.8892E-001   2.1108E-001   6.3127E-013
    3.013295E+04   1.0000E-099   8.2501E-001   1.7499E-001   3.9402E-013
    3.094669E+04   1.0000E-099   8.1263E-001   1.8737E-001   4.3249E-013
    3.176516E+04   1.0000E-099   8.1834E-001   1.8166E-001   3.9231E-013
    3.259805E+04   1.0000E-099   8.0562E-001   1.9438E-001   4.3177E-013
    3.345740E+04   1.0000E-099   7.7932E-001   2.2068E-001   5.2836E-013
    3.438030E+04   1.0000E-099   7.7592E-001   2.2408E-001   5.1361E-013
    3.533529E+04   1.0000E-099   7.4367E-001   2.5633E-001   6.4472E-013
    3.634323E+04   1.0000E-099   7.4147E-001   2.5853E-001   6.3164E-013
    3.736894E+04   1.0000E-099   7.2280E-001   2.7720E-001   6.9917E-013
    3.839518E+04   1.0000E-099   7.0240E-001   2.9760E-001   7.7454E-013
    3.939114E+04   1.0000E-099   7.0142E-001   2.9858E-001   7.5437E-013
    4.037465E+04   1.0000E-099   7.0762E-001   2.9238E-001   7.0603E-013
    4.133441E+04   1.0000E-099   7.0603E-001   2.9397E-001   6.9716E-013
    4.215976E+04   1.0000E-099   6.9830E-001   3.0170E-001   7.1745E-013
    4.290657E+04   1.0000E-099   6.9169E-001   3.0831E-001   7.3412E-013
    4.365819E+04   1.0000E-099   6.8854E-001   3.1146E-001   7.3704E-013
    4.442297E+04   1.0000E-099   6.9029E-001   3.0971E-001   7.2143E-013
    4.520034E+04   1.0000E-099   6.9810E-001   3.0190E-001   6.8501E-013
    4.600555E+04   1.0000E-099   7.1239E-001   2.8761E-001   6.2871E-013
    4.686215E+04   1.0000E-099   7.3001E-001   2.6999E-001   5.6564E-013
    4.776422E+04   1.0000E-099   7.4914E-001   2.5086E-001   5.0246E-013
    4.868597E+04   1.0000E-099   7.6789E-001   2.3211E-001   4.4435E-013
    4.962544E+04   1.0000E-099   7.8547E-001   2.1453E-001   3.9262E-013
    5.058305E+04   1.0000E-099   8.0152E-001   1.9848E-001   3.4756E-013
    5.155912E+04   1.0000E-099   8.1575E-001   1.8425E-001   3.0944E-013
    5.255403E+04   1.0000E-099   8.2808E-001   1.7192E-001   2.7818E-013
    5.356816E+04   1.0000E-099   8.3800E-001   1.6200E-001   2.5430E-013
    5.460189E+04   1.0000E-099   8.4540E-001   1.5460E-001   2.3747E-013
    5.565558E+04   1.0000E-099   8.4958E-001   1.5042E-001   2.2843E-013
    5.672959E+04   1.0000E-099   8.5049E-001   1.4951E-001   2.2689E-013
    5.782432E+04   1.0000E-099   8.4858E-001   1.5142E-001   2.3212E-013
    5.894013E+04   1.0000E-099   8.4469E-001   1.5531E-001   2.4230E-013
    6.007747E+04   1.0000E-099   8.3975E-001   1.6025E-001   2.5516E-013
    6.123675E+04   1.0000E-099   8.3493E-001   1.6507E-001   2.6786E-013
    6.241838E+04   1.0000E-099   8.3067E-001   1.6933E-001   2.7905E-013
    6.362274E+04   1.0000E-099   8.2834E-001   1.7166E-001   2.8604E-013
    6.485024E+04   1.0000E-099   8.2771E-001   1.7229E-001   2.8896E-013
    6.610128E+04   1.0000E-099   8.2801E-001   1.7199E-001   2.8921E-013
    6.737631E+04   1.0000E-099   8.3063E-001   1.6937E-001   2.8323E-013
    6.867574E+04   1.0000E-099   8.3546E-001   1.6454E-001   2.6988E-013
    6.935606E+04   1.0000E-099   8.4148E-001   1.5852E-001   2.5713E-013
    6.969874E+04   1.0000E-099   8.5296E-001   1.4704E-001   2.3123E-013
    6.987071E+04   1.0000E-099   8.6556E-001   1.3444E-001   1.9910E-013
    6.995686E+04   1.0000E-099   8.8146E-001   1.1854E-001   1.5185E-013
    6.999782E+04   1.0000E-099   8.9396E-001   1.0604E-001   9.1876E-014
    6.999997E+04   1.0000E-099   8.9597E-001   1.0403E-001   7.9249E-014
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           sc0           sc1           sc2           sc3
    8.772128E+02   1.0000E-099   1.4007E-012   6.0497E-006   9.9999E-001
    8.825108E+02   1.0000E-099   1.4007E-012   6.0497E-006   9.9999E-001
    8.985975E+02   1.0000E-099   1.4007E-012   6.0497E-006   9.9999E-001
    9.316560E+02   1.0000E-099   1.4007E-012   6.0497E-006   9.9999E-001
    9.893707E+02   1.0000E-099   1.4007E-012   6.0497E-006   9.9999E-001
    1.050609E+03   1.0000E-099   1.4006E-012   6.0496E-006   9.9999E-001
    1.115637E+03   1.0000E-099   1.4004E-012   6.0495E-006   9.9999E-001
    1.184691E+03   1.0000E-099   1.4018E-012   6.0548E-006   9.9999E-001
    1.258018E+03   1.0000E-099   1.4044E-012   6.0655E-006   9.9999E-001
    1.335885E+03   1.0000E-099   1.4110E-012   6.0913E-006   9.9999E-001
    1.418571E+03   1.0000E-099   1.3225E-012   5.9554E-006   9.9999E-001
    1.506375E+03   1.0000E-099   5.9363E-013   4.3517E-006   1.0000E+000
    1.599613E+03   1.0000E-099   5.3635E-013   4.1641E-006   1.0000E+000
    1.698623E+03   1.0000E-099   3.7927E-013   3.6061E-006   1.0000E+000
    1.803761E+03   1.0000E-099   3.5420E-013   3.5423E-006   1.0000E+000
