#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] si0 si1 si2 si3 si4 
440.10 7.47e-22 5.87e-15 2.00e-08 1.88e-03 9.98e-01 
999.11 1.67e-23 1.67e-16 1.03e-09 3.39e-04 1.00e+00 
1267.34 6.23e-25 7.53e-18 7.27e-11 6.94e-05 1.00e+00 
1514.05 9.20e-26 1.18e-18 1.41e-11 2.51e-05 1.00e+00 
1808.80 1.41e-26 2.18e-19 3.38e-12 1.06e-05 1.00e+00 
1919.29 3.48e-27 5.98e-20 1.10e-12 5.18e-06 1.00e+00 
2160.92 9.93e-28 1.84e-20 3.60e-13 2.41e-06 1.00e+00 
2292.92 4.79e-28 9.58e-21 2.12e-13 1.73e-06 1.00e+00 
2432.98 3.48e-28 6.88e-21 1.60e-13 1.43e-06 1.00e+00 
2581.60 3.36e-28 6.22e-21 1.44e-13 1.29e-06 1.00e+00 
2739.29 2.40e-28 4.60e-21 1.13e-13 1.11e-06 1.00e+00 
2906.62 2.16e-28 4.13e-21 1.03e-13 1.05e-06 1.00e+00 
3084.17 1.86e-28 3.67e-21 9.62e-14 1.01e-06 1.00e+00 
3272.56 1.33e-28 2.86e-21 8.27e-14 9.42e-07 1.00e+00 
3472.46 1.10e-28 2.54e-21 7.93e-14 9.44e-07 1.00e+00 
3684.57 8.56e-29 2.19e-21 7.53e-14 9.47e-07 1.00e+00 
3909.64 6.15e-29 1.80e-21 7.08e-14 9.59e-07 1.00e+00 
4148.46 5.86e-29 1.84e-21 7.68e-14 1.04e-06 1.00e+00 
4401.86 7.79e-29 2.40e-21 9.67e-14 1.21e-06 1.00e+00 
4670.75 9.54e-29 2.97e-21 1.18e-13 1.39e-06 1.00e+00 
4956.05 8.52e-29 2.85e-21 1.20e-13 1.44e-06 1.00e+00 
5258.79 6.31e-29 2.37e-21 1.11e-13 1.42e-06 1.00e+00 
5580.02 5.45e-29 2.24e-21 1.12e-13 1.48e-06 1.00e+00 
