#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 78
#vel_mid[km/s] si0 si1 si2 si3
440.10 1.8635e-04 9.2279e-01 7.4488e-02 2.5347e-03
886.22 2.8292e-04 9.3300e-01 6.4568e-02 2.1518e-03
906.14 2.7570e-04 9.1645e-01 8.0497e-02 2.7729e-03
944.43 3.6619e-04 9.2712e-01 7.0058e-02 2.4546e-03
999.11 1.9609e-04 9.2471e-01 7.2689e-02 2.4030e-03
1060.83 2.3110e-04 9.2778e-01 6.9622e-02 2.3647e-03
1125.62 3.5156e-04 9.2349e-01 7.3644e-02 2.5109e-03
1194.38 1.8687e-04 9.2821e-01 6.9272e-02 2.3325e-03
1267.34 1.8320e-04 9.2333e-01 7.3957e-02 2.5311e-03
1344.75 2.5762e-04 9.2598e-01 7.1450e-02 2.3096e-03
1426.89 2.4839e-04 9.2741e-01 7.0084e-02 2.2533e-03
1514.05 2.4674e-04 9.3140e-01 6.6289e-02 2.0604e-03
1606.54 2.7783e-04 9.3119e-01 6.6424e-02 2.1050e-03
1704.67 2.5182e-04 9.2912e-01 6.8449e-02 2.1818e-03
1808.80 2.1791e-04 9.2878e-01 6.8836e-02 2.1711e-03
1919.29 2.0467e-04 9.2987e-01 6.7742e-02 2.1823e-03
2036.53 2.2044e-04 9.3007e-01 6.7606e-02 2.1021e-03
2160.92 1.8549e-04 9.2663e-01 7.0892e-02 2.2905e-03
2292.92 1.6325e-04 9.2180e-01 7.5460e-02 2.5817e-03
2432.98 1.4403e-04 9.1439e-01 8.2413e-02 3.0547e-03
2581.60 1.4471e-04 9.0334e-01 9.2824e-02 3.6873e-03
2739.29 1.3640e-04 8.9441e-01 1.0117e-01 4.2850e-03
2906.62 1.0651e-04 8.7824e-01 1.1618e-01 5.4724e-03
3084.17 8.8273e-05 8.5699e-01 1.3589e-01 7.0334e-03
3272.56 6.7698e-05 8.1828e-01 1.7172e-01 9.9345e-03
3472.46 5.1426e-05 7.6979e-01 2.1592e-01 1.4240e-02
3684.57 3.6543e-05 6.9915e-01 2.7970e-01 2.1114e-02
3909.64 2.3780e-05 6.3959e-01 3.3186e-01 2.8521e-02
4148.46 2.1851e-05 6.5151e-01 3.1935e-01 2.9118e-02
4401.86 2.4737e-05 6.8341e-01 2.9134e-01 2.5228e-02
4670.75 1.8566e-05 6.7044e-01 3.0306e-01 2.6483e-02
4956.05 9.3207e-06 5.7983e-01 3.8151e-01 3.8645e-02
5258.79 3.5938e-06 3.7542e-01 5.5669e-01 6.7880e-02
5580.02 9.4890e-07 1.5407e-01 7.3684e-01 1.0909e-01
5920.87 3.3164e-07 7.3110e-02 7.8987e-01 1.3702e-01
6282.54 2.0009e-07 5.3834e-02 7.9371e-01 1.5245e-01
6666.30 1.7538e-07 5.0229e-02 7.8674e-01 1.6303e-01
7073.50 1.6483e-07 4.8760e-02 7.8515e-01 1.6609e-01
7505.58 1.7645e-07 5.3708e-02 7.7896e-01 1.6733e-01
7964.05 2.2300e-07 6.2564e-02 7.7283e-01 1.6460e-01
8450.53 4.6208e-07 1.0339e-01 7.5193e-01 1.4469e-01
8966.72 1.4337e-06 2.3905e-01 6.5065e-01 1.1031e-01
9514.44 3.3659e-06 3.8805e-01 5.3033e-01 8.1612e-02
10095.62 6.9224e-06 5.1735e-01 4.2390e-01 5.8741e-02
10712.30 1.2681e-05 6.0712e-01 3.4823e-01 4.4635e-02
11366.65 1.9977e-05 6.6423e-01 2.9904e-01 3.6702e-02
12061.10 2.4563e-05 6.7423e-01 2.8977e-01 3.5974e-02
12793.43 2.6744e-05 6.7938e-01 2.8467e-01 3.5928e-02
13528.61 2.4495e-05 6.7210e-01 2.8994e-01 3.7933e-02
14194.74 1.9167e-05 6.5495e-01 3.0273e-01 4.2304e-02
14757.77 1.6860e-05 6.1892e-01 3.3336e-01 4.7695e-02
15240.48 1.8616e-05 6.6097e-01 3.0254e-01 3.6475e-02
15646.99 2.2795e-05 7.0002e-01 2.7644e-01 2.3520e-02
15960.30 3.6912e-05 7.3519e-01 2.5086e-01 1.3912e-02
16187.41 4.5281e-05 7.6763e-01 2.2173e-01 1.0597e-02
16354.17 4.5632e-05 7.6272e-01 2.2730e-01 9.9346e-03
16484.18 4.1017e-05 7.3415e-01 2.5303e-01 1.2780e-02
16593.12 3.3094e-05 6.1059e-01 3.6986e-01 1.9519e-02
16691.99 2.6294e-05 6.1408e-01 3.6535e-01 2.0550e-02
16788.59 2.4042e-05 6.4080e-01 3.3835e-01 2.0825e-02
16888.37 2.1998e-05 6.0743e-01 3.6851e-01 2.4041e-02
16998.79 1.8941e-05 5.3028e-01 4.3958e-01 3.0127e-02
17146.37 1.4535e-05 4.5163e-01 5.0813e-01 4.0223e-02
17415.23 9.5973e-06 3.6162e-01 5.8812e-01 5.0251e-02
17888.12 5.9034e-06 2.4950e-01 6.7339e-01 7.7105e-02
18532.37 4.4907e-06 2.2881e-01 6.7302e-01 9.8162e-02
19260.76 4.3909e-06 2.5255e-01 6.5692e-01 9.0531e-02
20034.10 3.4095e-06 2.2078e-01 6.6906e-01 1.1015e-01
20838.00 1.3173e-06 1.0896e-01 7.4359e-01 1.4744e-01
21647.97 9.5443e-07 9.5443e-02 7.2192e-01 1.8263e-01
22447.94 1.2702e-06 1.5021e-01 6.6098e-01 1.8881e-01
23245.88 1.0449e-06 1.4402e-01 6.1225e-01 2.4373e-01
24052.47 1.2659e-06 2.0061e-01 5.4856e-01 2.5083e-01
24867.72 6.1718e-07 1.0360e-01 5.1202e-01 3.8438e-01
25698.86 4.3729e-07 8.9441e-02 4.4857e-01 4.6199e-01
26587.16 2.4639e-07 5.7612e-02 4.8893e-01 4.5346e-01
27637.54 1.6070e-07 4.7682e-02 4.7606e-01 4.7625e-01
28986.97 2.9915e-07 9.0476e-02 4.3449e-01 4.7504e-01
#TIME: 202.03
#NVEL: 78
#vel_mid[km/s] si0 si1 si2 si3
440.10 1.7956e-04 9.2554e-01 7.1844e-02 2.4382e-03
886.22 3.5932e-04 9.2392e-01 7.3497e-02 2.2220e-03
906.14 6.6445e-04 9.3290e-01 6.4257e-02 2.1764e-03
944.43 6.1223e-04 9.2661e-01 7.0457e-02 2.3176e-03
999.11 3.4388e-04 9.2892e-01 6.8349e-02 2.3829e-03
1060.83 4.2677e-04 9.2323e-01 7.3965e-02 2.3780e-03
1125.62 3.2119e-04 9.2043e-01 7.6632e-02 2.6125e-03
