#NTIMES:     65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           si1           si2           si3           si4           si5
    8.772128E+02    1.0000E-99    3.1707E-18    1.5421E-11    2.2395E-05    9.9998E-01
    8.826573E+02    1.0000E-99    3.1707E-18    1.5421E-11    2.2395E-05    9.9998E-01
    8.991942E+02    1.0000E-99    3.1707E-18    1.5421E-11    2.2395E-05    9.9998E-01
    9.332033E+02    1.0000E-99    3.1707E-18    1.5421E-11    2.2395E-05    9.9998E-01
    9.912889E+02    1.0000E-99    3.1707E-18    1.5421E-11    2.2395E-05    9.9998E-01
    1.052238E+03    1.0000E-99    3.1707E-18    1.5421E-11    2.2395E-05    9.9998E-01
    1.116940E+03    1.0000E-99    3.1704E-18    1.5420E-11    2.2396E-05    9.9998E-01
    1.185621E+03    1.0000E-99    3.1674E-18    1.5406E-11    2.2408E-05    9.9998E-01
    1.258525E+03    1.0000E-99    3.1612E-18    1.5376E-11    2.2433E-05    9.9998E-01
    1.335911E+03    1.0000E-99    3.1799E-18    1.5420E-11    2.2547E-05    9.9998E-01
    1.418056E+03    1.0000E-99    3.1232E-18    1.5193E-11    2.2599E-05    9.9998E-01
    1.505253E+03    1.0000E-99    4.6390E-19    4.0361E-12    1.4872E-05    9.9999E-01
    1.597810E+03    1.0000E-99    4.2801E-19    3.8224E-12    1.4532E-05    9.9999E-01
    1.696060E+03    1.0000E-99    2.1013E-19    2.3488E-12    1.2333E-05    9.9999E-01
    1.800350E+03    1.0000E-99    1.8779E-19    2.1692E-12    1.2240E-05    9.9999E-01
    1.911054E+03    1.0000E-99    7.0671E-20    1.1139E-12    9.8541E-06    9.9999E-01
    2.028564E+03    1.0000E-99    5.3862E-20    9.2538E-13    9.3384E-06    9.9999E-01
    2.153300E+03    1.0000E-99    2.4708E-20    5.4509E-13    7.8933E-06    9.9999E-01
    2.285707E+03    1.0000E-99    1.1694E-20    3.2886E-13    6.6161E-06    9.9999E-01
    2.426255E+03    1.0000E-99    6.2718E-21    2.1615E-13    5.6660E-06    9.9999E-01
    2.575445E+03    1.0000E-99    2.5404E-21    1.1752E-13    4.6206E-06    1.0000E+00
    2.733809E+03    1.0000E-99    1.6416E-21    8.7634E-14    4.1450E-06    1.0000E+00
    2.901910E+03    1.0000E-99    1.0988E-21    6.6919E-14    3.7553E-06    1.0000E+00
    3.080349E+03    1.0000E-99    7.4158E-22    5.1456E-14    3.3321E-06    1.0000E+00
    3.269759E+03    1.0000E-99    5.6383E-22    4.2898E-14    2.9966E-06    1.0000E+00
    3.470816E+03    1.0000E-99    4.7771E-22    3.8484E-14    2.7431E-06    1.0000E+00
