#NTIMES: 265
#NSTAGES: 5
#TIMES[d]: 1.0736 1.18096 1.299056 1.428962 1.571858 1.729044 1.901948 2.092143 2.301357 2.531493 2.784642 3.063106 3.369417 3.706359 4.076994 4.484694 4.933163 5.426479 5.969127 6.56604 7.222644 7.944908 8.739399 9.613339 10.574673 11.574673 12.574673 13.574673 14.574673 15.574673 16.574673 17.574673 18.574673 19.574673 20.574673 21.574673 22.574673 23.574673 24.574673 25.574673 26.574673 27.574673 28.574673 29.574673 30.574673 31.574673 32.574673 33.574673 34.574673 35.574673 36.574673 37.574673 38.574673 39.574673 40.574673 41.574673 42.574673 43.574673 44.574673 45.574673 46.574673 47.574673 48.57467 49.57467 50.57467 51.57467 52.57467 53.57467 54.57467 55.57467 56.57467 57.57467 58.57467 59.57467 60.57467 61.57467 62.57467 63.57467 64.57467 65.57467 66.57467 67.57467 68.57467 69.57467 70.57467 71.57467 72.57467 73.57467 74.57467 75.57467 76.57467 77.57467 78.57467 79.57467 80.57467 81.57467 82.57467 83.57467 84.57467 85.57467 86.57467 87.57467 88.57467 89.57467 90.57467 91.57467 92.57467 93.57467 94.57467 95.57467 96.57467 97.574676 98.574676 99.574676 100.574676 101.574676 102.574676 103.574676 104.574676 105.574676 106.574676 107.574676 108.574676 109.574676 110.574676 111.574676 112.574676 113.574676 114.574676 115.574676 116.574676 117.574676 118.574676 119.574676 120.574676 121.574676 122.574676 123.574676 124.574676 125.574676 126.574676 127.574676 128.574676 129.574676 130.574676 131.574676 132.574676 133.574676 134.574676 135.574676 136.574676 137.574676 138.574676 139.574676 140.574676 141.574676 142.574676 143.574676 144.574676 145.574676 146.574676 147.574676 148.574676 149.574676 150.574676 151.574676 152.574676 153.574676 154.574676 155.574676 156.574676 157.574676 158.574676 159.574676 160.574676 161.574676 162.574676 163.574676 164.574676 165.574676 166.574676 167.574676 168.574676 169.574676 170.574676 171.574676 172.574676 173.574676 174.574676 175.574676 176.574676 177.574676 178.574676 179.574676 180.574676 181.574676 182.574676 183.574676 184.574676 185.574676 186.574676 187.574676 188.574676 189.574676 190.574676 191.574676 192.574676 193.574676 194.574676 195.574676 196.574676 197.574676 198.574676 199.574676 200.574676 201.574676 202.574676 203.574676 204.574676 205.574676 206.574676 207.574676 208.574676 209.574676 210.574676 211.574676 212.574676 213.574676 214.574676 215.574676 216.574676 217.574676 218.574676 219.574676 220.574676 221.574676 222.574676 223.574676 224.574676 225.574676 226.574676 227.574676 228.574676 229.574676 230.574676 231.574676 232.574676 233.574676 234.574676 235.574676 236.574676 237.574676 238.574676 239.574676 240.574676 241.574676 242.574676 243.574676 244.574676 245.574676 246.574676 247.574676 248.574676 249.574676 250.574676
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4
4.401e+02 3.261864e-26 9.492079e-18 5.569084e-12 1.574727e-05 9.999843e-01
8.862e+02 3.261864e-26 9.492079e-18 5.569084e-12 1.574727e-05 9.999843e-01
9.061e+02 3.261864e-26 9.492079e-18 5.569084e-12 1.574727e-05 9.999843e-01
9.444e+02 3.261864e-26 9.492079e-18 5.569084e-12 1.574727e-05 9.999843e-01
9.991e+02 3.259142e-26 9.485702e-18 5.566366e-12 1.574474e-05 9.999843e-01
1.061e+03 3.250728e-26 9.465880e-18 5.557867e-12 1.573709e-05 9.999843e-01
1.126e+03 3.223810e-26 9.401713e-18 5.529994e-12 1.571375e-05 9.999843e-01
1.194e+03 3.142982e-26 9.206506e-18 5.444005e-12 1.564637e-05 9.999844e-01
1.267e+03 2.795686e-26 8.367040e-18 5.073758e-12 1.532449e-05 9.999847e-01
1.345e+03 1.701936e-26 5.590298e-18 3.780240e-12 1.405459e-05 9.999859e-01
1.427e+03 6.236967e-27 2.479743e-18 2.104529e-12 1.194888e-05 9.999881e-01
1.514e+03 2.021281e-27 1.002910e-18 1.109142e-12 1.004235e-05 9.999900e-01
1.607e+03 7.609751e-28 4.604498e-19 6.446007e-13 8.632903e-06 9.999914e-01
1.705e+03 3.300437e-28 2.363492e-19 4.059083e-13 7.655277e-06 9.999923e-01
1.809e+03 1.407064e-28 1.195427e-19 2.536229e-13 6.826385e-06 9.999932e-01
1.919e+03 5.625280e-29 5.756680e-20 1.537603e-13 6.034135e-06 9.999940e-01
2.037e+03 2.182206e-29 2.708753e-20 9.203302e-14 5.325315e-06 9.999947e-01
2.161e+03 8.037638e-30 1.227439e-20 5.387255e-14 4.642108e-06 9.999954e-01
2.293e+03 2.695652e-30 5.197398e-21 3.022026e-14 3.937982e-06 9.999961e-01
2.433e+03 9.030009e-31 2.202130e-21 1.699424e-14 3.333240e-06 9.999967e-01
2.582e+03 3.535937e-31 1.053999e-21 1.038441e-14 2.898939e-06 9.999971e-01
2.739e+03 1.737021e-31 6.031239e-22 7.156071e-15 2.606965e-06 9.999974e-01
2.907e+03 1.012233e-31 3.962004e-22 5.408822e-15 2.379158e-06 9.999976e-01
3.084e+03 6.569410e-32 2.853582e-22 4.346366e-15 2.159735e-06 9.999978e-01
3.273e+03 4.924830e-32 2.316143e-22 3.781291e-15 1.967173e-06 9.999980e-01
3.472e+03 4.332259e-32 2.138502e-22 3.584845e-15 1.817969e-06 9.999982e-01
3.685e+03 4.301555e-32 2.183097e-22 3.635759e-15 1.685563e-06 9.999983e-01
3.910e+03 4.301516e-32 2.259559e-22 3.726153e-15 1.530110e-06 9.999985e-01
4.148e+03 5.381201e-32 2.750432e-22 4.258103e-15 1.494793e-06 9.999985e-01
4.402e+03 7.453330e-32 3.553269e-22 5.057322e-15 1.569973e-06 9.999984e-01
