#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] si0 si1 si2 si3 si4 si5 si6
4.4010e+02 5.8874e-33 3.0516e-24 2.1166e-15 1.0015e-07 5.7964e-01 4.2031e-01 4.6585e-05
8.8623e+02 5.2651e-25 3.2095e-18 2.6179e-11 1.4568e-05 9.9153e-01 8.4554e-03 1.1021e-08
9.0614e+02 5.2557e-25 3.2052e-18 2.6156e-11 1.4561e-05 9.9153e-01 8.4592e-03 1.1031e-08
9.4442e+02 5.2558e-25 3.2052e-18 2.6156e-11 1.4561e-05 9.9153e-01 8.4591e-03 1.1031e-08
9.9911e+02 5.2508e-25 3.2027e-18 2.6141e-11 1.4557e-05 9.9152e-01 8.4686e-03 1.1058e-08
1.0608e+03 5.2269e-25 3.1910e-18 2.6076e-11 1.4537e-05 9.9148e-01 8.5032e-03 1.1158e-08
1.1257e+03 5.2043e-25 3.1777e-18 2.5998e-11 1.4508e-05 9.9138e-01 8.6054e-03 1.1462e-08
1.1944e+03 5.0791e-25 3.1105e-18 2.5611e-11 1.4377e-05 9.9100e-01 8.9863e-03 1.2628e-08
1.2673e+03 4.5697e-25 2.8378e-18 2.4019e-11 1.3836e-05 9.8927e-01 1.0713e-02 1.8706e-08
1.3448e+03 2.9099e-25 1.9229e-18 1.8305e-11 1.1769e-05 9.7835e-01 2.1641e-02 9.0378e-08
1.4269e+03 1.1680e-25 8.7101e-19 1.0449e-11 8.3394e-06 9.1902e-01 8.0970e-02 1.8250e-06
1.5140e+03 3.7221e-26 3.1911e-19 4.9382e-12 5.0122e-06 7.3562e-01 2.6434e-01 3.2896e-05
1.6065e+03 1.0797e-26 1.0593e-19 2.0532e-12 2.5871e-06 4.8094e-01 5.1882e-01 2.4366e-04
1.7047e+03 2.9612e-27 3.2471e-20 7.6304e-13 1.1590e-06 2.6130e-01 7.3759e-01 1.1075e-03
1.8088e+03 6.3164e-28 7.7857e-21 2.2432e-13 4.1629e-07 1.1401e-01 8.8153e-01 4.4637e-03
1.9193e+03 1.0435e-28 1.4808e-21 5.3758e-14 1.2567e-07 4.2522e-02 9.4066e-01 1.6818e-02
2.0365e+03 1.4432e-29 2.3972e-22 1.1178e-14 3.3680e-08 1.4203e-02 9.2560e-01 6.0195e-02
2.1609e+03 1.6573e-30 3.2863e-23 2.0050e-15 7.9614e-09 4.2251e-03 8.0728e-01 1.8850e-01
2.2929e+03 1.4395e-31 3.4816e-24 2.8276e-16 1.5102e-09 1.0200e-03 5.5440e-01 4.4458e-01
2.4330e+03 9.8432e-33 2.8795e-25 3.0798e-17 2.1952e-10 1.8575e-04 2.7600e-01 7.2382e-01
2.5816e+03 7.7968e-34 2.6759e-26 3.6193e-18 3.3095e-11 3.3735e-05 1.2001e-01 8.7996e-01
2.7393e+03 1.0277e-34 4.0109e-27 6.5265e-19 7.2689e-12 8.5770e-06 5.9076e-02 9.4092e-01
2.9067e+03 2.4590e-35 1.0703e-27 2.0098e-19 2.6042e-12 3.4621e-06 3.6682e-02 9.6331e-01
3.0842e+03 1.0780e-35 5.2066e-28 1.0947e-19 1.5915e-12 2.3539e-06 3.0079e-02 9.6992e-01
3.2726e+03 9.2456e-36 4.8869e-28 1.1057e-19 1.7230e-12 2.7754e-06 3.3167e-02 9.6683e-01
3.4725e+03 1.4110e-35 8.0042e-28 1.8734e-19 2.9940e-12 5.1185e-06 4.6434e-02 9.5356e-01
3.6846e+03 3.5304e-35 2.1453e-27 5.0745e-19 8.0947e-12 1.4549e-05 8.1543e-02 9.1844e-01
3.9097e+03 1.0990e-34 7.3616e-27 1.7778e-18 2.8545e-11 5.5007e-05 1.6380e-01 8.3615e-01
4.1484e+03 3.3890e-34 2.3584e-26 5.5544e-18 8.6120e-11 1.6795e-04 2.8324e-01 7.1660e-01
4.4019e+03 6.9604e-34 4.6802e-26 1.0378e-17 1.5097e-10 2.8117e-04 3.5684e-01 6.4288e-01
4.6708e+03 5.0051e-34 3.4754e-26 8.0174e-18 1.2145e-10 2.3439e-04 3.2994e-01 6.6983e-01
4.9561e+03 1.8315e-34 1.4469e-26 3.8479e-18 6.7318e-11 1.4869e-04 2.7041e-01 7.2945e-01
5.2588e+03 7.3135e-35 6.5753e-27 2.0066e-18 4.0332e-11 1.0175e-04 2.2808e-01 7.7182e-01
5.5800e+03 4.7448e-35 4.5796e-27 1.5020e-18 3.2448e-11 8.7922e-05 2.1374e-01 7.8618e-01
5.9209e+03 4.5229e-35 4.6069e-27 1.5749e-18 3.5405e-11 1.0069e-04 2.2942e-01 7.7048e-01
6.2825e+03 5.4471e-35 5.8337e-27 2.0504e-18 4.7244e-11 1.3983e-04 2.6961e-01 7.3025e-01
6.6663e+03 8.0154e-35 8.8079e-27 3.0951e-18 7.1079e-11 2.1319e-04 3.2826e-01 6.7153e-01
7.0735e+03 1.4244e-34 1.5980e-26 5.5357e-18 1.2485e-10 3.7555e-04 4.2030e-01 5.7932e-01
7.5056e+03 2.9030e-34 3.4097e-26 1.1737e-17 2.6182e-10 8.0118e-04 5.6368e-01 4.3552e-01
7.9641e+03 6.9450e-34 8.3950e-26 2.7974e-17 6.0173e-10 1.8255e-03 7.2348e-01 2.7469e-01
8.4505e+03 2.0526e-33 2.4441e-25 7.5058e-17 1.4845e-09 4.2397e-03 8.5407e-01 1.4169e-01
8.9668e+03 8.4493e-33 9.7584e-25 2.6542e-16 4.6494e-09 1.2006e-02 9.3903e-01 4.8961e-02
9.5145e+03 6.2884e-32 6.8410e-24 1.5397e-15 2.2449e-08 4.8525e-02 9.4254e-01 8.9358e-03
1.0096e+04 1.0056e-30 9.6581e-23 1.6090e-14 1.7662e-07 2.7663e-01 7.2278e-01 5.8993e-04
1.0712e+04 1.5666e-29 1.2481e-21 1.3429e-13 9.8446e-07 8.8934e-01 1.1066e-01 2.1614e-06
1.1367e+04 2.5338e-28 1.4562e-20 8.0150e-13 3.0741e-06 9.9899e-01 1.0071e-03 5.3312e-11
1.2062e+04 1.4657e-26 5.2918e-19 1.2260e-11 1.6964e-05 9.9998e-01 7.2115e-07 5.1711e-18
1.2794e+04 1.8706e-24 4.1850e-17 4.1961e-10 1.4928e-04 9.9985e-01 1.1540e-10 1.7508e-26
1.3528e+04 2.8429e-22 4.2412e-15 1.9988e-08 1.5300e-03 9.9847e-01 1.2703e-14 2.5599e-35
1.4194e+04 9.2300e-20 9.4128e-13 1.9017e-06 2.2719e-02 9.7728e-01 3.6621e-19 1.4013e-45
1.4758e+04 7.0269e-17 5.1563e-10 3.6917e-04 4.1357e-01 5.8606e-01 4.5908e-25 0.0000e+00
1.5240e+04 2.6553e-14 1.1323e-07 1.8526e-02 9.6210e-01 1.9375e-02 2.7024e-33 0.0000e+00
1.5647e+04 5.8383e-12 1.2416e-05 3.6891e-01 6.3095e-01 1.2550e-04 1.2247e-42 0.0000e+00
1.5960e+04 2.8933e-10 2.4359e-04 9.6752e-01 3.2232e-02 3.3561e-08 0.0000e+00 0.0000e+00
1.6187e+04 8.7616e-09 2.4400e-03 9.9720e-01 3.6107e-04 9.0420e-13 0.0000e+00 0.0000e+00
1.6354e+04 3.6886e-07 2.9215e-02 9.7078e-01 2.1452e-06 5.8032e-18 0.0000e+00 0.0000e+00
1.6484e+04 1.5827e-05 3.1958e-01 6.8040e-01 5.1049e-09 6.5310e-24 0.0000e+00 0.0000e+00
1.6593e+04 1.2685e-04 8.4197e-01 1.5790e-01 6.3835e-12 6.6922e-30 0.0000e+00 0.0000e+00
1.6692e+04 3.2549e-04 9.7184e-01 2.7830e-02 1.7675e-14 6.2559e-35 0.0000e+00 0.0000e+00
1.6788e+04 5.4043e-04 9.9176e-01 7.6999e-03 2.3883e-16 1.2933e-38 0.0000e+00 0.0000e+00
1.6888e+04 7.6499e-04 9.9631e-01 2.9289e-03 9.2630e-18 2.1017e-41 0.0000e+00 0.0000e+00
1.6999e+04 1.0368e-03 9.9770e-01 1.2599e-03 5.5238e-19 8.1275e-44 0.0000e+00 0.0000e+00
