#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] si0 si1 si2 si3 si4 si5 si6 si7 si8
4.386064e+02 7.480031e-22 5.449737e-15 1.175433e-08 8.815751e-04 9.991184e-01 3.857559e-12 0.000000e+00 0.000000e+00 0.000000e+00 
8.801961e+02 8.215017e-21 3.116952e-14 3.618834e-08 1.518854e-03 9.984811e-01 3.301856e-12 0.000000e+00 0.000000e+00 0.000000e+00 
8.922517e+02 1.279783e-21 6.809541e-15 1.166861e-08 8.109856e-04 9.991890e-01 1.755425e-11 0.000000e+00 0.000000e+00 0.000000e+00 
9.200313e+02 1.215468e-21 7.041062e-15 1.270538e-08 8.771826e-04 9.991228e-01 9.047175e-12 0.000000e+00 0.000000e+00 0.000000e+00 
9.688202e+02 4.466674e-22 3.295749e-15 7.621105e-09 6.763100e-04 9.993237e-01 1.256725e-11 0.000000e+00 0.000000e+00 0.000000e+00 
1.029396e+03 5.392142e-22 3.853650e-15 8.558171e-09 7.222502e-04 9.992777e-01 1.038853e-11 0.000000e+00 0.000000e+00 0.000000e+00 
1.092261e+03 6.282277e-22 4.407487e-15 9.547082e-09 7.716813e-04 9.992283e-01 8.112547e-12 0.000000e+00 0.000000e+00 0.000000e+00 
1.158981e+03 6.645009e-22 4.646584e-15 9.942902e-09 7.875566e-04 9.992124e-01 7.383343e-12 0.000000e+00 0.000000e+00 0.000000e+00 
1.229776e+03 9.647924e-22 6.464599e-15 1.302715e-08 9.256130e-04 9.990744e-01 4.143220e-12 0.000000e+00 0.000000e+00 0.000000e+00 
1.304896e+03 2.447201e-22 1.869016e-15 4.661336e-09 5.019900e-04 9.994980e-01 4.526874e-11 0.000000e+00 0.000000e+00 0.000000e+00 
1.384604e+03 1.524041e-22 1.203746e-15 3.238148e-09 3.977291e-04 9.996023e-01 1.143911e-10 0.000000e+00 0.000000e+00 0.000000e+00 
1.469181e+03 2.454837e-23 2.395227e-16 8.805982e-10 1.823516e-04 9.998176e-01 2.178464e-09 0.000000e+00 0.000000e+00 0.000000e+00 
1.558925e+03 7.068570e-24 8.187015e-17 3.802712e-10 1.105023e-04 9.998895e-01 1.301870e-08 0.000000e+00 0.000000e+00 0.000000e+00 
1.654150e+03 1.603286e-24 2.274297e-17 1.404050e-10 6.089854e-05 9.999390e-01 1.152185e-07 0.000000e+00 0.000000e+00 0.000000e+00 
1.755192e+03 6.280600e-25 1.018476e-17 7.515115e-11 4.166491e-05 9.999579e-01 4.737455e-07 0.000000e+00 0.000000e+00 0.000000e+00 
1.862406e+03 1.672862e-25 3.258335e-18 3.133495e-11 2.446873e-05 9.999719e-01 3.632857e-06 0.000000e+00 0.000000e+00 0.000000e+00 
1.976169e+03 4.900797e-26 1.138569e-18 1.405885e-11 1.504891e-05 9.999607e-01 2.425647e-05 0.000000e+00 0.000000e+00 0.000000e+00 
2.096881e+03 1.294351e-26 3.689288e-19 6.115228e-12 9.068209e-06 9.998282e-01 1.627627e-04 0.000000e+00 0.000000e+00 0.000000e+00 
2.224967e+03 3.033667e-27 1.109280e-19 2.561763e-12 5.429957e-06 9.989650e-01 1.029608e-03 0.000000e+00 0.000000e+00 0.000000e+00 
2.360877e+03 7.956025e-28 3.674926e-20 1.164989e-12 3.419196e-06 9.945031e-01 5.493446e-03 0.000000e+00 0.000000e+00 0.000000e+00 
2.505088e+03 2.331418e-28 1.323141e-20 5.625120e-13 2.214670e-06 9.728981e-01 2.709964e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.658109e+03 8.211432e-29 5.517056e-21 2.976644e-13 1.498586e-06 9.083897e-01 9.160879e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.820477e+03 3.032488e-29 2.382669e-21 1.595666e-13 9.927788e-07 7.870028e-01 2.129962e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.992763e+03 1.428570e-29 1.289506e-21 1.010113e-13 7.370412e-07 6.978503e-01 3.021490e-01 0.000000e+00 0.000000e+00 0.000000e+00 
3.175573e+03 8.295250e-30 8.479784e-22 7.557113e-14 6.247799e-07 6.704741e-01 3.295253e-01 0.000000e+00 0.000000e+00 0.000000e+00 
3.369550e+03 7.112966e-30 7.949786e-22 7.531376e-14 6.575011e-07 7.352057e-01 2.647936e-01 0.000000e+00 0.000000e+00 0.000000e+00 
3.575375e+03 8.142383e-30 9.656293e-22 9.165295e-14 8.101466e-07 8.592464e-01 1.407528e-01 0.000000e+00 0.000000e+00 0.000000e+00 
3.793773e+03 1.233127e-29 1.509201e-21 1.337422e-13 1.101226e-06 9.662566e-01 3.374229e-02 0.000000e+00 0.000000e+00 0.000000e+00 
