#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    8.772128E+02   1.0000E-099   5.9120E-013   4.1745E-006   1.0000E+000
    8.826573E+02   1.0000E-099   5.9120E-013   4.1745E-006   1.0000E+000
    8.991942E+02   1.0000E-099   5.9120E-013   4.1745E-006   1.0000E+000
    9.332033E+02   1.0000E-099   5.9120E-013   4.1745E-006   1.0000E+000
    9.912889E+02   1.0000E-099   5.9120E-013   4.1745E-006   1.0000E+000
    1.052238E+03   1.0000E-099   5.9120E-013   4.1745E-006   1.0000E+000
    1.116940E+03   1.0000E-099   5.9125E-013   4.1748E-006   1.0000E+000
    1.185621E+03   1.0000E-099   5.9176E-013   4.1782E-006   1.0000E+000
    1.258525E+03   1.0000E-099   5.9281E-013   4.1852E-006   1.0000E+000
    1.335911E+03   1.0000E-099   5.9838E-013   4.2106E-006   1.0000E+000
    1.418056E+03   1.0000E-099   5.9979E-013   4.2311E-006   1.0000E+000
    1.505253E+03   1.0000E-099   2.3117E-013   2.8792E-006   1.0000E+000
    1.597810E+03   1.0000E-099   2.2014E-013   2.8139E-006   1.0000E+000
    1.696060E+03   1.0000E-099   1.5007E-013   2.3935E-006   1.0000E+000
    1.800350E+03   1.0000E-099   1.4431E-013   2.3757E-006   1.0000E+000
    1.911054E+03   1.0000E-099   8.5249E-014   1.9081E-006   1.0000E+000
    2.028564E+03   1.0000E-099   7.4078E-014   1.8052E-006   1.0000E+000
    2.153300E+03   1.0000E-099   4.8611E-014   1.5173E-006   1.0000E+000
    2.285707E+03   1.0000E-099   3.1840E-014   1.2646E-006   1.0000E+000
    2.426255E+03   1.0000E-099   2.2172E-014   1.0780E-006   1.0000E+000
    2.575445E+03   1.0000E-099   1.3369E-014   8.7086E-007   1.0000E+000
    2.733809E+03   1.0000E-099   1.0359E-014   7.7821E-007   1.0000E+000
    2.901910E+03   1.0000E-099   8.2002E-015   7.0239E-007   1.0000E+000
    3.080349E+03   1.0000E-099   6.3794E-015   6.2244E-007   1.0000E+000
    3.269759E+03   1.0000E-099   5.2389E-015   5.6065E-007   1.0000E+000
    3.470816E+03   1.0000E-099   4.5427E-015   5.1505E-007   1.0000E+000
    3.684237E+03   1.0000E-099   3.8940E-015   4.6781E-007   1.0000E+000
    3.910780E+03   1.0000E-099   3.1545E-015   4.1299E-007   1.0000E+000
    4.151254E+03   1.0000E-099   2.8002E-015   3.7570E-007   1.0000E+000
    4.406514E+03   1.0000E-099   3.0533E-015   3.9078E-007   1.0000E+000
    4.677470E+03   1.0000E-099   2.6807E-015   3.7244E-007   1.0000E+000
    4.965088E+03   1.0000E-099   1.8139E-015   3.0674E-007   1.0000E+000
    5.270391E+03   1.0000E-099   1.4942E-015   2.8020E-007   1.0000E+000
    5.594466E+03   1.0000E-099   1.3526E-015   2.6650E-007   1.0000E+000
