#NTIMES: 265
#NSTAGES: 5
#TIMES[d]: 1.0736 1.18096 1.299056 1.428962 1.571858 1.729044 1.901948 2.092143 2.301357 2.531493 2.784642 3.063106 3.369417 3.706359 4.076994 4.484694 4.933163 5.426479 5.969127 6.56604 7.222644 7.944908 8.739399 9.613339 10.574673 11.574673 12.574673 13.574673 14.574673 15.574673 16.574673 17.574673 18.574673 19.574673 20.574673 21.574673 22.574673 23.574673 24.574673 25.574673 26.574673 27.574673 28.574673 29.574673 30.574673 31.574673 32.574673 33.574673 34.574673 35.574673 36.574673 37.574673 38.574673 39.574673 40.574673 41.574673 42.574673 43.574673 44.574673 45.574673 46.574673 47.574673 48.57467 49.57467 50.57467 51.57467 52.57467 53.57467 54.57467 55.57467 56.57467 57.57467 58.57467 59.57467 60.57467 61.57467 62.57467 63.57467 64.57467 65.57467 66.57467 67.57467 68.57467 69.57467 70.57467 71.57467 72.57467 73.57467 74.57467 75.57467 76.57467 77.57467 78.57467 79.57467 80.57467 81.57467 82.57467 83.57467 84.57467 85.57467 86.57467 87.57467 88.57467 89.57467 90.57467 91.57467 92.57467 93.57467 94.57467 95.57467 96.57467 97.574676 98.574676 99.574676 100.574676 101.574676 102.574676 103.574676 104.574676 105.574676 106.574676 107.574676 108.574676 109.574676 110.574676 111.574676 112.574676 113.574676 114.574676 115.574676 116.574676 117.574676 118.574676 119.574676 120.574676 121.574676 122.574676 123.574676 124.574676 125.574676 126.574676 127.574676 128.574676 129.574676 130.574676 131.574676 132.574676 133.574676 134.574676 135.574676 136.574676 137.574676 138.574676 139.574676 140.574676 141.574676 142.574676 143.574676 144.574676 145.574676 146.574676 147.574676 148.574676 149.574676 150.574676 151.574676 152.574676 153.574676 154.574676 155.574676 156.574676 157.574676 158.574676 159.574676 160.574676 161.574676 162.574676 163.574676 164.574676 165.574676 166.574676 167.574676 168.574676 169.574676 170.574676 171.574676 172.574676 173.574676 174.574676 175.574676 176.574676 177.574676 178.574676 179.574676 180.574676 181.574676 182.574676 183.574676 184.574676 185.574676 186.574676 187.574676 188.574676 189.574676 190.574676 191.574676 192.574676 193.574676 194.574676 195.574676 196.574676 197.574676 198.574676 199.574676 200.574676 201.574676 202.574676 203.574676 204.574676 205.574676 206.574676 207.574676 208.574676 209.574676 210.574676 211.574676 212.574676 213.574676 214.574676 215.574676 216.574676 217.574676 218.574676 219.574676 220.574676 221.574676 222.574676 223.574676 224.574676 225.574676 226.574676 227.574676 228.574676 229.574676 230.574676 231.574676 232.574676 233.574676 234.574676 235.574676 236.574676 237.574676 238.574676 239.574676 240.574676 241.574676 242.574676 243.574676 244.574676 245.574676 246.574676 247.574676 248.574676 249.574676 250.574676 
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Ti0 Ti1 Ti2 Ti3 Ti4
4.401e+02 1.147537e-26 1.747062e-18 1.858061e-11 1.524030e-05 9.999848e-01
8.862e+02 1.147537e-26 1.747062e-18 1.858061e-11 1.524030e-05 9.999848e-01
9.061e+02 1.147537e-26 1.747062e-18 1.858061e-11 1.524030e-05 9.999848e-01
9.444e+02 1.147537e-26 1.747062e-18 1.858061e-11 1.524030e-05 9.999848e-01
9.991e+02 1.146651e-26 1.745933e-18 1.857207e-11 1.523607e-05 9.999848e-01
1.061e+03 1.143929e-26 1.742431e-18 1.854547e-11 1.522273e-05 9.999848e-01
1.126e+03 1.135332e-26 1.731159e-18 1.845892e-11 1.517825e-05 9.999848e-01
1.194e+03 1.109793e-26 1.697028e-18 1.819367e-11 1.503862e-05 9.999850e-01
1.267e+03 9.976968e-27 1.548943e-18 1.703806e-11 1.443795e-05 9.999856e-01
1.345e+03 6.336243e-27 1.052959e-18 1.293860e-11 1.221228e-05 9.999878e-01
1.427e+03 2.520151e-27 4.832718e-19 7.469766e-12 8.843175e-06 9.999912e-01
1.514e+03 8.867710e-28 2.024285e-19 4.080031e-12 6.318500e-06 9.999937e-01
1.607e+03 3.554501e-28 9.550292e-20 2.435318e-12 4.810188e-06 9.999952e-01
1.705e+03 1.629283e-28 5.023163e-20 1.569416e-12 3.844111e-06 9.999962e-01
1.809e+03 7.360123e-29 2.607268e-20 1.004230e-12 3.087736e-06 9.999969e-01
1.919e+03 3.121852e-29 1.289665e-20 6.235246e-13 2.466666e-06 9.999975e-01
2.037e+03 1.285922e-29 6.237831e-21 3.821706e-13 1.977322e-06 9.999980e-01
2.161e+03 5.021105e-30 2.904354e-21 2.288302e-13 1.580010e-06 9.999984e-01
2.293e+03 1.779184e-30 1.262024e-21 1.310790e-13 1.242294e-06 9.999988e-01
2.433e+03 6.284139e-31 5.483457e-22 7.518498e-14 9.826368e-07 9.999990e-01
2.582e+03 2.577440e-31 2.683520e-22 4.673118e-14 8.087826e-07 9.999992e-01
2.739e+03 1.310747e-31 1.561466e-22 3.260982e-14 6.996889e-07 9.999993e-01
2.907e+03 7.799868e-32 1.036228e-22 2.483376e-14 6.243550e-07 9.999994e-01
3.084e+03 5.089663e-32 7.483024e-23 1.999440e-14 5.635459e-07 9.999994e-01
3.273e+03 3.776651e-32 6.043508e-23 1.733128e-14 5.188818e-07 9.999995e-01
3.472e+03 3.248204e-32 5.519332e-23 1.629818e-14 4.913686e-07 9.999995e-01
3.685e+03 3.111821e-32 5.537981e-23 1.631612e-14 4.743980e-07 9.999995e-01
3.910e+03 2.967697e-32 5.603261e-23 1.643218e-14 4.559357e-07 9.999995e-01
4.148e+03 3.569142e-32 6.694046e-23 1.850342e-14 4.685032e-07 9.999995e-01
4.402e+03 4.863907e-32 8.581929e-23 2.184217e-14 5.028453e-07 9.999995e-01
