#NTIMES:    65
#NSTAGES:     2
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           v0           v1
    8.772128E+02   6.7146E-007   1.0000E+000
    8.826573E+02   6.7146E-007   1.0000E+000
    8.991942E+02   6.7146E-007   1.0000E+000
    9.332033E+02   6.7146E-007   1.0000E+000
    9.912889E+02   6.7146E-007   1.0000E+000
    1.052238E+03   6.7146E-007   1.0000E+000
    1.116940E+03   6.7154E-007   1.0000E+000
    1.185621E+03   6.7242E-007   1.0000E+000
    1.258525E+03   6.7424E-007   1.0000E+000
    1.335911E+03   6.7957E-007   1.0000E+000
    1.418056E+03   6.8614E-007   1.0000E+000
    1.505253E+03   5.1360E-007   1.0000E+000
    1.597810E+03   5.0260E-007   1.0000E+000
    1.696060E+03   4.3776E-007   1.0000E+000
    1.800350E+03   4.3839E-007   1.0000E+000
    1.911054E+03   3.6259E-007   1.0000E+000
    2.028564E+03   3.4613E-007   1.0000E+000
    2.153300E+03   2.9697E-007   1.0000E+000
    2.285707E+03   2.5119E-007   1.0000E+000
    2.426255E+03   2.1625E-007   1.0000E+000
    2.575445E+03   1.7765E-007   1.0000E+000
    2.733809E+03   1.5969E-007   1.0000E+000
    2.901910E+03   1.4491E-007   1.0000E+000
    3.080349E+03   1.2864E-007   1.0000E+000
    3.269759E+03   1.1561E-007   1.0000E+000
    3.470816E+03   1.0566E-007   1.0000E+000
    3.684237E+03   9.5249E-008   1.0000E+000
    3.910780E+03   8.3413E-008   1.0000E+000
    4.151254E+03   7.4685E-008   1.0000E+000
    4.406514E+03   7.7542E-008   1.0000E+000
    4.677470E+03   7.4496E-008   1.0000E+000
    4.965088E+03   6.1390E-008   1.0000E+000
    5.270391E+03   5.6245E-008   1.0000E+000
    5.594466E+03   5.3486E-008   1.0000E+000
    5.938470E+03   5.1250E-008   1.0000E+000
    6.303626E+03   4.8457E-008   1.0000E+000
