#NTIMES: 110 
#time[d] Lbol[erg/s] Edep[erg/s] 
2.04 1.80e+40 3.65e+43 
2.11 3.33e+40 3.66e+43 
2.19 4.02e+40 3.59e+43 
2.28 5.85e+40 3.58e+43 
2.36 6.01e+40 3.58e+43 
2.45 7.55e+40 3.54e+43 
2.54 1.07e+41 3.50e+43 
2.64 1.26e+41 3.44e+43 
2.74 1.12e+41 3.41e+43 
2.84 1.25e+41 3.38e+43 
2.95 1.62e+41 3.36e+43 
3.06 1.86e+41 3.31e+43 
3.17 2.00e+41 3.28e+43 
3.29 2.46e+41 3.24e+43 
3.41 2.76e+41 3.23e+43 
3.54 3.18e+41 3.20e+43 
3.68 3.69e+41 3.15e+43 
3.81 4.10e+41 3.11e+43 
3.96 4.74e+41 3.07e+43 
4.11 5.47e+41 3.03e+43 
4.26 6.18e+41 2.98e+43 
4.42 6.84e+41 2.95e+43 
4.59 7.58e+41 2.89e+43 
4.76 8.35e+41 2.86e+43 
4.94 9.69e+41 2.82e+43 
5.12 1.08e+42 2.77e+43 
5.32 1.15e+42 2.73e+43 
5.52 1.32e+42 2.69e+43 
5.72 1.45e+42 2.66e+43 
5.94 1.60e+42 2.59e+43 
6.16 1.76e+42 2.55e+43 
6.39 1.95e+42 2.50e+43 
6.63 2.13e+42 2.44e+43 
6.88 2.35e+42 2.40e+43 
7.14 2.56e+42 2.35e+43 
7.41 2.84e+42 2.30e+43 
7.69 3.10e+42 2.26e+43 
7.98 3.39e+42 2.21e+43 
8.28 3.70e+42 2.16e+43 
8.59 4.00e+42 2.11e+43 
8.91 4.30e+42 2.04e+43 
9.24 4.65e+42 2.00e+43 
9.59 5.02e+42 1.94e+43 
9.95 5.40e+42 1.89e+43 
10.33 5.75e+42 1.84e+43 
10.71 6.15e+42 1.79e+43 
11.12 6.55e+42 1.73e+43 
11.53 6.92e+42 1.69e+43 
11.97 7.29e+42 1.64e+43 
12.42 7.70e+42 1.58e+43 
12.88 8.03e+42 1.53e+43 
13.37 8.46e+42 1.47e+43 
13.87 8.73e+42 1.43e+43 
14.39 9.14e+42 1.38e+43 
14.93 9.43e+42 1.33e+43 
15.49 9.76e+42 1.28e+43 
16.07 9.98e+42 1.24e+43 
16.68 1.02e+43 1.18e+43 
17.30 1.04e+43 1.13e+43 
17.95 1.05e+43 1.09e+43 
18.63 1.06e+43 1.05e+43 
19.33 1.06e+43 9.99e+42 
20.06 1.06e+43 9.58e+42 
20.81 1.05e+43 9.15e+42 
21.59 1.04e+43 8.73e+42 
22.40 1.03e+43 8.34e+42 
23.24 1.01e+43 7.90e+42 
24.12 9.85e+42 7.53e+42 
25.02 9.54e+42 7.18e+42 
25.96 9.26e+42 6.81e+42 
26.94 8.87e+42 6.48e+42 
27.95 8.54e+42 6.15e+42 
29.00 8.17e+42 5.82e+42 
30.09 7.80e+42 5.54e+42 
31.22 7.34e+42 5.23e+42 
32.40 6.97e+42 4.98e+42 
33.61 6.66e+42 4.70e+42 
34.88 6.32e+42 4.44e+42 
36.19 5.94e+42 4.18e+42 
37.55 5.59e+42 3.95e+42 
38.96 5.22e+42 3.72e+42 
40.42 4.83e+42 3.53e+42 
41.94 4.40e+42 3.28e+42 
43.52 3.99e+42 3.09e+42 
45.15 3.57e+42 2.92e+42 
46.85 3.13e+42 2.73e+42 
48.61 2.81e+42 2.57e+42 
50.43 2.56e+42 2.43e+42 
52.33 2.31e+42 2.26e+42 
54.30 2.11e+42 2.10e+42 
56.34 1.96e+42 1.97e+42 
58.45 1.81e+42 1.84e+42 
60.65 1.68e+42 1.71e+42 
62.93 1.57e+42 1.60e+42 
65.29 1.48e+42 1.49e+42 
67.75 1.37e+42 1.37e+42 
70.29 1.27e+42 1.28e+42 
72.93 1.17e+42 1.18e+42 
75.67 1.10e+42 1.10e+42 
78.52 1.02e+42 1.02e+42 
81.47 9.50e+41 9.34e+41 
84.53 8.83e+41 8.66e+41 
87.70 8.15e+41 7.94e+41 
91.00 7.50e+41 7.28e+41 
94.42 6.87e+41 6.72e+41 
97.97 6.31e+41 6.18e+41 
101.65 5.62e+41 5.69e+41 
105.47 2.99e+41 5.19e+41 
109.43 1.34e+40 4.76e+41 
113.54 2.01e+37 4.39e+41 
