#NTIMES: 49
#time[d] Lbol[erg/s] Edep[erg/s] 
199.16 1.02e+41 1.01e+41
202.03 9.84e+40 9.67e+40
204.93 9.43e+40 9.28e+40
207.87 9.08e+40 8.92e+40
210.86 8.73e+40 8.57e+40
213.89 8.39e+40 8.23e+40
216.97 8.06e+40 7.92e+40
220.09 7.70e+40 7.60e+40
223.25 7.42e+40 7.29e+40
226.46 7.12e+40 7.00e+40
229.71 6.83e+40 6.72e+40
233.01 6.55e+40 6.45e+40
236.36 6.28e+40 6.19e+40
239.76 6.02e+40 5.92e+40
243.21 5.77e+40 5.69e+40
246.70 5.53e+40 5.45e+40
250.25 5.30e+40 5.23e+40
253.85 5.06e+40 5.01e+40
257.50 4.86e+40 4.79e+40
261.20 4.65e+40 4.58e+40
264.95 4.45e+40 4.40e+40
268.76 4.26e+40 4.19e+40
272.62 4.08e+40 4.01e+40
276.54 3.88e+40 3.84e+40
280.51 3.71e+40 3.67e+40
284.55 3.55e+40 3.50e+40
288.64 3.39e+40 3.35e+40
292.79 3.24e+40 3.20e+40
296.99 3.10e+40 3.06e+40
301.26 2.95e+40 2.92e+40
305.59 2.81e+40 2.78e+40
