#NTIMES:  59
#time[d] Lbol[erg/s] Edep[erg/s]
9.76000e-01 8.58490e+39 6.66390e+43
1.07400e+00 1.22733e+40 6.29216e+43
1.18100e+00 1.74403e+40 5.94798e+43
1.30000e+00 2.49300e+40 5.62273e+43
1.43000e+00 3.51453e+40 5.32793e+43
1.57300e+00 4.90410e+40 5.06868e+43
1.73000e+00 6.80064e+40 4.82799e+43
1.90000e+00 9.21685e+40 4.61951e+43
2.09000e+00 1.24531e+41 4.43387e+43
2.30000e+00 1.67176e+41 4.25348e+43
2.53000e+00 2.23179e+41 4.10974e+43
2.78300e+00 3.00785e+41 3.95631e+43
3.06100e+00 4.02812e+41 3.82587e+43
3.36700e+00 5.45440e+41 3.69646e+43
3.70400e+00 7.38068e+41 3.56809e+43
4.07400e+00 9.98053e+41 3.44392e+43
4.48100e+00 1.33083e+42 3.31242e+43
4.92900e+00 1.76480e+42 3.18370e+43
5.42200e+00 2.32777e+42 3.05119e+43
5.96400e+00 3.04270e+42 2.90750e+43
6.56000e+00 3.92110e+42 2.77126e+43
7.21600e+00 4.94677e+42 2.62980e+43
7.93800e+00 6.09119e+42 2.48664e+43
8.73200e+00 7.33614e+42 2.34243e+43
9.60000e+00 8.60160e+42 2.19453e+43
1.05600e+01 9.82647e+42 2.04749e+43
1.16200e+01 1.09490e+43 1.90541e+43
1.27800e+01 1.18762e+43 1.76932e+43
1.40600e+01 1.29396e+43 1.59204e+43
1.54700e+01 1.33230e+43 1.44308e+43
1.70200e+01 1.39234e+43 1.30636e+43
1.87200e+01 1.35077e+43 1.16773e+43
2.05900e+01 1.29049e+43 1.04208e+43
2.26500e+01 1.20606e+43 9.19591e+42
2.49100e+01 1.08738e+43 8.11047e+42
2.74000e+01 9.38084e+42 7.05499e+42
3.01400e+01 7.81900e+42 6.13625e+42
3.31500e+01 6.53841e+42 5.31925e+42
3.64600e+01 5.75926e+42 4.58653e+42
4.01100e+01 5.23328e+42 3.92115e+42
4.41200e+01 4.38807e+42 3.35024e+42
4.85300e+01 3.37889e+42 2.83606e+42
5.33800e+01 2.66013e+42 2.39106e+42
5.87200e+01 2.15159e+42 2.00301e+42
6.45900e+01 1.76062e+42 1.66622e+42
7.10500e+01 1.44344e+42 1.36847e+42
7.82000e+01 1.17843e+42 1.11580e+42
8.60000e+01 9.57630e+41 9.02458e+41
9.46000e+01 7.72012e+41 7.24729e+41
1.04100e+02 6.20665e+41 5.84188e+41
1.14500e+02 4.91432e+41 4.61343e+41
1.26000e+02 3.85626e+41 3.64158e+41
1.38600e+02 3.03459e+41 2.87196e+41
1.52500e+02 2.34930e+41 2.25109e+41
1.67800e+02 1.79734e+41 1.74838e+41
1.84600e+02 1.36573e+41 1.35128e+41
2.03100e+02 1.03088e+41 1.03902e+41
2.23400e+02 7.72413e+40 7.94553e+40
2.45700e+02 5.72007e+40 6.01757e+40
