#NTIMES: 797
#time[d] Lbol[erg/s] Edep[erg/s]
9.760116e-01 8.3190e+39 4.3880e+43
9.760346e-01 8.3080e+39 4.3880e+43
9.760804e-01 8.2820e+39 4.3880e+43
9.761717e-01 8.2310e+39 4.3880e+43
9.763532e-01 8.1340e+39 4.3880e+43
9.767144e-01 7.9430e+39 4.3880e+43
9.774332e-01 7.6090e+39 4.3870e+43
9.786919e-01 7.1180e+39 4.3870e+43
9.800941e-01 6.6570e+39 4.3860e+43
9.816424e-01 6.2270e+39 4.3860e+43
9.833498e-01 5.8290e+39 4.3850e+43
9.852310e-01 5.4580e+39 4.3840e+43
9.873022e-01 5.1120e+39 4.3830e+43
9.895807e-01 4.7940e+39 4.3830e+43
9.920854e-01 4.4960e+39 4.3820e+43
9.948358e-01 4.2190e+39 4.3800e+43
9.978522e-01 3.9620e+39 4.3790e+43
1.001155e+00 3.7340e+39 4.3780e+43
1.004767e+00 3.5130e+39 4.3760e+43
1.008707e+00 3.3080e+39 4.3750e+43
1.012997e+00 3.1260e+39 4.3730e+43
1.017659e+00 2.9500e+39 4.3710e+43
1.022712e+00 2.7950e+39 4.3690e+43
1.028176e+00 2.6530e+39 4.3670e+43
1.034071e+00 2.5150e+39 4.3640e+43
1.040415e+00 2.3860e+39 4.3620e+43
1.047227e+00 2.2760e+39 4.3590e+43
1.054525e+00 2.1660e+39 4.3560e+43
1.062326e+00 2.0640e+39 4.3530e+43
1.070650e+00 1.9690e+39 4.3500e+43
1.079517e+00 1.8920e+39 4.3460e+43
1.088949e+00 1.8110e+39 4.3420e+43
1.098973e+00 1.7370e+39 4.3380e+43
1.109623e+00 1.6790e+39 4.3340e+43
1.120937e+00 1.6160e+39 4.3300e+43
1.132941e+00 1.5580e+39 4.3250e+43
1.145719e+00 1.5070e+39 4.3200e+43
1.159399e+00 1.4160e+39 4.3140e+43
1.173821e+00 1.3750e+39 4.3090e+43
1.189031e+00 1.3400e+39 4.3030e+43
1.205275e+00 1.3160e+39 4.2960e+43
1.222314e+00 1.2650e+39 4.2890e+43
1.240099e+00 1.2890e+39 4.2820e+43
1.258790e+00 1.3340e+39 4.2750e+43
1.278182e+00 1.4060e+39 4.2670e+43
1.298187e+00 1.4790e+39 4.2600e+43
1.318591e+00 1.6170e+39 4.2520e+43
1.339474e+00 1.8270e+39 4.2430e+43
1.360595e+00 2.0510e+39 4.2350e+43
1.381779e+00 2.3230e+39 4.2270e+43
1.403151e+00 2.6880e+39 4.2190e+43
1.424547e+00 3.0670e+39 4.2110e+43
1.444736e+00 3.6070e+39 4.2030e+43
1.464160e+00 4.1460e+39 4.1950e+43
1.483224e+00 4.7720e+39 4.1880e+43
1.502187e+00 5.2850e+39 4.1810e+43
1.521243e+00 5.8590e+39 4.1730e+43
1.540545e+00 6.4990e+39 4.1660e+43
1.560226e+00 7.2120e+39 4.1590e+43
1.580401e+00 8.0070e+39 4.1510e+43
1.601180e+00 8.8950e+39 4.1430e+43
1.622670e+00 9.8870e+39 4.1350e+43
1.644977e+00 1.0990e+40 4.1260e+43
1.668211e+00 1.2240e+40 4.1180e+43
1.692484e+00 1.3480e+40 4.1090e+43
1.717913e+00 1.5060e+40 4.0990e+43
1.744622e+00 1.6820e+40 4.0890e+43
1.772742e+00 1.8810e+40 4.0790e+43
1.801940e+00 2.1020e+40 4.0680e+43
1.831655e+00 2.3420e+40 4.0570e+43
1.861875e+00 2.6030e+40 4.0460e+43
1.892608e+00 2.8870e+40 4.0340e+43
1.923864e+00 3.1950e+40 4.0230e+43
1.955650e+00 3.5430e+40 4.0110e+43
1.987977e+00 3.9020e+40 4.0000e+43
2.020852e+00 4.2900e+40 3.9880e+43
2.054286e+00 4.7100e+40 3.9760e+43
2.088288e+00 5.1640e+40 3.9640e+43
2.122868e+00 5.6540e+40 3.9510e+43
2.158035e+00 6.2050e+40 3.9390e+43
2.193799e+00 6.7770e+40 3.9260e+43
2.230171e+00 7.3940e+40 3.9130e+43
2.267160e+00 8.0590e+40 3.9000e+43
2.304778e+00 8.7710e+40 3.8870e+43
2.343035e+00 9.5390e+40 3.8730e+43
2.381941e+00 1.0370e+41 3.8600e+43
2.421509e+00 1.1260e+41 3.8460e+43
2.461748e+00 1.2220e+41 3.8320e+43
2.502671e+00 1.3270e+41 3.8180e+43
2.544290e+00 1.4390e+41 3.8040e+43
2.586615e+00 1.5580e+41 3.7900e+43
2.629659e+00 1.6870e+41 3.7750e+43
2.673434e+00 1.8250e+41 3.7600e+43
2.717939e+00 1.9720e+41 3.7450e+43
2.763168e+00 2.1300e+41 3.7300e+43
2.809133e+00 2.2990e+41 3.7150e+43
2.855846e+00 2.4800e+41 3.7000e+43
2.903318e+00 2.6740e+41 3.6840e+43
2.951562e+00 2.8820e+41 3.6680e+43
3.000592e+00 3.1030e+41 3.6530e+43
3.050420e+00 3.3400e+41 3.6360e+43
3.101059e+00 3.5930e+41 3.6200e+43
3.152524e+00 3.8630e+41 3.6040e+43
3.204827e+00 4.1480e+41 3.5870e+43
3.257982e+00 4.4520e+41 3.5700e+43
3.312004e+00 4.7750e+41 3.5530e+43
3.366907e+00 5.1190e+41 3.5360e+43
3.422706e+00 5.4840e+41 3.5190e+43
3.479416e+00 5.8720e+41 3.5010e+43
3.537052e+00 6.2840e+41 3.4840e+43
3.595629e+00 6.7220e+41 3.4660e+43
3.655163e+00 7.1850e+41 3.4480e+43
3.715671e+00 7.6770e+41 3.4300e+43
3.777168e+00 8.1970e+41 3.4110e+43
3.839671e+00 8.7460e+41 3.3930e+43
3.903196e+00 9.3240e+41 3.3740e+43
3.967762e+00 9.9350e+41 3.3550e+43
4.033386e+00 1.0580e+42 3.3360e+43
4.100085e+00 1.1260e+42 3.3170e+43
4.167878e+00 1.1970e+42 3.2980e+43
4.236782e+00 1.2730e+42 3.2780e+43
4.306817e+00 1.3520e+42 3.2590e+43
4.378001e+00 1.4350e+42 3.2390e+43
4.450355e+00 1.5230e+42 3.2190e+43
4.523897e+00 1.6140e+42 3.1980e+43
4.598647e+00 1.7100e+42 3.1780e+43
4.674627e+00 1.8100e+42 3.1580e+43
4.751856e+00 1.9140e+42 3.1370e+43
4.830357e+00 2.0230e+42 3.1160e+43
4.910149e+00 2.1360e+42 3.0950e+43
4.991256e+00 2.2550e+42 3.0740e+43
5.073698e+00 2.3780e+42 3.0520e+43
5.157500e+00 2.5070e+42 3.0310e+43
5.242683e+00 2.6400e+42 3.0090e+43
5.329270e+00 2.7790e+42 2.9870e+43
5.417287e+00 2.9230e+42 2.9660e+43
5.506756e+00 3.0700e+42 2.9430e+43
5.597703e+00 3.2230e+42 2.9210e+43
5.690152e+00 3.3800e+42 2.8990e+43
5.784129e+00 3.5430e+42 2.8760e+43
5.879659e+00 3.7110e+42 2.8530e+43
5.976769e+00 3.8850e+42 2.8310e+43
6.075486e+00 4.0630e+42 2.8080e+43
6.175836e+00 4.2460e+42 2.7850e+43
6.277848e+00 4.4350e+42 2.7610e+43
6.381549e+00 4.6280e+42 2.7380e+43
6.486968e+00 4.8240e+42 2.7150e+43
6.594135e+00 5.0240e+42 2.6910e+43
6.703078e+00 5.2290e+42 2.6670e+43
6.813828e+00 5.4380e+42 2.6430e+43
6.926415e+00 5.6520e+42 2.6190e+43
7.040871e+00 5.8690e+42 2.5950e+43
7.157226e+00 6.0890e+42 2.5710e+43
7.275513e+00 6.3140e+42 2.5470e+43
7.395765e+00 6.5410e+42 2.5220e+43
7.518015e+00 6.7690e+42 2.4980e+43
7.642296e+00 6.9990e+42 2.4730e+43
7.768643e+00 7.2320e+42 2.4490e+43
7.897091e+00 7.4660e+42 2.4240e+43
8.027674e+00 7.7020e+42 2.3990e+43
8.160430e+00 7.9400e+42 2.3740e+43
8.295395e+00 8.1780e+42 2.3490e+43
8.432606e+00 8.4150e+42 2.3240e+43
8.572101e+00 8.6500e+42 2.2990e+43
8.713919e+00 8.8850e+42 2.2730e+43
8.858098e+00 9.1200e+42 2.2480e+43
9.004680e+00 9.3530e+42 2.2230e+43
9.153703e+00 9.5850e+42 2.1970e+43
9.305210e+00 9.8130e+42 2.1720e+43
9.459225e+00 1.0040e+43 2.1460e+43
9.615582e+00 1.0260e+43 2.1210e+43
9.774299e+00 1.0480e+43 2.0950e+43
9.935400e+00 1.0690e+43 2.0700e+43
1.009891e+01 1.0900e+43 2.0440e+43
1.026486e+01 1.1110e+43 2.0190e+43
1.043326e+01 1.1310e+43 1.9930e+43
