#NTIMES: 248
#time[d] Lbol[erg/s] Edep[erg/s]
2.5 1.76992e+41 3.96157e+43
3.5 4.69993e+41 3.63531e+43
4.5 9.75210e+41 3.34252e+43
5.5 1.73434e+42 3.07824e+43
6.5 2.77135e+42 2.84024e+43
7.5 4.04541e+42 2.62303e+43
8.5 5.55163e+42 2.42729e+43
9.5 7.05140e+42 2.24885e+43
10.5 8.55961e+42 2.08500e+43
11.5 1.00413e+43 1.93244e+43
12.5 1.13336e+43 1.79287e+43
13.5 1.23970e+43 1.66453e+43
14.5 1.31822e+43 1.54872e+43
15.5 1.36979e+43 1.44313e+43
16.5 1.39620e+43 1.34624e+43
17.5 1.40380e+43 1.25991e+43
18.5 1.39141e+43 1.17985e+43
19.5 1.36371e+43 1.10580e+43
20.5 1.32374e+43 1.03915e+43
21.5 1.27611e+43 9.78007e+42
22.5 1.22271e+43 9.22449e+42
23.5 1.16600e+43 8.70655e+42
24.5 1.10804e+43 8.23216e+42
25.5 1.04304e+43 7.79417e+42
26.5 9.75378e+42 7.39038e+42
27.5 9.08436e+42 7.02162e+42
28.5 8.45449e+42 6.67593e+42
29.5 7.87394e+42 6.35960e+42
30.5 7.36039e+42 6.06297e+42
31.5 6.94226e+42 5.78476e+42
32.5 6.59317e+42 5.53306e+42
33.5 6.29949e+42 5.28856e+42
34.5 6.05039e+42 5.06159e+42
35.5 5.84361e+42 4.85082e+42
36.5 5.66208e+42 4.65274e+42
37.5 5.46777e+42 4.46878e+42
38.5 5.30807e+42 4.29159e+42
39.5 5.15190e+42 4.12501e+42
40.5 4.97803e+42 3.96901e+42
41.5 4.81544e+42 3.81615e+42
42.5 4.63483e+42 3.67590e+42
43.5 4.47037e+42 3.54360e+42
44.5 4.28218e+42 3.41082e+42
45.5 4.09343e+42 3.29409e+42
46.5 3.88741e+42 3.17731e+42
47.5 3.70494e+42 3.06498e+42
48.5 3.51526e+42 2.96462e+42
49.5 3.34043e+42 2.85958e+42
50.5 3.16970e+42 2.76728e+42
51.5 3.01815e+42 2.67385e+42
52.5 2.86416e+42 2.58477e+42
53.5 2.72670e+42 2.50400e+42
54.5 2.59829e+42 2.42212e+42
55.5 2.48604e+42 2.34605e+42
56.5 2.38400e+42 2.27035e+42
57.5 2.28014e+42 2.19684e+42
58.5 2.19708e+42 2.12599e+42
59.5 2.11731e+42 2.06456e+42
60.5 2.03807e+42 2.00082e+42
61.5 1.96344e+42 1.93656e+42
62.5 1.89990e+42 1.87738e+42
63.5 1.84352e+42 1.82511e+42
64.5 1.78170e+42 1.77045e+42
65.5 1.72550e+42 1.71733e+42
66.5 1.67086e+42 1.66621e+42
67.5 1.62142e+42 1.61364e+42
68.5 1.56959e+42 1.56790e+42
69.5 1.52663e+42 1.52338e+42
70.5 1.47259e+42 1.48159e+42
71.5 1.43781e+42 1.43938e+42
72.5 1.39837e+42 1.39656e+42
73.5 1.35235e+42 1.35432e+42
74.5 1.31423e+42 1.31627e+42
75.5 1.27391e+42 1.28158e+42
76.5 1.24132e+42 1.24864e+42
77.5 1.20334e+42 1.21467e+42
78.5 1.17590e+42 1.18029e+42
79.5 1.14370e+42 1.14944e+42
80.5 1.10982e+42 1.12029e+42
81.5 1.08089e+42 1.08927e+42
82.5 1.05450e+42 1.05936e+42
83.5 1.02595e+42 1.03054e+42
84.5 9.99188e+41 1.00438e+42
85.5 9.75529e+41 9.78921e+41
86.5 9.47213e+41 9.52625e+41
87.5 9.25520e+41 9.30202e+41
88.5 9.04919e+41 9.06687e+41
89.5 8.83523e+41 8.82024e+41
90.5 8.65966e+41 8.62134e+41
91.5 8.46249e+41 8.40982e+41
92.5 8.22376e+41 8.18620e+41
93.5 8.09370e+41 7.98711e+41
94.5 7.89200e+41 7.77668e+41
95.5 7.72652e+41 7.59500e+41
96.5 7.57274e+41 7.44195e+41
97.5 7.41280e+41 7.25743e+41
98.5 7.25232e+41 7.07274e+41
99.5 7.12294e+41 6.90273e+41
100.5 6.98866e+41 6.73587e+41
101.5 6.89981e+41 6.58390e+41
102.5 6.77851e+41 6.42382e+41
103.5 6.63808e+41 6.27971e+41
104.5 6.53774e+41 6.14466e+41
105.5 6.40770e+41 5.99852e+41
106.5 6.28826e+41 5.86451e+41
107.5 6.18180e+41 5.72385e+41
108.5 6.05722e+41 5.58790e+41
109.5 5.95026e+41 5.46382e+41
110.5 5.86821e+41 5.35035e+41
111.5 5.73785e+41 5.24158e+41
112.5 5.63178e+41 5.14548e+41
113.5 5.52685e+41 5.01298e+41
114.5 5.40431e+41 4.89859e+41
115.5 5.27036e+41 4.81156e+41
116.5 5.16655e+41 4.70758e+41
117.5 5.04375e+41 4.60814e+41
118.5 4.90304e+41 4.51381e+41
119.5 4.76174e+41 4.41763e+41
120.5 4.66773e+41 4.32252e+41
121.5 4.55019e+41 4.22909e+41
122.5 4.42801e+41 4.14307e+41
123.5 4.34149e+41 4.05238e+41
124.5 4.22717e+41 3.98057e+41
125.5 4.13200e+41 3.90546e+41
126.5 4.04799e+41 3.82173e+41
127.5 3.93694e+41 3.74899e+41
128.5 3.86740e+41 3.68216e+41
129.5 3.76921e+41 3.60565e+41
