#NTIMES: 190
#time[d] Lbol[erg/s] Edep[erg/s]
1.1340e+00 7.6496e+39 3.9697e+43
1.4501e+00 3.9913e+39 3.8587e+43
1.7662e+00 1.2733e+40 3.7498e+43
2.0823e+00 3.5032e+40 3.6448e+43
2.3984e+00 6.7320e+40 3.5433e+43
2.7145e+00 1.1196e+41 3.4454e+43
3.0306e+00 1.6679e+41 3.3508e+43
3.3467e+00 2.4182e+41 3.2595e+43
3.6628e+00 3.3213e+41 3.1714e+43
3.9789e+00 4.5812e+41 3.0862e+43
4.2950e+00 5.8684e+41 3.0040e+43
4.6111e+00 7.5196e+41 2.9245e+43
4.9272e+00 9.3448e+41 2.8477e+43
5.2433e+00 1.1649e+42 2.7734e+43
5.5594e+00 1.4251e+42 2.7016e+43
5.8755e+00 1.7193e+42 2.6322e+43
6.1916e+00 2.0230e+42 2.5650e+43
6.5077e+00 2.3864e+42 2.4999e+43
6.8238e+00 2.7768e+42 2.4369e+43
7.1399e+00 3.1944e+42 2.3759e+43
7.4560e+00 3.6233e+42 2.3168e+43
7.7721e+00 4.0706e+42 2.2595e+43
8.0882e+00 4.5632e+42 2.2039e+43
8.4043e+00 5.0147e+42 2.1500e+43
8.7204e+00 5.5550e+42 2.0978e+43
9.0364e+00 6.0671e+42 2.0469e+43
9.3525e+00 6.5670e+42 1.9977e+43
9.6686e+00 7.0188e+42 1.9499e+43
9.9847e+00 7.4654e+42 1.9035e+43
1.0301e+01 7.8621e+42 1.8585e+43
1.0617e+01 8.3311e+42 1.8146e+43
1.0933e+01 8.7106e+42 1.7722e+43
1.1249e+01 9.0824e+42 1.7308e+43
1.1565e+01 9.4412e+42 1.6905e+43
1.1881e+01 9.8457e+42 1.6515e+43
1.2197e+01 1.0095e+43 1.6136e+43
1.2514e+01 1.0447e+43 1.5767e+43
1.2830e+01 1.0661e+43 1.5410e+43
1.3146e+01 1.0955e+43 1.5060e+43
1.3462e+01 1.1173e+43 1.4723e+43
1.3778e+01 1.1366e+43 1.4392e+43
1.4094e+01 1.1549e+43 1.4074e+43
1.4410e+01 1.1663e+43 1.3761e+43
1.4726e+01 1.1886e+43 1.3457e+43
1.5042e+01 1.1960e+43 1.3166e+43
1.5358e+01 1.2106e+43 1.2876e+43
1.5674e+01 1.2119e+43 1.2602e+43
1.5991e+01 1.2253e+43 1.2332e+43
1.6307e+01 1.2233e+43 1.2067e+43
1.6623e+01 1.2268e+43 1.1812e+43
1.6939e+01 1.2320e+43 1.1562e+43
1.7255e+01 1.2283e+43 1.1322e+43
1.7571e+01 1.2314e+43 1.1088e+43
1.7887e+01 1.2232e+43 1.0860e+43
1.8203e+01 1.2209e+43 1.0635e+43
1.8519e+01 1.2142e+43 1.0419e+43
1.8835e+01 1.2040e+43 1.0209e+43
1.9152e+01 1.2026e+43 9.9994e+42
1.9468e+01 1.1870e+43 9.8063e+42
1.9784e+01 1.1749e+43 9.6139e+42
2.0100e+01 1.1668e+43 9.4220e+42
2.0416e+01 1.1542e+43 9.2382e+42
2.0732e+01 1.1399e+43 9.0610e+42
2.1048e+01 1.1252e+43 8.8870e+42
2.1364e+01 1.1155e+43 8.7188e+42
2.1680e+01 1.1015e+43 8.5568e+42
2.1996e+01 1.0853e+43 8.3922e+42
2.2312e+01 1.0694e+43 8.2377e+42
