#NTIMES: 111
#NBANDS:   8
#OPTSET: Bessell
#NIRSET: 2MASS
#time[d] U B V R I J H K
2.04000e+00  99.999  -0.180 -10.084 -11.946 -12.337 -13.538 -14.198 -13.903
2.11000e+00  99.999  -3.003 -12.003 -13.131 -13.362 -14.169 -14.118 -13.553
2.19000e+00  -7.479 -10.040 -12.399 -13.376 -13.458 -14.140 -15.048 -14.748
2.28000e+00  -6.849 -10.638 -13.105 -14.014 -13.701 -14.541 -15.418 -15.115
2.36000e+00  -7.220 -11.771 -13.123 -13.936 -13.823 -14.349 -15.044 -14.271
2.45000e+00  99.999 -11.540 -13.650 -14.174 -14.083 -14.735 -14.990 -15.610
2.54000e+00  -5.485 -12.110 -13.919 -14.551 -14.804 -14.984 -15.382 -15.588
2.64000e+00 -10.078 -12.279 -13.983 -14.891 -14.808 -15.235 -15.307 -15.756
2.74000e+00  -9.758 -12.221 -14.158 -14.727 -14.659 -15.125 -15.294 -15.331
2.84000e+00  -0.542 -12.200 -14.095 -14.758 -14.758 -15.407 -14.745 -15.423
2.95000e+00 -10.287 -12.968 -14.539 -15.044 -14.767 -15.795 -15.490 -15.810
3.06000e+00 -10.372 -13.171 -14.719 -15.171 -15.097 -15.610 -16.024 -16.022
3.17000e+00 -10.610 -13.343 -14.895 -15.191 -15.130 -15.785 -15.757 -15.883
3.29000e+00 -11.299 -13.595 -14.996 -15.410 -15.305 -16.025 -16.066 -16.114
3.41000e+00 -12.282 -13.568 -15.150 -15.600 -15.509 -15.901 -15.999 -16.308
3.54000e+00 -12.029 -13.865 -15.374 -15.814 -15.555 -16.191 -16.115 -16.245
3.68000e+00 -12.748 -14.217 -15.477 -15.915 -15.744 -16.170 -16.389 -16.139
3.81000e+00 -12.737 -14.311 -15.646 -16.065 -15.877 -16.385 -16.586 -16.315
3.96000e+00 -13.176 -14.469 -15.877 -16.173 -16.087 -16.541 -16.489 -16.476
4.11000e+00 -13.430 -14.690 -15.991 -16.357 -16.212 -16.655 -16.555 -16.388
