#NTIMES: 190
#NBANDS:   8
#OPTSET: Bessell
#NIRSET: 2MASS
#time[d] U B V R I J H K
1.13405e+00  -5.579  -7.185  -9.360 -10.632 -11.372 -12.747 -13.375 -13.821
1.45014e+00  -2.463  -5.671  -8.864 -10.471 -11.029 -12.064 -12.428 -12.624
1.76624e+00  -1.741  -5.961  -9.891 -11.777 -12.227 -13.358 -13.644 -14.018
2.08234e+00  -5.741  -8.926 -11.646 -13.111 -13.434 -14.297 -14.621 -14.725
2.39843e+00  -8.373 -11.376 -13.243 -14.068 -14.065 -14.794 -15.062 -15.064
2.71453e+00  -9.661 -12.488 -14.109 -14.647 -14.548 -15.221 -15.314 -15.344
3.03062e+00 -10.700 -13.143 -14.680 -15.072 -14.914 -15.544 -15.642 -15.681
3.34672e+00 -11.245 -13.575 -15.157 -15.480 -15.289 -15.864 -15.933 -16.047
3.66282e+00 -11.720 -14.043 -15.500 -15.798 -15.652 -16.160 -16.196 -16.263
3.97891e+00 -12.713 -14.522 -15.870 -16.099 -15.939 -16.479 -16.451 -16.637
4.29501e+00 -13.118 -14.891 -16.124 -16.348 -16.267 -16.663 -16.751 -16.753
4.61110e+00 -13.666 -15.270 -16.399 -16.619 -16.502 -16.852 -16.862 -17.064
4.92720e+00 -14.107 -15.619 -16.608 -16.827 -16.752 -17.080 -17.105 -17.116
5.24330e+00 -14.621 -15.940 -16.825 -17.039 -16.999 -17.251 -17.315 -17.347
5.55939e+00 -15.029 -16.263 -17.019 -17.228 -17.220 -17.466 -17.439 -17.420
5.87549e+00 -15.346 -16.541 -17.200 -17.411 -17.418 -17.729 -17.543 -17.573
6.19158e+00 -15.645 -16.836 -17.371 -17.545 -17.596 -17.740 -17.677 -17.695
6.50768e+00 -16.038 -17.075 -17.497 -17.722 -17.819 -17.799 -17.835 -17.909
6.82378e+00 -16.334 -17.287 -17.645 -17.866 -17.994 -17.913 -17.919 -17.974
7.13987e+00 -16.640 -17.499 -17.789 -17.984 -18.137 -18.009 -18.001 -18.116
7.45597e+00 -16.903 -17.648 -17.897 -18.129 -18.275 -18.120 -18.155 -18.183
7.77206e+00 -17.261 -17.800 -18.008 -18.226 -18.362 -18.148 -18.182 -18.248
8.08816e+00 -17.604 -17.935 -18.118 -18.327 -18.444 -18.246 -18.255 -18.288
8.40426e+00 -17.819 -18.059 -18.195 -18.414 -18.507 -18.309 -18.323 -18.365
8.72035e+00 -18.073 -18.161 -18.283 -18.504 -18.585 -18.391 -18.431 -18.441
9.03645e+00 -18.232 -18.272 -18.363 -18.583 -18.672 -18.417 -18.458 -18.491
9.35254e+00 -18.383 -18.350 -18.456 -18.666 -18.725 -18.491 -18.502 -18.587
9.66864e+00 -18.482 -18.432 -18.528 -18.721 -18.779 -18.564 -18.579 -18.643
9.98474e+00 -18.581 -18.498 -18.590 -18.788 -18.818 -18.596 -18.651 -18.670
1.03008e+01 -18.655 -18.563 -18.657 -18.832 -18.859 -18.637 -18.643 -18.673
1.06169e+01 -18.746 -18.621 -18.717 -18.895 -18.898 -18.692 -18.713 -18.800
1.09330e+01 -18.800 -18.675 -18.776 -18.946 -18.961 -18.738 -18.758 -18.790
1.12491e+01 -18.845 -18.731 -18.827 -18.987 -18.983 -18.755 -18.794 -18.788
1.15652e+01 -18.881 -18.780 -18.881 -19.035 -19.023 -18.802 -18.834 -18.805
1.18813e+01 -18.943 -18.830 -18.921 -19.069 -19.043 -18.831 -18.847 -18.859
1.21974e+01 -18.951 -18.869 -18.970 -19.099 -19.087 -18.870 -18.895 -18.902
1.25135e+01 -18.984 -18.906 -19.011 -19.136 -19.119 -18.848 -18.890 -18.929
1.28296e+01 -18.983 -18.938 -19.053 -19.165 -19.136 -18.897 -18.935 -18.934
1.31457e+01 -19.015 -18.970 -19.077 -19.191 -19.160 -18.891 -18.958 -19.004
