#NTIMES: 265
#TIMES[d]: 1.074 1.181 1.299 1.429 1.572 1.729 1.902 2.092 2.301 2.531 2.785 3.063 3.369 3.706 4.077 4.485 4.933 5.426 5.969 6.566 7.223 7.945 8.739 9.613 10.575 11.575 12.575 13.575 14.575 15.575 16.575 17.575 18.575 19.575 20.575 21.575 22.575 23.575 24.575 25.575 26.575 27.575 28.575 29.575 30.575 31.575 32.575 33.575 34.575 35.575 36.575 37.575 38.575 39.575 40.575 41.575 42.575 43.575 44.575 45.575 46.575 47.575 48.575 49.575 50.575 51.575 52.575 53.575 54.575 55.575 56.575 57.575 58.575 59.575 60.575 61.575 62.575 63.575 64.575 65.575 66.575 67.575 68.575 69.575 70.575 71.575 72.575 73.575 74.575 75.575 76.575 77.575 78.575 79.575 80.575 81.575 82.575 83.575 84.575 85.575 86.575 87.575 88.575 89.575 90.575 91.575 92.575 93.575 94.575 95.575 96.575 97.575 98.575 99.575 100.575 101.575 102.575 103.575 104.575 105.575 106.575 107.575 108.575 109.575 110.575 111.575 112.575 113.575 114.575 115.575 116.575 117.575 118.575 119.575 120.575 121.575 122.575 123.575 124.575 125.575 126.575 127.575 128.575 129.575 130.575 131.575 132.575 133.575 134.575 135.575 136.575 137.575 138.575 139.575 140.575 141.575 142.575 143.575 144.575 145.575 146.575 147.575 148.575 149.575 150.575 151.575 152.575 153.575 154.575 155.575 156.575 157.575 158.575 159.575 160.575 161.575 162.575 163.575 164.575 165.575 166.575 167.575 168.575 169.575 170.575 171.575 172.575 173.575 174.575 175.575 176.575 177.575 178.575 179.575 180.575 181.575 182.575 183.575 184.575 185.575 186.575 187.575 188.575 189.575 190.575 191.575 192.575 193.575 194.575 195.575 196.575 197.575 198.575 199.575 200.575 201.575 202.575 203.575 204.575 205.575 206.575 207.575 208.575 209.575 210.575 211.575 212.575 213.575 214.575 215.575 216.575 217.575 218.575 219.575 220.575 221.575 222.575 223.575 224.575 225.575 226.575 227.575 228.575 229.575 230.575 231.575 232.575 233.575 234.575 235.575 236.575 237.575 238.575 239.575 240.575 241.575 242.575 243.575 244.575 245.575 246.575 247.575 248.575 249.575 250.575 
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
4.401e+07 7.318787e+04 3.041054e-09 1.322795e+14 3.000025e+13
8.862e+07 6.961810e+04 3.041054e-09 1.322795e+14 3.000025e+13
9.061e+07 7.002150e+04 3.041054e-09 1.322795e+14 3.000025e+13
9.444e+07 7.088191e+04 3.041054e-09 1.322795e+14 3.000025e+13
9.991e+07 7.211763e+04 3.041054e-09 1.322795e+14 3.000025e+13
1.061e+08 7.220541e+04 3.041204e-09 1.322861e+14 3.000174e+13
1.126e+08 7.231253e+04 3.042707e-09 1.323515e+14 3.001656e+13
1.194e+08 7.296659e+04 3.050220e-09 1.326786e+14 3.009068e+13
1.267e+08 7.495830e+04 3.069228e-09 1.335060e+14 3.027762e+13
1.345e+08 7.886544e+04 3.127078e-09 1.359433e+14 3.077220e+13
1.427e+08 8.469855e+04 3.220766e-09 1.397313e+14 3.142770e+13
1.514e+08 8.847906e+04 3.240074e-09 1.401421e+14 3.119941e+13
1.607e+08 9.227407e+04 3.173208e-09 1.368587e+14 3.011422e+13
1.705e+08 9.790781e+04 3.144734e-09 1.353082e+14 2.937836e+13
1.809e+08 1.029071e+05 3.141879e-09 1.348779e+14 2.878355e+13
1.919e+08 1.084541e+05 3.114907e-09 1.334143e+14 2.786429e+13
2.037e+08 1.151156e+05 3.086658e-09 1.319363e+14 2.691286e+13
2.161e+08 1.220298e+05 3.013481e-09 1.286125e+14 2.564627e+13
2.293e+08 1.295574e+05 2.848044e-09 1.214611e+14 2.382917e+13
2.433e+08 1.378532e+05 2.679526e-09 1.143103e+14 2.234160e+13
2.582e+08 1.441350e+05 2.560670e-09 1.094029e+14 2.159580e+13
2.739e+08 1.484099e+05 2.471941e-09 1.059059e+14 2.131985e+13
2.907e+08 1.501581e+05 2.350530e-09 1.011626e+14 2.086103e+13
3.084e+08 1.485320e+05 2.143771e-09 9.293726e+13 1.962616e+13
3.273e+08 1.440016e+05 1.886600e-09 8.276564e+13 1.784145e+13
3.472e+08 1.381645e+05 1.626648e-09 7.284086e+13 1.599352e+13
3.685e+08 1.306195e+05 1.348065e-09 6.260886e+13 1.403361e+13
3.910e+08 1.244927e+05 1.048520e-09 5.156052e+13 1.184952e+13
4.148e+08 1.217886e+05 8.878160e-10 4.655326e+13 1.095786e+13
