#NTIMES: 49
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
1060.83 4.2965e+03 4.7639e-16 6.0416e+06 3.5969e+06
1919.29 4.2032e+03 4.8793e-16 7.5218e+06 4.6444e+06
2581.60 4.5526e+03 4.0111e-16 7.5250e+06 4.1608e+06
3084.17 5.1662e+03 3.3582e-16 7.2468e+06 3.5769e+06
3472.46 5.6713e+03 2.5481e-16 6.0970e+06 2.8166e+06
3909.64 6.1344e+03 1.6424e-16 4.3700e+06 2.0016e+06
4148.46 6.1083e+03 1.3908e-16 3.7580e+06 1.8088e+06
4670.75 6.0281e+03 1.3350e-16 3.5920e+06 1.7854e+06
4956.05 6.2833e+03 1.2147e-16 3.3545e+06 1.5433e+06
5258.79 6.6724e+03 1.1010e-16 3.1472e+06 1.3140e+06
5580.02 7.0265e+03 1.0423e-16 3.0299e+06 1.1839e+06
5920.87 7.3229e+03 9.7612e-17 2.8575e+06 1.0765e+06
6282.54 7.5882e+03 8.9865e-17 2.6568e+06 9.7840e+05
6666.30 7.6435e+03 8.4072e-17 2.4941e+06 9.1448e+05
7073.50 7.6596e+03 7.7697e-17 2.3247e+06 8.5229e+05
7505.58 7.7252e+03 6.7958e-17 2.0696e+06 7.5845e+05
7964.05 7.5939e+03 5.9385e-17 1.8283e+06 6.8180e+05
8450.53 7.2214e+03 5.3528e-17 1.6588e+06 6.4111e+05
8966.72 6.8054e+03 4.6938e-17 1.4604e+06 5.9559e+05
9514.44 6.3770e+03 3.9803e-17 1.2369e+06 5.4323e+05
10095.62 5.9064e+03 3.3850e-17 1.0303e+06 5.0207e+05
10712.30 5.5031e+03 2.7729e-17 8.2695e+05 4.4726e+05
11366.65 5.2157e+03 2.1221e-17 6.2172e+05 3.6797e+05
12061.10 5.0648e+03 1.5162e-17 4.4471e+05 2.7704e+05
12793.43 4.9435e+03 1.1165e-17 3.2868e+05 2.1091e+05
13528.61 4.8974e+03 8.4435e-18 2.5093e+05 1.6351e+05
14194.74 4.8726e+03 6.3044e-18 1.9425e+05 1.2565e+05
14757.77 4.8428e+03 4.8253e-18 1.5848e+05 1.0014e+05
15240.48 4.8011e+03 4.6637e-18 1.5741e+05 1.0387e+05
15646.99 4.6332e+03 5.5629e-18 1.9434e+05 1.3645e+05
15960.30 4.6685e+03 7.7465e-18 2.6642e+05 2.0721e+05
16187.41 4.9054e+03 8.4957e-18 2.9560e+05 2.4075e+05
16354.17 4.9750e+03 8.3373e-18 3.0464e+05 2.4401e+05
16484.18 5.0632e+03 7.3309e-18 2.7644e+05 2.1839e+05
16593.12 5.3509e+03 6.0954e-18 2.3159e+05 1.8344e+05
16691.99 5.4243e+03 5.2451e-18 2.0400e+05 1.5907e+05
16788.59 5.3736e+03 4.6856e-18 1.9277e+05 1.4311e+05
16888.37 5.5068e+03 4.2402e-18 1.7609e+05 1.3039e+05
16998.79 5.5965e+03 3.8167e-18 1.6116e+05 1.1823e+05
17146.37 5.6698e+03 3.3827e-18 1.4782e+05 1.0554e+05
17415.23 5.8244e+03 2.7760e-18 1.2261e+05 8.7261e+04
17888.12 5.7471e+03 1.9875e-18 9.6433e+04 6.3050e+04
18532.37 5.8206e+03 1.5016e-18 7.4973e+04 4.7881e+04
19260.76 5.9612e+03 1.1079e-18 5.6142e+04 3.5418e+04
20034.10 6.0977e+03 7.7479e-19 4.2118e+04 2.4788e+04
20838.00 6.2470e+03 5.5045e-19 3.1753e+04 1.7621e+04
