#NTIMES:     65
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[/cm^3]
    8.772128E+02    1.0832E+05    3.0105E-08    1.9790E+15    3.2820E+14
    8.826573E+02    1.0832E+05    3.0105E-08    1.9790E+15    3.2820E+14
    8.991942E+02    1.0832E+05    3.0105E-08    1.9790E+15    3.2820E+14
    9.332033E+02    1.0832E+05    3.0105E-08    1.9790E+15    3.2820E+14
    9.912889E+02    1.0832E+05    3.0105E-08    1.9790E+15    3.2820E+14
    1.052238E+03    1.0832E+05    3.0105E-08    1.9790E+15    3.2820E+14
    1.116940E+03    1.0833E+05    3.0114E-08    1.9796E+15    3.2829E+14
    1.185621E+03    1.0841E+05    3.0201E-08    1.9853E+15    3.2923E+14
    1.258525E+03    1.0857E+05    3.0382E-08    1.9974E+15    3.3122E+14
    1.335911E+03    1.0886E+05    3.0800E-08    2.0251E+15    3.3577E+14
    1.418056E+03    1.0962E+05    3.1576E-08    2.0769E+15    3.4423E+14
    1.505253E+03    1.2993E+05    3.2494E-08    2.2471E+15    3.5444E+14
    1.597810E+03    1.3029E+05    3.1736E-08    2.2119E+15    3.4622E+14
    1.696060E+03    1.3763E+05    3.0452E-08    2.1610E+15    3.3202E+14
    1.800350E+03    1.4074E+05    3.1782E-08    2.2669E+15    3.4645E+14
    1.911054E+03    1.5286E+05    3.0528E-08    2.2194E+15    3.3253E+14
    2.028564E+03    1.5725E+05    3.0621E-08    2.2430E+15    3.3345E+14
    2.153300E+03    1.6901E+05    3.0002E-08    2.2212E+15    3.2662E+14
