#NTIMES:           33
#TIMES[d]:    1.00000E-01   5.00000E-01   1.00000E+00   2.00000E+00   3.00000E+00   4.00000E+00   5.00000E+00   6.00000E+00   7.00000E+00   8.00000E+00   9.00000E+00   1.00000E+01   1.20000E+01   1.40000E+01   1.60000E+01   1.80000E+01   2.00000E+01   2.20000E+01   2.40000E+01   2.60000E+01   2.80000E+01   3.00000E+01   3.50000E+01   4.00000E+01   5.00000E+01   6.00000E+01   7.00000E+01   8.00000E+01   9.00000E+01   1.00000E+02   1.10000E+02   1.20000E+02   1.30000E+02
#
#TIME:    1.00000E-01
#NVEL:          209
#vel_mid[km/s] temp[K] rho[gcc]
 1.06440E+08 1.33045E+05 2.85102E-06
 1.38340E+08 1.27644E+05 2.87740E-06
 1.58200E+08 1.64816E+05 2.82488E-06
 1.74850E+08 1.81134E+05 2.85759E-06
 1.89270E+08 2.08449E+05 2.79898E-06
 2.01980E+08 2.25424E+05 2.71019E-06
 2.13350E+08 2.46037E+05 2.59418E-06
 2.23940E+08 2.65461E+05 2.54683E-06
 2.34030E+08 2.87740E+05 2.44906E-06
 2.43530E+08 3.06902E+05 2.39332E-06
 2.53110E+08 3.28095E+05 2.29615E-06
 2.61780E+08 3.36512E+05 2.24905E-06
 2.70290E+08 3.50752E+05 2.17771E-06
 2.78780E+08 3.63078E+05 2.07491E-06
 2.87090E+08 3.67282E+05 2.01837E-06
 2.95240E+08 3.74111E+05 1.92309E-06
 3.03250E+08 3.79315E+05 1.84502E-06
 3.11230E+08 3.82825E+05 1.75388E-06
 3.19290E+08 3.83707E+05 1.65196E-06
 3.27320E+08 3.81944E+05 1.57398E-06
 3.35580E+08 3.79315E+05 1.48252E-06
 3.43960E+08 3.77572E+05 1.38995E-06
 3.52290E+08 3.74111E+05 1.31826E-06
 3.60740E+08 3.69828E+05 1.25314E-06
 3.69680E+08 3.63078E+05 1.16950E-06
 3.79400E+08 3.50752E+05 1.02802E-06
 3.89840E+08 3.36512E+05 8.99498E-07
 4.00810E+08 3.24340E+05 8.26038E-07
 4.12980E+08 3.07610E+05 7.17794E-07
 4.26960E+08 2.93089E+05 6.25173E-07
 4.37670E+08 2.96483E+05 7.46449E-07
 4.46170E+08 3.01995E+05 8.33681E-07
 4.53940E+08 3.04789E+05 8.47227E-07
 4.61880E+08 3.04089E+05 8.03526E-07
 4.70820E+08 3.02691E+05 7.12853E-07
 4.80670E+08 3.02691E+05 6.47143E-07
 4.90730E+08 3.05492E+05 6.18016E-07
 5.00410E+08 3.09030E+05 6.10942E-07
 5.09720E+08 3.12608E+05 6.08135E-07
 5.18790E+08 3.15500E+05 6.01174E-07
 5.27740E+08 3.16957E+05 5.88844E-07
 5.36580E+08 3.17687E+05 5.76766E-07
 5.45270E+08 3.18420E+05 5.68853E-07
 5.53760E+08 3.19154E+05 5.63638E-07
 5.62110E+08 3.19154E+05 5.53350E-07
 5.70370E+08 3.18420E+05 5.44503E-07
 5.78580E+08 3.18420E+05 5.35797E-07
 5.86620E+08 3.17687E+05 5.27230E-07
 5.94560E+08 3.16957E+05 5.18800E-07
 6.02440E+08 3.16228E+05 5.11682E-07
 6.10260E+08 3.15500E+05 5.03501E-07
 6.18100E+08 3.14051E+05 4.93174E-07
 6.25980E+08 3.12608E+05 4.84172E-07
 6.33800E+08 3.11889E+05 4.75335E-07
 6.41430E+08 3.10456E+05 4.68813E-07
 6.48900E+08 3.09742E+05 4.62381E-07
 6.56290E+08 3.09030E+05 4.56037E-07
 6.63610E+08 3.07610E+05 4.49780E-07
 6.70880E+08 3.06196E+05 4.44631E-07
 6.78110E+08 3.05492E+05 4.38531E-07
 6.85280E+08 3.04089E+05 4.33511E-07
 6.92300E+08 3.03389E+05 4.29536E-07
 6.99190E+08 3.02691E+05 4.25598E-07
 7.06040E+08 3.00608E+05 4.16869E-07
 7.13040E+08 2.98538E+05 4.04576E-07
 7.20240E+08 2.96483E+05 3.92645E-07
 7.27570E+08 2.94442E+05 3.82825E-07
 7.34930E+08 2.92415E+05 3.74973E-07
 7.42250E+08 2.90402E+05 3.67282E-07
 7.49520E+08 2.89068E+05 3.60579E-07
 7.56790E+08 2.87078E+05 3.53997E-07
 7.64060E+08 2.85102E+05 3.47536E-07
 7.71280E+08 2.83139E+05 3.41193E-07
 7.78460E+08 2.81190E+05 3.34195E-07
 7.85670E+08 2.79254E+05 3.27341E-07
 7.92980E+08 2.77332E+05 3.19890E-07
 8.00370E+08 2.75423E+05 3.13329E-07
 8.07740E+08 2.73527E+05 3.08319E-07
