#NTIMES: 200
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
4.4010e+02 7.4770e+04 4.1017e-11 3.1816e+12 4.4943e+11
8.8623e+02 7.5319e+04 4.0495e-09 2.7053e+14 4.4371e+13
9.0614e+02 7.5292e+04 4.0476e-09 2.7041e+14 4.4351e+13
9.4442e+02 7.5295e+04 4.0477e-09 2.7041e+14 4.4351e+13
9.9911e+02 7.5287e+04 4.0475e-09 2.7040e+14 4.4349e+13
1.0608e+03 7.5305e+04 4.0454e-09 2.7029e+14 4.4327e+13
1.1257e+03 7.5335e+04 4.0508e-09 2.7070e+14 4.4386e+13
1.1944e+03 7.5469e+04 4.0595e-09 2.7146e+14 4.4480e+13
1.2673e+03 7.5970e+04 4.0862e-09 2.7405e+14 4.4773e+13
1.3448e+03 7.8104e+04 4.1626e-09 2.8300e+14 4.5583e+13
1.4269e+03 8.2600e+04 4.2857e-09 3.0229e+14 4.6836e+13
1.5140e+03 8.7681e+04 4.3147e-09 3.1919e+14 4.7010e+13
1.6065e+03 9.1980e+04 4.2202e-09 3.2480e+14 4.5849e+13
1.7047e+03 9.6133e+04 4.1873e-09 3.3357e+14 4.5379e+13
1.8088e+03 1.0091e+05 4.1825e-09 3.4411e+14 4.5218e+13
1.9193e+03 1.0630e+05 4.1446e-09 3.4920e+14 4.4699e+13
2.0365e+03 1.1240e+05 4.1086e-09 3.5094e+14 4.4212e+13
2.1609e+03 1.1903e+05 4.0106e-09 3.4601e+14 4.3084e+13
2.2929e+03 1.2604e+05 3.7910e-09 3.3249e+14 4.0692e+13
2.4330e+03 1.3360e+05 3.5669e-09 3.2209e+14 3.8303e+13
2.5816e+03 1.4103e+05 3.4087e-09 3.1697e+14 3.6671e+13
2.7393e+03 1.4715e+05 3.2895e-09 3.1131e+14 3.5508e+13
2.9067e+03 1.5114e+05 3.1283e-09 2.9886e+14 3.3948e+13
3.0842e+03 1.5224e+05 2.8535e-09 2.7417e+14 3.1224e+13
3.2726e+03 1.5029e+05 2.5107e-09 2.4222e+14 2.7838e+13
3.4725e+03 1.4613e+05 2.1653e-09 2.0975e+14 2.4552e+13
3.6846e+03 1.3990e+05 1.7943e-09 1.7473e+14 2.1157e+13
3.9097e+03 1.3236e+05 1.3958e-09 1.3689e+14 1.7477e+13
4.1484e+03 1.2665e+05 1.1817e-09 1.1706e+14 1.5806e+13
4.4019e+03 1.2444e+05 1.1560e-09 1.1551e+14 1.6090e+13
4.6708e+03 1.2505e+05 1.1342e-09 1.1338e+14 1.5668e+13
