#NTIMES: 4
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 18
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
1.754780E+04 9.293642E+03 1.754378E-13 6.491679E+09 5.525798E+09
1.788812E+04 9.307082E+03 1.256051E-13 4.658695E+09 3.987151E+09
1.853238E+04 9.230959E+03 9.489927E-14 3.518318E+09 3.040731E+09
1.926078E+04 9.123765E+03 7.001945E-14 2.590118E+09 2.256507E+09
2.003410E+04 9.012374E+03 4.896574E-14 1.806315E+09 1.582704E+09
2.083800E+04 8.889247E+03 3.478790E-14 1.279795E+09 1.126207E+09
2.164798E+04 8.742698E+03 2.646443E-14 9.716070E+08 8.577903E+08
2.244795E+04 8.573441E+03 1.902456E-14 6.981043E+08 6.177375E+08
2.324590E+04 8.418812E+03 1.343705E-14 4.933313E+08 4.374552E+08
2.405250E+04 8.274453E+03 9.845822E-15 3.613813E+08 3.218747E+08
2.486775E+04 8.140059E+03 7.553295E-15 2.762734E+08 2.487499E+08
2.569888E+04 7.993081E+03 5.870476E-15 2.130371E+08 1.956738E+08
2.658715E+04 7.832099E+03 4.430616E-15 1.591942E+08 1.504383E+08
2.763753E+04 7.642987E+03 3.168934E-15 1.131683E+08 1.106443E+08
2.898698E+04 7.401911E+03 2.132809E-15 7.685554E+07 7.772159E+07
3.065218E+04 7.111402E+03 1.243972E-15 4.686517E+07 4.823208E+07
3.251555E+04 6.826950E+03 6.170937E-16 2.489922E+07 2.550544E+07
3.423965E+04 6.582566E+03 3.060545E-16 1.294874E+07 1.312811E+07
#
#TIME: 10.0
#NVEL: 31
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
1.500755E+04 1.061080E+04 3.811940E-14 1.437091E+09 7.667389E+08
1.524048E+04 1.049279E+04 3.684234E-14 1.393192E+09 7.714662E+08
1.564700E+04 1.012809E+04 4.394582E-14 1.659180E+09 9.875792E+08
1.596030E+04 9.767168E+03 6.119583E-14 2.305257E+09 1.514544E+09
1.618740E+04 9.470730E+03 6.711476E-14 2.525838E+09 1.811288E+09
1.635415E+04 9.261850E+03 6.586309E-14 2.484057E+09 1.883282E+09
1.648418E+04 9.115547E+03 5.791264E-14 2.191742E+09 1.710281E+09
1.659312E+04 9.042379E+03 4.815278E-14 1.829093E+09 1.447346E+09
