#NTIMES: 108
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
4.386064e+02 3.827569e+04 4.497656e-10 2.168222e+13 5.067315e+12 
8.801961e+02 4.105036e+04 9.119168e-10 4.311457e+13 1.027525e+13 
8.922517e+02 4.040303e+04 7.030416e-10 3.461706e+13 7.917869e+12 
9.200313e+02 4.094921e+04 6.117978e-10 2.979180e+13 6.896364e+12 
9.688202e+02 3.956295e+04 4.767220e-10 2.354931e+13 5.379946e+12 
1.029396e+03 3.823024e+04 4.873925e-10 2.395567e+13 5.489387e+12 
1.092261e+03 3.905064e+04 4.875300e-10 2.382779e+13 5.491393e+12 
1.158981e+03 3.823894e+04 4.887259e-10 2.383666e+13 5.505450e+12 
1.229776e+03 3.894615e+04 4.917844e-10 2.368758e+13 5.547193e+12 
1.304896e+03 4.016454e+04 5.010431e-10 2.546635e+13 5.640535e+12 
1.384604e+03 4.171014e+04 5.160593e-10 2.673675e+13 5.811449e+12 
1.469181e+03 4.390817e+04 5.191532e-10 2.830034e+13 5.837915e+12 
1.558925e+03 4.592839e+04 5.084427e-10 2.820749e+13 5.707470e+12 
1.654150e+03 4.894685e+04 5.038687e-10 2.847896e+13 5.644540e+12 
1.755192e+03 5.149926e+04 5.034207e-10 2.894497e+13 5.629798e+12 
1.862406e+03 5.396166e+04 4.990916e-10 2.992676e+13 5.581854e+12 
1.976169e+03 5.683259e+04 4.945694e-10 3.111493e+13 5.517762e+12 
2.096881e+03 6.050101e+04 4.828481e-10 3.151710e+13 5.380192e+12 
2.224967e+03 6.425577e+04 4.563395e-10 3.055564e+13 5.077170e+12 
2.360877e+03 6.812656e+04 4.293417e-10 2.965555e+13 4.767582e+12 
2.505088e+03 7.215874e+04 4.102905e-10 2.962485e+13 4.549305e+12 
2.658109e+03 7.600776e+04 3.960711e-10 2.954353e+13 4.391818e+12 
2.820477e+03 7.868712e+04 3.766228e-10 2.861247e+13 4.171640e+12 
2.992763e+03 8.029194e+04 3.434992e-10 2.629605e+13 3.827859e+12 
3.175573e+03 8.021632e+04 3.022842e-10 2.321662e+13 3.396708e+12 
3.369550e+03 7.854098e+04 2.606359e-10 1.999258e+13 2.988114e+12 
3.575375e+03 7.535991e+04 2.159998e-10 1.650145e+13 2.569206e+12 
3.793773e+03 7.027457e+04 1.679996e-10 1.265805e+13 2.118319e+12 
4.025512e+03 6.551297e+04 1.422581e-10 1.055308e+13 1.916151e+12 
4.271406e+03 6.306639e+04 1.391491e-10 1.032051e+13 1.950643e+12 
4.532320e+03 6.269981e+04 1.365526e-10 1.008144e+13 1.897319e+12 
4.809172e+03 6.305583e+04 1.242487e-10 9.015403e+12 1.647158e+12 
5.102936e+03 6.352941e+04 1.126216e-10 8.017469e+12 1.407623e+12 
5.414644e+03 6.395099e+04 1.066192e-10 7.483822e+12 1.270540e+12 
5.745391e+03 6.389024e+04 9.984566e-11 6.932735e+12 1.156876e+12 
6.096342e+03 6.305739e+04 9.192046e-11 6.310299e+12 1.051571e+12 
6.468731e+03 6.201493e+04 8.599588e-11 5.852205e+12 9.833906e+11 
6.863867e+03 6.059795e+04 7.947483e-11 5.373374e+12 9.174091e+11 
7.283139e+03 5.835148e+04 6.951312e-11 4.668655e+12 8.161877e+11 
7.728022e+03 5.578087e+04 6.074410e-11 4.056225e+12 7.334038e+11 
8.200081e+03 5.321713e+04 5.475281e-11 3.637149e+12 6.899479e+11 
8.700974e+03 5.016769e+04 4.801208e-11 3.173690e+12 6.389918e+11 
9.232464e+03 4.628242e+04 4.071368e-11 2.743223e+12 5.803627e+11 
9.796417e+03 4.186716e+04 3.462443e-11 2.431867e+12 5.332738e+11 
1.039482e+04 3.682123e+04 2.836350e-11 2.036471e+12 4.725433e+11 
1.102978e+04 3.120768e+04 2.170614e-11 1.556760e+12 3.863883e+11 
1.170352e+04 2.552799e+04 1.551537e-11 1.129257e+12 2.893844e+11 
1.241868e+04 2.082927e+04 1.126815e-11 7.797072e+11 2.172194e+11 
1.316817e+04 1.705968e+04 7.875542e-12 4.741924e+11 1.552810e+11 
1.388905e+04 1.431568e+04 5.538271e-12 3.186524e+11 1.122541e+11 
1.450043e+04 1.228021e+04 4.424243e-12 2.304000e+11 9.324647e+10 
1.501511e+04 1.036917e+04 4.164961e-12 1.695813e+11 9.406320e+10 
1.546584e+04 8.284133e+03 4.640179e-12 1.695649e+11 1.153429e+11 
1.582815e+04 6.841816e+03 6.294268e-12 9.371840e+10 1.704311e+11 
1.609245e+04 5.800247e+03 6.951502e-12 5.257016e+10 1.989707e+11 
1.628237e+04 4.499453e+03 7.039701e-12 6.640242e+09 2.083910e+11 
1.642596e+04 3.973138e+03 6.334532e-12 7.852613e+08 1.908920e+11 
1.654240e+04 3.639293e+03 5.482446e-12 2.587275e+08 1.670123e+11 
1.664385e+04 3.543200e+03 4.903506e-12 1.505270e+07 1.504536e+11 
1.674015e+04 3.580082e+03 4.456252e-12 8.026306e+06 1.376800e+11 
1.683704e+04 3.307096e+03 4.176463e-12 2.130592e+06 1.299214e+11 
1.693972e+04 3.652052e+03 3.954602e-12 2.423456e+05 1.238379e+11 
1.705788e+04 3.513700e+03 4.383181e-12 1.301679e+04 1.387937e+11 
1.723487e+04 3.081051e+03 4.246949e-12 9.481435e+02 1.355105e+11 
1.759558e+04 2.344616e+03 2.262596e-12 3.160383e+03 7.260510e+10 
1.818065e+04 2.455878e+03 1.522572e-12 1.311389e+00 4.918143e+10 
