#NTIMES: 248
#time[d] Lbol[erg/s] Edep[erg/s]
2.5 3.67426e+39 6.21318e+42
3.5 3.61992e+40 5.70469e+42
4.5 1.70504e+41 5.24845e+42
5.5 5.05919e+41 4.83738e+42
6.5 9.64566e+41 4.46757e+42
7.5 1.46122e+42 4.13338e+42
8.5 1.99387e+42 3.83426e+42
9.5 2.42870e+42 3.56462e+42
10.5 2.73294e+42 3.31844e+42
11.5 2.91498e+42 3.09161e+42
12.5 2.98078e+42 2.88513e+42
13.5 2.97533e+42 2.69908e+42
14.5 2.91299e+42 2.53301e+42
15.5 2.82481e+42 2.38193e+42
16.5 2.71946e+42 2.24665e+42
17.5 2.60757e+42 2.12467e+42
18.5 2.49313e+42 2.01377e+42
19.5 2.38370e+42 1.91378e+42
20.5 2.27094e+42 1.82254e+42
21.5 2.15212e+42 1.73986e+42
22.5 2.04221e+42 1.66346e+42
23.5 1.93229e+42 1.59323e+42
24.5 1.82871e+42 1.52902e+42
25.5 1.72823e+42 1.46906e+42
26.5 1.62956e+42 1.41309e+42
27.5 1.53932e+42 1.36083e+42
28.5 1.45198e+42 1.31182e+42
29.5 1.37474e+42 1.26600e+42
30.5 1.30834e+42 1.22229e+42
31.5 1.24946e+42 1.18024e+42
32.5 1.20049e+42 1.14081e+42
33.5 1.15654e+42 1.10408e+42
34.5 1.11763e+42 1.06857e+42
35.5 1.08150e+42 1.03406e+42
36.5 1.04831e+42 1.00145e+42
37.5 1.01399e+42 9.68897e+41
38.5 9.86272e+41 9.37665e+41
39.5 9.53319e+41 9.07917e+41
40.5 9.24797e+41 8.78906e+41
41.5 8.95417e+41 8.51929e+41
42.5 8.66768e+41 8.25643e+41
43.5 8.39510e+41 7.99369e+41
44.5 8.12500e+41 7.74351e+41
45.5 7.82210e+41 7.50630e+41
46.5 7.57279e+41 7.26571e+41
47.5 7.31956e+41 7.03538e+41
48.5 7.08324e+41 6.82399e+41
49.5 6.85168e+41 6.61357e+41
50.5 6.62168e+41 6.40170e+41
51.5 6.39328e+41 6.19809e+41
52.5 6.17570e+41 6.01221e+41
53.5 5.97678e+41 5.83131e+41
54.5 5.76956e+41 5.64955e+41
55.5 5.58930e+41 5.47639e+41
56.5 5.41435e+41 5.30944e+41
57.5 5.25260e+41 5.14760e+41
58.5 5.07439e+41 4.98405e+41
59.5 4.91501e+41 4.83775e+41
60.5 4.78131e+41 4.68548e+41
61.5 4.62439e+41 4.54074e+41
62.5 4.47728e+41 4.40714e+41
63.5 4.35045e+41 4.28206e+41
64.5 4.22662e+41 4.15332e+41
65.5 4.09115e+41 4.02286e+41
66.5 3.97099e+41 3.90534e+41
